pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,10.46,61.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 09:00:00, None,21
None,12.09,53.92, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 10:00:00, None,21
None,13.26,45.77, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 11:00:00, None,21
None,14.23,45.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 12:00:00, None,21
None,15.67,43.57, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 13:00:00, None,21
None,16.29,44.21, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 14:00:00, None,21
None,16.88,44.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 15:00:00, None,21
None,17.1,45.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 16:00:00, None,21
None,18.05,40.93, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 17:00:00, None,21
None,17.28,44.11, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 18:00:00, None,21
None,17.02,42.22, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 19:00:00, None,21
None,15.73,44.94, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 20:00:00, None,21
None,14.57,48.47, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 21:00:00, None,21
None,13.87,50.09, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 22:00:00, None,21
None,13.24,52.37, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 23:00:00, None,21
None,11.88,63.69, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 00:00:00, None,21
None,9.38,89.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 01:00:00, None,21
None,9.06,93.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 02:00:00, None,21
None,8.66,92.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 03:00:00, None,21
None,8.75,89.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 04:00:00, None,21
None,8.27,94.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 05:00:00, None,21
None,8.26,95.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 06:00:00, None,21
None,8.28,97.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 07:00:00, None,21
None,8.33,97.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 08:00:00, None,21
None,8.65,97.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 09:00:00, None,21
None,9.3,94.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 10:00:00, None,21
None,10.83,84.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 11:00:00, None,21
None,12.41,72.68, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 12:00:00, None,21
None,12.6,69.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 13:00:00, None,21
None,13.6,68.02, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 14:00:00, None,21
None,14.5,62.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 15:00:00, None,21
None,14.75,62.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 16:00:00, None,21
None,14.99,60.34, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 17:00:00, None,21
None,16.85,45.48, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 18:00:00, None,21
None,15.51,48.08, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 19:00:00, None,21
None,14.42,49.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 20:00:00, None,21
None,13.32,51.82, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 21:00:00, None,21
None,12.59,55.02, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 22:00:00, None,21
None,10.81,61.25, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-25 23:00:00, None,21
None,10.27,75.37, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 00:00:00, None,21
None,10.02,80.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 01:00:00, None,21
None,9.8,79.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 02:00:00, None,21
None,9.2,81.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 03:00:00, None,21
None,6.991,88.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 04:00:00, None,21
None,6.008,89.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 05:00:00, None,21
None,5.865,88.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 06:00:00, None,21
None,4.668,89.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 07:00:00, None,21
None,4.603,87.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 08:00:00, None,21
None,6.514,76.18, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 09:00:00, None,21
None,7.947,63.53, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 10:00:00, None,21
None,8.91,55.92, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 11:00:00, None,21
None,10.12,44.95, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 12:00:00, None,21
