station_observations
Rain_Tot, Solar_Avg, WindDir_Std, Solar_Std, WS_Avg, WS_Std, Pressure, AirTC, time, RH, WindDir_Avg, DBTCDT
None, 0.0, 8.27, 0.0, 5.227, 0.531, 814.408, -72.79, 2012-01-02 01:30:00, 67.34, 154.3, 196.0
None, 0.0, 7.708, 0.0, 5.315, 0.638, 814.408, -72.79, 2012-01-02 01:45:00, 62.19, 151.6, 195.8
None, 0.0, 7.97, 0.0, 5.587, 0.852, 814.574, -72.79, 2012-01-02 02:00:00, 53.55, 146.6, 196.1
None, 0.0, 9.45, 0.0, 6.649, 0.802, 814.609, -72.79, 2012-01-02 02:15:00, 51.88, 152.8, 195.7
None, 0.0, 9.15, 0.0, 7.422, 0.666, 814.676, -72.79, 2012-01-02 02:30:00, 55.94, 155.0, 195.6
None, 0.0, 9.73, 0.0, 7.38, 1.312, 814.949, -72.79, 2012-01-02 02:45:00, 54.2, 154.4, 195.6
None, 0.0, 6.106, 0.0, 7.028, 0.924, 814.915, -72.79, 2012-01-02 03:00:00, 61.4, 155.3, 195.5
None, 0.0, 9.79, 0.0, 6.848, 0.674, 814.951, -72.79, 2012-01-02 03:15:00, 64.74, 151.0, 195.6
None, 0.0, 6.756, 0.0, 7.554, 0.575, 814.676, -72.79, 2012-01-02 03:30:00, 64.51, 146.9, 195.6
None, 0.0, 9.74, 0.0, 7.274, 0.895, 814.403, -72.79, 2012-01-02 03:45:00, 64.95, 154.6, 195.5
None, 0.0, 9.08, 0.0, 7.662, 0.526, 814.062, -72.79, 2012-01-02 04:00:00, 67.47, 154.3, 195.4
None, 0.0, 8.85, 0.0, 7.927, 0.651, 813.72, -72.79, 2012-01-02 04:15:00, 69.18, 149.5, 195.5
None, 0.0, 8.91, 0.0, 8.29, 1.416, 813.345, -72.79, 2012-01-02 04:30:00, 68.33, 162.2, 195.2
None, 0.0, 5.323, 0.0, 9.12, 0.732, 813.242, -72.79, 2012-01-02 04:45:00, 70.17, 155.3, 195.1
None, 0.0, 7.258, 0.0, 7.872, 0.484, 812.969, -72.79, 2012-01-02 05:00:00, 70.85, 155.8, 195.2
None, 0.0, 6.668, 0.0, 7.904, 0.678, 812.492, -72.79, 2012-01-02 05:15:00, 69.04, 150.0, 195.1
None, 0.0, 6.234, 0.0, 8.38, 0.519, 812.116, -72.79, 2012-01-02 05:30:00, 68.84, 146.5, 195.2
None, 0.0, 5.945, 0.0, 7.391, 0.47, 812.219, -72.79, 2012-01-02 05:45:00, 66.96, 149.7, 195.2
None, 0.0, 8.49, 0.0, 8.08, 0.638, 811.741, -7.255, 2012-01-02 06:00:00, 64.68, 146.3, 195.0
None, 0.0, 6.777, 0.0, 7.594, 0.708, 811.741, -1.786, 2012-01-02 06:15:00, 62.63, 147.7, 195.1
None, 0.0, 9.33, 0.0, 5.64, 0.36, 811.877, -2.03, 2012-01-02 06:30:00, 63.34, 152.7, 195.3
None, 0.0, 7.327, 0.0, 6.416, 1.33, 811.536, -1.884, 2012-01-02 06:45:00, 64.71, 141.6, 195.1
None, 0.0, 11.75, 0.0, 6.853, 0.831, 811.536, -1.981, 2012-01-02 07:00:00, 65.15, 141.9, 194.8
None, 0.0, 7.147, 0.0, 5.329, 0.65, 811.399, -1.981, 2012-01-02 07:15:00, 64.44, 146.9, 194.9
None, 0.0, 10.6, 0.0, 5.033, 1.073, 811.263, -1.591, 2012-01-02 07:30:00, 62.56, 143.5, 195.0
None, 0.0, 8.1, 0.0, 5.253, 1.041, 811.399, -1.591, 2012-01-02 07:45:00, 60.92, 154.0, 195.0
None, 0.0, 6.718, 0.0, 6.746, 1.22, 811.058, -1.64, 2012-01-02 08:00:00, 64.3, 145.0, 194.7
None, 0.0, 8.07, 0.0, 7.085, 0.824, 810.785, -1.591, 2012-01-02 08:15:00, 63.14, 148.8, 194.7
None, 0.0, 4.781, 0.0, 7.924, 0.694, 810.922, -1.298, 2012-01-02 08:30:00, 62.46, 142.8, 194.8
None, 0.0, 8.41, 0.0, 6.957, 0.72, 810.853, -1.444, 2012-01-02 08:45:00, 63.21, 151.7, 194.9
None, 0.0, 7.532, 0.0, 6.482, 0.607, 810.785, -1.249, 2012-01-02 09:00:00, 62.25, 155.3, 194.7
None, 0.327, 9.06, 0.387, 7.068, 0.875, 810.785, -1.493, 2012-01-02 09:15:00, 64.33, 147.3, 194.8
None, 2.209, 6.344, 1.123, 7.14, 0.555, 810.649, -1.786, 2012-01-02 09:30:00, 65.63, 150.6, 194.7
None, 6.202, 10.6, 0.898, 6.56, 0.725, 810.785, -1.762, 2012-01-02 09:45:00, 64.74, 143.9, 194.6
None, 12.32, 6.855, 2.704, 6.792, 0.442, 811.058, -1.542, 2012-01-02 10:00:00, 63.92, 147.0, 194.7
None, 22.44, 8.33, 3.37, 6.286, 0.417, 810.888, -0.663, 2012-01-02 10:15:00, 58.16, 148.5, 194.6
None, 31.48, 9.11, 1.551, 6.748, 0.788, 810.922, -0.858, 2012-01-02 10:30:00, 59.35, 154.9, 194.5
None, 35.23, 7.506, 3.649, 7.764, 0.844, 810.785, 0.411, 2012-01-02 10:45:00, 55.19, 165.5, 194.6
None, 42.86, 8.54, 2.188, 8.04, 0.602, 810.512, 0.021, 2012-01-02 11:00:00, 57.13, 162.3, 194.2
None, 48.39, 7.103, 3.67, 8.1, 0.58, 810.546, -1.298, 2012-01-02 11:15:00, 64.57, 154.1, 194.7
None, 58.16, 7.388, 3.12, 7.5, 0.767, 810.512, -0.809, 2012-01-02 11:30:00, 58.81, 153.6, 194.5
None, 59.7, 12.39, 1.145, 6.316, 0.533, 810.307, -0.468, 2012-01-02 11:45:00, 57.27, 159.3, 194.5
None, 59.14, 7.129, 1.7, 6.596, 0.559, 810.171, -0.809, 2012-01-02 12:00:00, 60.2, 146.1, 194.4
None, 63.15, 6.295, 4.146, 6.836, 0.559, 809.966, -1.054, 2012-01-02 12:15:00, 62.01, 152.9, 194.4
None, 76.96, 6.549, 2.234, 7.418, 0.765, 809.693, -1.005, 2012-01-02 12:30:00, 61.91, 149.7, 194.3
None, 74.62, 6.931, 2.627, 6.628, 0.509, 809.829, -0.932, 2012-01-02 12:45:00, 62.01, 155.6, 194.2
None, 80.4, 5.291, 1.7, 5.377, 0.39, 809.693, -1.054, 2012-01-02 13:00:00, 62.39, 160.0, 194.3
None, 79.15, 6.218, 3.157, 6.622, 0.63, 809.42, -0.907, 2012-01-02 13:15:00, 63.28, 153.6, 194.1
None, 83.0, 7.649, 5.179, 5.707, 0.627, 809.352, -1.102, 2012-01-02 13:30:00, 65.12, 155.5, 194.1
None, 109.9, 6.522, 6.237, 5.842, 0.536, 809.352, -0.858, 2012-01-02 13:45:00, 63.62, 152.3, 194.0
None, 102.0, 8.96, 2.63, 6.524, 1.005, 808.942, -0.809, 2012-01-02 14:00:00, 66.11, 155.7, 193.5
None, 95.1, 4.758, 1.588, 5.794, 1.01, 808.942, -0.834, 2012-01-02 14:15:00, 65.39, 149.9, 193.5
None, 85.6, 10.48, 3.502, 6.712, 0.761, 808.737, -0.077, 2012-01-02 14:30:00, 61.23, 162.7, 193.5
None, 86.9, 12.14, 4.319, 6.031, 1.171, 808.737, 0.216, 2012-01-02 14:45:00, 58.5, 158.7, 193.8
None, 77.97, 13.08, 2.629, 6.264, 1.108, 808.874, -0.077, 2012-01-02 15:00:00, 61.57, 156.9, 193.9
None, 70.46, 13.59, 2.799, 5.534, 0.916, 808.942, 0.265, 2012-01-02 15:15:00, 57.24, 157.3, 193.9
None, 58.87, 9.79, 4.572, 4.523, 0.595, 808.942, 0.387, 2012-01-02 15:30:00, 55.6, 167.4, 193.8
None, 43.33, 20.19, 3.945, 3.243, 1.031, 808.976, 0.607, 2012-01-02 15:45:00, 55.63, 173.4, 194.0
None, 32.94, 59.99, 2.964, 1.753, 0.892, 808.942, 0.265, 2012-01-02 16:00:00, 57.82, 192.4, 193.9
None, 20.09, 31.99, 4.806, 2.515, 0.941, 808.874, 0.07, 2012-01-02 16:15:00, 55.63, 249.6, 194.1
None, 12.34, 35.67, 1.857, 2.23, 0.987, 808.601, -0.126, 2012-01-02 16:30:00, 59.15, 192.5, 193.8
None, 6.791, 11.96, 1.896, 5.017, 0.865, 808.464, 0.265, 2012-01-02 16:45:00, 56.31, 157.6, 193.7
None, 2.422, 13.89, 1.049, 5.572, 0.873, 808.362, 0.216, 2012-01-02 17:00:00, 60.68, 154.1, 193.8
None, 0.147, 11.47, 0.428, 4.394, 0.941, 808.737, -0.419, 2012-01-02 17:15:00, 63.04, 144.1, 193.7
None, 0.0, 22.04, 0.0, 3.854, 0.672, 808.737, -0.321, 2012-01-02 17:30:00, 62.76, 156.1, 193.7
None, 0.0, 24.23, 0.0, 4.999, 0.924, 808.942, -0.077, 2012-01-02 17:45:00, 63.07, 165.4, 193.7
None, 0.0, 28.37, 0.0, 3.016, 1.362, 808.874, -0.663, 2012-01-02 18:00:00, 67.27, 171.0, 193.6
None, 0.0, 10.92, 0.0, 3.591, 0.719, 809.113, -1.688, 2012-01-02 18:15:00, 74.54, 163.7, 193.7
None, 0.0, 13.39, 0.0, 2.797, 0.624, 809.215, -2.03, 2012-01-02 18:30:00, 78.77, 180.3, 193.6
None, 0.0, 16.79, 0.0, 2.447, 0.358, 808.942, -2.079, 2012-01-02 18:45:00, 84.1, 173.2, 193.6
None, 0.0, 10.88, 0.0, 2.71, 0.533, 808.942, -1.835, 2012-01-02 19:00:00, 82.2, 159.0, 193.6
None, 0.0, 11.84, 0.0, 3.015, 0.501, 809.215, -2.274, 2012-01-02 19:15:00, 86.4, 164.2, 193.6
None, 0.0, 9.3, 0.0, 2.577, 0.225, 809.215, -2.567, 2012-01-02 19:30:00, 89.7, 166.0, 193.5
None, 0.0, 5.827, 0.0, 3.745, 0.399, 809.215, -2.909, 2012-01-02 19:45:00, 93.3, 148.0, 193.5
None, 0.0, 5.154, 0.0, 4.137, 0.337, 809.147, -3.153, 2012-01-02 20:00:00, 96.0, 161.7, 193.5
None, 0.0, 7.901, 0.0, 3.53, 0.435, 808.942, -3.251, 2012-01-02 20:15:00, 97.2, 159.7, 193.5
None, 0.0, 6.798, 0.0, 3.941, 0.466, 808.942, -3.105, 2012-01-02 20:30:00, 97.5, 156.4, 193.5
None, 0.0, 6.83, 0.0, 4.748, 0.449, 808.942, -3.056, 2012-01-02 20:45:00, 97.3, 153.4, 193.5
None, 0.0, 7.868, 0.0, 3.653, 0.47, 808.874, -3.056, 2012-01-02 21:00:00, 97.0, 164.6, 193.5
None, 0.0, 9.17, 0.0, 3.766, 0.3, 808.942, -2.86, 2012-01-02 21:15:00, 94.9, 162.5, 193.4
None, 0.0, 9.03, 0.0, 3.952, 0.709, 808.874, -2.763, 2012-01-02 21:30:00, 92.9, 150.9, 193.4
None, 0.0, 10.71, 0.0, 4.357, 0.559, 809.147, -2.543, 2012-01-02 21:45:00, 90.6, 148.4, 193.4
None, 0.0, 10.15, 0.0, 3.875, 0.489, 809.215, -2.763, 2012-01-02 22:00:00, 91.7, 145.9, 193.3
None, 0.0, 6.173, 0.0, 3.43, 0.368, 809.215, -2.69, 2012-01-02 22:15:00, 91.5, 141.1, 193.2
None, 0.0, 11.65, 0.0, 4.22, 0.527, 809.352, -2.714, 2012-01-02 22:30:00, 92.4, 149.2, 193.2
None, 0.0, 6.766, 0.0, 5.021, 0.711, 809.591, -2.86, 2012-01-02 22:45:00, 94.2, 155.5, 193.1
None, 0.0, 8.48, 0.0, 4.751, 0.614, 809.693, -3.153, 2012-01-02 23:00:00, 96.4, 154.5, 193.2
None, 0.0, 8.53, 0.0, 4.419, 0.411, 809.693, -3.056, 2012-01-02 23:15:00, 95.9, 152.6, 193.2
None, 0.0, 9.66, 0.0, 4.636, 0.374, 809.829, -3.007, 2012-01-02 23:30:00, 95.5, 158.2, 193.1
None, 0.0, 15.27, 0.0, 4.256, 0.841, 810.102, -2.763, 2012-01-02 23:45:00, 92.9, 159.9, 193.0
None, 0.0, 20.35, 0.0, 4.282, 0.739, 810.068, -2.616, 2012-01-03 00:00:00, 90.8, 134.4, 193.0
None, 0.0, 12.14, 0.0, 4.029, 0.358, 810.444, -2.714, 2012-01-03 00:15:00, 91.5, 161.0, 193.1
None, 0.0, 28.43, 0.0, 2.851, 0.725, 810.307, -1.884, 2012-01-03 00:30:00, 84.6, 146.6, 192.8
None, 0.049, 38.92, 0.184, 3.412, 1.374, 810.717, -1.298, 2012-01-03 00:45:00, 78.81, 165.4, 192.9
None, 0.0, 29.11, 0.0, 3.879, 0.855, 810.785, -1.591, 2012-01-03 01:00:00, 81.9, 153.5, 192.8
None, 0.0, 26.21, 0.0, 3.28, 0.892, 811.195, -2.177, 2012-01-03 01:15:00, 86.7, 169.6, 192.9
None, 0.0, 12.83, 0.0, 4.625, 0.74, 811.195, -2.274, 2012-01-03 01:30:00, 86.9, 133.5, 192.9
None, 0.0, 34.69, 0.0, 4.125, 1.243, 811.297, -1.835, 2012-01-03 01:45:00, 82.2, 127.4, 192.9
None, 0.033, 23.69, 0.083, 4.747, 0.808, 811.399, -2.274, 2012-01-03 02:00:00, 85.4, 138.4, 193.0
None, 0.115, 21.26, 0.198, 4.514, 0.881, 811.536, -2.372, 2012-01-03 02:15:00, 87.3, 135.9, 194.0
None, 0.049, 29.03, 0.133, 3.718, 1.222, 811.672, -2.763, 2012-01-03 02:30:00, 91.3, 140.8, 192.7
None, 0.0, 8.81, 0.0, 4.988, 0.843, 811.809, -3.202, 2012-01-03 02:45:00, 94.4, 135.7, 192.7
None, 0.0, 11.53, 0.0, 5.757, 0.499, 812.014, -3.446, 2012-01-03 03:00:00, 96.5, 142.5, 192.7
None, 0.0, 9.49, 0.0, 5.4, 0.965, 812.15, -3.446, 2012-01-03 03:15:00, 95.8, 136.7, 192.7
None, 0.0, 12.44, 0.0, 4.993, 1.118, 812.765, -2.909, 2012-01-03 03:30:00, 90.6, 139.6, 192.6
None, 0.18, 17.64, 0.341, 5.424, 0.938, 812.492, -2.567, 2012-01-03 03:45:00, 87.6, 145.0, 192.6
None, 0.0, 5.973, 0.0, 5.536, 0.49, 812.765, -3.178, 2012-01-03 04:00:00, 93.1, 149.4, 192.6
