station_observations
K_Dn_Avg, WS_Std, AirTC, DBTCDT, Rain_Tot, L_Dn_Avg, L_Up_Avg, WS_Avg, Pressure, time, K_Up_Avg, RH, WindDir_Avg
22.47, 0.0, -8.1, 53.59, 0.0, -1.898, -0.352, 0.0, 937.625, 2012-01-01 12:45:00, 40.46, 94.8, 72.77
20.08, 0.0, -7.909, 53.46, 0.0, -1.553, -0.345, 0.0, 937.392, 2012-01-01 13:00:00, 37.4, 94.2, 87.6
21.91, 0.0, -7.365, 53.63, 0.0, -1.326, -0.41, 0.0, 937.389, 2012-01-01 13:15:00, 40.62, 95.1, 246.7
23.53, 0.0, -6.739, 53.29, 0.0, -1.65, -0.374, 0.0, 937.774, 2012-01-01 13:30:00, 42.99, 94.8, 144.1
26.37, 0.0, -6.296, 53.01, 0.0, -2.11, -0.284, 0.0, 937.389, 2012-01-01 13:45:00, 46.12, 95.0, 110.9
29.37, 0.0, -5.85, 53.32, 0.0, -2.602, -0.331, 0.0, 937.403, 2012-01-01 14:00:00, 50.56, 95.5, 129.2
30.77, 0.0, -5.234, 53.0, 0.0, -3.13, -0.402, 0.0, 937.255, 2012-01-01 14:15:00, 51.67, 96.1, 127.1
31.0, 0.0, -4.679, 50.75, 0.0, -2.814, -0.392, 0.0, 936.769, 2012-01-01 14:30:00, 53.47, 95.9, 97.6
27.24, 0.0, -4.311, 53.32, 0.0, -2.67, -0.273, 0.0, 936.879, 2012-01-01 14:45:00, 47.01, 96.3, 165.5
21.65, 0.0, -3.94, 51.67, 0.0, -1.757, -0.241, 0.0, 936.796, 2012-01-01 15:00:00, 38.05, 96.6, 74.24
20.73, 0.0, -3.643, 51.3, 0.0, -1.398, -0.169, 0.0, 936.513, 2012-01-01 15:15:00, 35.58, 96.9, 82.8
25.3, 0.0, -3.317, 51.28, 0.0, -1.476, -0.147, 0.0, 935.894, 2012-01-01 15:30:00, 43.11, 95.9, 100.5
22.76, 0.0, -3.256, 51.68, 0.0, -2.094, 0.14, 0.0, 935.811, 2012-01-01 15:45:00, 37.84, 96.3, 172.5
16.25, 0.0, -3.108, 51.65, 0.0, -2.055, 0.169, 0.0, 935.794, 2012-01-01 16:00:00, 27.15, 95.4, 126.7
12.3, 0.0, -3.082, 52.15, 0.0, -2.08, 0.158, 0.0, 935.517, 2012-01-01 16:15:00, 19.94, 95.7, 37.55
10.43, 0.0, -3.199, 51.63, 0.0, -2.033, 0.065, 0.0, 935.523, 2012-01-01 16:30:00, 17.51, 96.4, 90.7
6.507, 0.0, -2.991, 52.9, 0.0, -1.638, -0.011, 0.0, 934.818, 2012-01-01 16:45:00, 11.56, 96.1, 122.2
3.451, 0.0, -3.145, 53.18, 0.0, -1.613, 0.144, 0.0, 935.547, 2012-01-01 17:00:00, 5.051, 97.0, 157.9
2.355, 0.0, -2.802, 53.48, 0.0, -1.771, 0.068, 0.0, 935.037, 2012-01-01 17:15:00, 3.541, 97.1, 119.4
1.815, 0.0, -3.028, 53.63, 0.0, -2.069, 0.054, 0.0, 935.146, 2012-01-01 17:30:00, 2.714, 97.0, 84.6
0.989, 0.0, -2.152, 53.03, 0.0, -1.638, -0.205, 0.0, 935.146, 2012-01-01 17:45:00, 2.84, 95.5, 72.64
0.593, 0.0, -2.868, 53.39, 0.0, -2.302, 0.086, 0.0, 934.943, 2012-01-01 18:00:00, 0.647, 96.8, 142.6
0.036, 0.0, -2.735, 53.39, 0.0, -2.302, -0.057, 0.0, 934.804, 2012-01-01 18:15:00, 0.413, 97.5, 111.1
0.0, 0.0, -2.792, 53.52, 0.0, -2.363, 0.0, 0.0, 934.804, 2012-01-01 18:30:00, 0.018, 97.9, 160.3
0.0, 0.0, -2.845, 53.5, 0.0, -2.198, -0.047, 0.0, 934.32, 2012-01-01 18:45:00, 0.144, 97.8, 106.5
0.0, 0.0, -2.792, 53.74, 0.0, -1.91, -0.086, 0.0, 933.935, 2012-01-01 19:00:00, 0.341, 98.3, 104.4
0.0, 0.0, -2.693, 53.72, 0.0, -2.176, -0.072, 0.0, 933.601, 2012-01-01 19:15:00, 0.341, 98.3, 140.2
0.0, 0.0, -2.584, 53.82, 0.0, -2.255, -0.19, 0.0, 932.999, 2012-01-01 19:30:00, 0.629, 98.3, 139.8
0.0, 0.0, -2.556, 53.62, 0.0, -2.255, -0.154, 0.0, 933.079, 2012-01-01 19:45:00, 0.557, 98.4, 75.3
0.0, 0.0, -2.557, 53.63, 0.0, -2.32, -0.108, 0.0, 932.478, 2012-01-01 20:00:00, 0.449, 98.5, 138.8
0.0, 0.0, -2.337, 53.75, 0.0, -2.234, -0.194, 0.0, 932.261, 2012-01-01 20:15:00, 0.755, 98.6, 200.8
0.0, 0.0, -1.948, 53.51, 0.0, -1.921, -0.312, 0.0, 931.987, 2012-01-01 20:30:00, 0.935, 98.8, 45.88
0.0, 0.0, -1.519, 53.57, 0.0, -2.438, -0.323, 0.0, 931.761, 2012-01-01 20:45:00, 1.006, 97.6, 106.9
0.0, 0.0, -1.625, 53.5, 0.0, -3.149, -0.147, 0.0, 931.638, 2012-01-01 21:00:00, 0.539, 98.3, 162.0
0.0, 0.0, -1.73, 53.41, 0.0, -3.788, -0.022, 0.0, 931.17, 2012-01-01 21:15:00, 0.288, 98.4, 133.8
0.0, 0.0, -1.301, 53.48, 0.0, -3.418, -0.287, 0.0, 930.901, 2012-01-01 21:30:00, 0.827, 96.5, 117.5
0.0, 0.0, -1.307, 53.73, 0.0, -3.368, -0.244, 0.0, 930.433, 2012-01-01 21:45:00, 0.737, 97.2, 69.24
0.0, 0.0, -0.665, 53.81, 0.0, -2.74, -0.46, 0.0, 930.032, 2012-01-01 22:00:00, 1.15, 96.9, 100.7
0.0, 0.586, 0.747, 52.83, 0.0, -2.144, -0.589, 0.51, 929.688, 2012-01-01 22:15:00, 1.366, 90.3, 85.1
0.0, 0.526, 1.692, 53.29, 0.0, -2.398, -0.208, 1.899, 929.458, 2012-01-01 22:30:00, 0.198, 85.6, 118.4
0.0, 0.73, 1.192, 54.46, 0.0, -3.479, -0.054, 1.861, 929.46, 2012-01-01 22:45:00, 0.018, 88.4, 157.2
0.0, 0.878, 1.909, 52.61, 0.0, -3.543, -0.05, 2.006, 929.448, 2012-01-01 23:00:00, 0.593, 86.4, 50.72
0.0, 0.668, 2.603, 222.0, 0.0, -0.162, -0.047, 2.746, 931.247, 2012-01-01 23:15:00, 2.498, 83.3, 108.1
0.0, 0.819, 0.871, 222.0, 0.0, -3.346, -0.043, 1.437, 931.631, 2012-01-01 23:30:00, 1.509, 90.9, 122.0
0.0, 0.321, -0.233, 222.0, 0.0, -6.67, -0.022, 0.717, 931.289, 2012-01-01 23:45:00, 0.234, 95.4, 208.1
0.0, 0.37, -0.405, 49.23, 0.0, -7.937, -0.025, 0.526, 931.019, 2012-01-02 00:00:00, 0.126, 97.2, 223.2
0.0, 0.183, -0.218, 51.56, 0.0, -9.11, -0.079, 0.48, 930.754, 2012-01-02 00:15:00, 0.108, 98.1, 156.7
0.0, 0.328, -0.112, 53.7, 0.0, -8.72, -0.115, 0.499, 930.556, 2012-01-02 00:30:00, 0.162, 96.7, 179.5
0.0, 0.286, -0.107, 52.57, 0.0, -7.94, -0.09, 0.672, 930.294, 2012-01-02 00:45:00, 0.413, 96.3, 152.6
0.0, 0.485, -0.243, 52.28, 0.0, -7.922, -0.086, 0.68, 930.165, 2012-01-02 01:00:00, 0.234, 97.6, 102.1
0.0, 0.554, -0.123, 52.0, 0.0, -7.223, -0.129, 1.057, 930.437, 2012-01-02 01:15:00, 0.809, 94.8, 103.4
0.0, 0.237, -0.39, 52.57, 0.0, -8.82, -0.007, 0.497, 930.036, 2012-01-02 01:30:00, 0.018, 97.6, 176.8
0.0, 0.17, -0.366, 52.12, 0.0, -8.99, -0.065, 0.445, 929.821, 2012-01-02 01:45:00, 0.252, 98.4, 153.0
0.0, 0.208, -0.57, 51.98, 0.0, -10.22, -0.09, 0.403, 929.306, 2012-01-02 02:00:00, 0.485, 98.5, 148.4
0.0, 0.266, -0.622, 52.42, 0.0, -8.96, -0.158, 0.373, 929.175, 2012-01-02 02:15:00, 0.826, 98.8, 175.1
0.0, 0.214, -0.521, 52.39, 0.0, -9.12, -0.165, 0.502, 929.059, 2012-01-02 02:30:00, 0.988, 99.1, 129.9
0.0, 0.272, -0.516, 52.4, 0.0, -9.01, -0.19, 0.434, 929.059, 2012-01-02 02:45:00, 0.952, 99.1, 166.3
0.0, 0.28, -0.635, 51.29, 0.0, -9.37, -0.172, 0.545, 928.961, 2012-01-02 03:00:00, 0.719, 99.2, 89.1
0.0, 0.27, -0.624, 52.34, 0.0, -10.22, -0.118, 0.517, 928.711, 2012-01-02 03:15:00, 0.234, 99.2, 112.5
0.0, 0.388, -0.781, 52.37, 0.0, -11.21, -0.179, 0.59, 928.094, 2012-01-02 03:30:00, 0.413, 99.3, 63.17
0.0, 0.33, -0.846, 52.26, 0.0, -11.01, -0.158, 0.741, 928.049, 2012-01-02 03:45:00, 0.521, 99.3, 88.3
0.0, 0.374, -0.173, 52.17, 0.0, -11.01, -0.384, 0.719, 928.053, 2012-01-02 04:00:00, 1.437, 97.7, 95.4
0.0, 0.408, 0.429, 52.34, 0.0, -10.56, -0.377, 0.892, 929.058, 2012-01-02 04:15:00, 2.156, 92.2, 60.51
0.0, 0.193, -0.1, 52.69, 0.0, -11.84, -0.108, 0.387, 928.593, 2012-01-02 04:30:00, 0.952, 94.7, 129.5
0.0, 0.409, -0.769, 51.1, 0.0, -13.01, -0.007, 0.573, 927.989, 2012-01-02 04:45:00, 0.395, 96.1, 34.59
0.0, 0.403, -1.016, 51.65, 0.0, -12.41, -0.057, 0.591, 927.457, 2012-01-02 05:00:00, 0.234, 97.0, 78.82
0.0, 0.212, -0.944, 53.13, 0.0, -12.24, -0.025, 0.437, 927.33, 2012-01-02 05:15:00, 0.144, 98.2, 175.1
0.0, 0.233, -1.231, 53.15, 0.0, -12.99, -0.122, 0.466, 926.865, 2012-01-02 05:30:00, 0.288, 98.3, 140.8
0.0, 0.291, -1.182, 52.29, 0.0, -12.34, -0.151, 0.506, 926.465, 2012-01-02 05:45:00, 0.575, 98.3, 141.1
0.0, 0.286, -1.152, 52.71, 0.0, -11.79, -0.341, 0.669, 926.365, 2012-01-02 06:00:00, 1.114, 98.3, 125.7
0.0, 0.25, -0.955, 47.71, 0.0, -11.49, -0.266, 0.568, 926.599, 2012-01-02 06:15:00, 1.042, 98.6, 151.4
0.0, 0.417, -1.054, 51.4, 0.0, -10.87, -0.348, 0.662, 926.869, 2012-01-02 06:30:00, 1.204, 98.4, 112.4
0.0, 0.382, -0.619, 222.0, 0.0, -9.63, -0.312, 0.751, 927.471, 2012-01-02 06:45:00, 1.671, 97.8, 152.3
0.0, 0.482, -0.559, 222.0, 0.0, -9.12, -0.262, 0.699, 927.97, 2012-01-02 07:00:00, 1.204, 98.0, 172.0
0.0, 0.252, -0.48, 222.0, 0.0, -9.28, -0.187, 0.436, 928.202, 2012-01-02 07:15:00, 0.701, 98.5, 171.7
0.0, 0.241, -0.462, 222.0, 0.0, -8.58, -0.266, 0.529, 928.466, 2012-01-02 07:30:00, 0.988, 98.5, 162.7
0.0, 0.265, -0.568, 222.0, 0.0, -9.22, -0.18, 0.495, 928.597, 2012-01-02 07:45:00, 0.755, 98.6, 133.0
0.0, 0.369, -0.263, 222.0, 0.0, -8.27, -0.312, 0.631, 929.06, 2012-01-02 08:00:00, 1.312, 98.5, 93.3
0.0, 0.252, -0.299, 222.0, 0.0, -9.0, -0.097, 0.4, 929.051, 2012-01-02 08:15:00, 0.557, 98.4, 142.3
0.0, 0.311, -0.418, 222.0, 0.0, -9.42, -0.154, 0.579, 929.053, 2012-01-02 08:30:00, 0.575, 98.5, 62.72
0.0, 0.257, -0.429, 222.0, 0.0, -8.72, -0.23, 0.542, 929.179, 2012-01-02 08:45:00, 0.827, 98.5, 137.0
0.0, 0.192, -0.301, 222.0, 0.0, -8.18, -0.197, 0.35, 929.445, 2012-01-02 09:00:00, 0.755, 98.6, 89.8
0.0, 0.295, -0.029, 222.0, 0.0, -7.431, -0.284, 0.474, 929.911, 2012-01-02 09:15:00, 1.132, 98.4, 126.7
0.0, 0.209, -0.005, 222.0, 0.0, -7.553, -0.241, 0.536, 930.045, 2012-01-02 09:30:00, 0.88, 97.8, 112.0
0.0, 0.29, -0.111, 222.0, 0.0, -7.833, -0.136, 0.559, 930.428, 2012-01-02 09:45:00, 0.539, 97.9, 110.7
0.0, 0.298, 0.198, 222.0, 0.0, -7.453, -0.212, 0.571, 930.645, 2012-01-02 10:00:00, 0.898, 97.6, 124.3
0.0, 0.212, -0.023, 222.0, 0.0, -7.661, -0.115, 0.52, 930.769, 2012-01-02 10:15:00, 1.204, 97.8, 145.1
0.27, 0.315, 0.047, 222.0, 0.0, -7.363, -0.147, 0.366, 931.034, 2012-01-02 10:30:00, 1.94, 98.0, 149.3
1.258, 0.273, 0.161, 222.0, 0.0, -7.269, -0.118, 0.501, 931.165, 2012-01-02 10:45:00, 4.168, 97.6, 131.0
2.587, 0.25, 0.342, 222.0, 0.0, -7.111, -0.065, 0.554, 931.493, 2012-01-02 11:00:00, 6.702, 98.0, 149.5
4.15, 0.548, 2.297, 222.0, 0.0, -5.912, -0.068, 0.658, 932.156, 2012-01-02 11:15:00, 10.74, 87.0, 130.1
6.809, 0.263, 0.783, 222.0, 0.0, -5.786, -0.057, 0.582, 932.354, 2012-01-02 11:30:00, 15.31, 94.8, 110.6
9.93, 0.242, 0.701, 222.0, 0.0, -5.707, -0.057, 0.507, 932.621, 2012-01-02 11:45:00, 21.24, 95.9, 144.8
13.94, 0.238, 0.882, 222.0, 0.0, -5.722, -0.068, 0.446, 932.753, 2012-01-02 12:00:00, 29.68, 95.4, 153.5
16.65, 0.253, 0.899, 222.0, 0.0, -6.124, -0.065, 0.41, 933.094, 2012-01-02 12:15:00, 34.19, 95.6, 122.2
20.19, 0.304, 1.127, 222.0, 0.0, -5.747, -0.104, 0.556, 933.341, 2012-01-02 12:30:00, 41.1, 95.1, 99.0
30.83, 0.295, 1.198, 222.0, 0.0, -5.65, -0.212, 0.804, 933.602, 2012-01-02 12:45:00, 55.57, 93.7, 100.2
41.05, 0.334, 1.475, 222.0, 0.0, -5.725, -0.345, 0.8, 934.065, 2012-01-02 13:00:00, 60.96, 93.1, 73.14
60.83, 0.254, 1.594, 222.0, 0.0, -6.349, -0.291, 0.51, 934.333, 2012-01-02 13:15:00, 65.68, 92.9, 144.8
72.95, 0.261, 1.478, 222.0, 0.0, -5.373, -0.395, 0.567, 934.464, 2012-01-02 13:30:00, 67.83, 93.2, 109.4
85.1, 0.251, 1.911, 222.0, 0.0, -5.201, -0.657, 0.461, 934.663, 2012-01-02 13:45:00, 71.14, 91.5, 84.5
89.7, 0.367, 1.683, 222.0, 0.0, -6.306, -0.754, 0.584, 934.797, 2012-01-02 14:00:00, 68.42, 93.1, 79.6
99.4, 0.202, 1.94, 222.0, 0.0, -6.712, -0.8, 0.248, 934.798, 2012-01-02 14:15:00, 69.63, 92.3, 124.1
98.7, 0.227, 1.887, 222.0, 0.0, -6.037, -1.231, 0.288, 935.064, 2012-01-02 14:30:00, 67.36, 92.8, 147.1
73.65, 0.141, 1.977, 222.0, 0.0, -1.529, -1.446, 0.209, 935.064, 2012-01-02 14:45:00, 51.41, 92.3, 136.2
65.69, 0.37, 2.658, 222.0, 0.0, -0.362, -4.145, 0.984, 935.297, 2012-01-02 15:00:00, 46.31, 87.5, 44.11
55.49, 0.433, 2.094, 222.0, 0.0, -1.12, -4.465, 0.812, 935.326, 2012-01-02 15:15:00, 39.97, 90.9, 104.8
48.93, 0.172, 2.068, 222.0, 0.0, -5.096, -8.4, 0.489, 935.521, 2012-01-02 15:30:00, 34.17, 90.5, 98.4
59.83, 0.222, 2.182, 49.99, 0.0, -8.53, -17.91, 0.465, 936.177, 2012-01-02 15:45:00, 38.93, 87.9, 96.5
62.42, 0.253, 2.162, 50.54, 0.0, -10.86, -24.61, 0.32, 936.174, 2012-01-02 16:00:00, 40.24, 88.1, 154.2
59.47, 0.161, 1.984, 50.31, 0.0, -13.55, -33.69, 0.166, 936.305, 2012-01-02 16:15:00, 39.0, 90.0, 121.2
41.15, 0.082, 1.679, 51.29, 0.0, -15.12, -34.36, 0.096, 935.902, 2012-01-02 16:30:00, 27.86, 91.3, 133.7
26.28, 0.213, 1.254, 50.91, 0.0, -13.31, -26.88, 0.344, 935.436, 2012-01-02 16:45:00, 17.75, 93.3, 125.9
21.36, 0.26, 1.37, 52.13, 0.0, -12.33, -27.35, 0.26, 935.036, 2012-01-02 17:00:00, 14.55, 93.2, 142.8
14.3, 0.222, 1.089, 51.29, 0.0, -12.31, -26.44, 0.205, 934.686, 2012-01-02 17:15:00, 9.79, 93.8, 158.7
8.32, 0.173, 0.966, 51.98, 0.0, -11.8, -25.24, 0.149, 934.31, 2012-01-02 17:30:00, 5.784, 94.6, 134.9
5.066, 0.043, 0.82, 52.48, 0.0, -11.1, -22.49, 0.017, 933.848, 2012-01-02 17:45:00, 3.557, 95.0, 122.6
2.227, 0.006, 0.634, 52.14, 0.0, -9.36, -16.52, 0.002, 933.587, 2012-01-02 18:00:00, 1.473, 95.4, 156.2
0.79, 0.072, 0.529, 52.31, 0.0, -8.12, -15.19, 0.023, 933.326, 2012-01-02 18:15:00, 0.467, 96.2, 189.7
0.287, 0.151, 0.46, 52.31, 0.0, -6.981, -12.74, 0.124, 933.327, 2012-01-02 18:30:00, 0.036, 96.4, 232.2
0.251, 0.072, 0.322, 52.27, 0.0, -6.055, -9.64, 0.044, 933.194, 2012-01-02 18:45:00, 0.0, 97.1, 203.9
0.503, 0.034, 0.289, 52.31, 0.0, -5.172, -6.73, 0.014, 933.194, 2012-01-02 19:00:00, 0.018, 97.5, 80.5
0.557, 0.05, 0.251, 52.38, 0.0, -4.845, -6.389, 0.018, 933.111, 2012-01-02 19:15:00, 0.036, 97.7, 44.95
0.844, 0.021, 0.304, 52.32, 0.0, -4.16, -4.102, 0.01, 933.194, 2012-01-02 19:30:00, 0.198, 97.8, 49.97
1.204, 0.187, 0.404, 52.31, 0.0, -3.941, -3.525, 0.173, 933.461, 2012-01-02 19:45:00, 0.431, 98.1, 110.8
1.473, 0.129, 0.719, 52.39, 0.0, -4.092, -3.779, 0.131, 933.728, 2012-01-02 20:00:00, 0.575, 98.0, 137.1
1.707, 0.178, 0.857, 52.19, 0.0, -4.623, -4.332, 0.25, 933.929, 2012-01-02 20:15:00, 0.629, 96.6, 156.3
1.473, 0.174, 1.004, 52.04, 0.0, -4.989, -3.726, 0.113, 934.062, 2012-01-02 20:30:00, 0.413, 95.9, 165.4
1.509, 0.2, 1.046, 51.99, 0.0, -5.136, -3.359, 0.285, 934.328, 2012-01-02 20:45:00, 0.162, 96.1, 105.9
1.132, 0.193, 1.059, 52.1, 0.0, -5.52, -5.351, 0.269, 934.46, 2012-01-02 21:00:00, 0.018, 95.2, 149.4
0.683, 0.237, 0.939, 51.97, 0.0, -5.699, -5.947, 0.211, 934.459, 2012-01-02 21:15:00, 0.0, 95.0, 198.6
0.467, 0.193, 0.791, 51.87, 0.0, -5.696, -5.89, 0.228, 934.462, 2012-01-02 21:30:00, 0.0, 96.0, 154.3
0.593, 0.202, 0.796, 51.94, 0.0, -5.434, -4.913, 0.235, 934.32, 2012-01-02 21:45:00, 0.0, 96.2, 158.7
0.341, 0.161, 0.691, 51.94, 0.0, -5.143, -4.135, 0.148, 934.323, 2012-01-02 22:00:00, 0.0, 96.5, 135.8
0.251, 0.053, 0.633, 51.86, 0.0, -5.046, -5.294, 0.021, 934.323, 2012-01-02 22:15:00, 0.0, 96.4, 164.5
0.072, 0.104, 0.505, 51.72, 0.0, -5.211, -7.408, 0.06, 934.069, 2012-01-02 22:30:00, 0.0, 97.0, 117.9
0.0, 0.178, 0.434, 51.64, 0.0, -6.248, -14.46, 0.222, 933.859, 2012-01-02 22:45:00, 0.0, 97.2, 250.8
0.0, 0.129, 0.253, 51.48, 0.0, -8.27, -21.49, 0.097, 933.344, 2012-01-02 23:00:00, 0.0, 97.1, 228.9
