station_observations
Rain_Tot, AirTC, time, RH, WS_Avg, DBTCDT
0.0, -0.646, 2012-01-04 07:00:00, 103.9, 2.307, 1.486
0.0, -0.654, 2012-01-04 07:59:59, 103.9, 1.869, 1.481
0.0, -0.662, 2012-01-04 09:00:00, 103.8, 1.944, 1.481
0.0, -0.666, 2012-01-04 10:00:00, 103.9, 1.85, 1.477
0.0, -0.629, 2012-01-04 10:59:59, 104.0, 1.976, 1.472
0.0, -0.625, 2012-01-04 12:00:00, 103.6, 1.971, 1.465
0.0, -0.631, 2012-01-04 13:00:00, 102.1, 1.962, 1.461
0.0, -0.633, 2012-01-04 13:59:59, 101.1, 1.759, 1.455
0.0, -0.64, 2012-01-04 15:00:00, 100.7, 1.675, 1.456
0.0, -0.635, 2012-01-04 16:00:00, 102.2, 1.525, 1.448
0.0, -0.637, 2012-01-04 16:59:59, 103.4, 1.64, 1.428
0.0, -0.635, 2012-01-04 18:00:00, 103.8, 1.216, 1.425
0.0, -0.63, 2012-01-04 19:00:00, 103.6, 0.966, 1.411
0.0, -0.635, 2012-01-04 19:59:59, 103.5, 1.028, 2.42
0.0, -0.627, 2012-01-04 21:00:00, 104.2, 0.513, 2.42
0.0, -0.639, 2012-01-04 22:00:00, 104.3, 0.543, 2.42
0.0, -0.611, 2012-01-04 22:59:59, 104.2, 3.636, 1.511
0.0, -0.618, 2012-01-05 00:00:00, 104.1, 4.87, 1.525
0.0, -0.624, 2012-01-05 01:00:00, 103.9, 4.086, 1.523
0.0, -0.632, 2012-01-05 01:59:59, 103.9, 2.608, 1.519
0.0, -0.664, 2012-01-05 03:00:00, 103.8, 2.583, 1.512
0.0, -0.657, 2012-01-05 04:00:00, 103.7, 3.136, 1.525
0.0, -0.654, 2012-01-05 04:59:59, 103.5, 3.784, 1.518
0.0, -0.668, 2012-01-05 06:00:00, 103.2, 3.154, 1.521
0.0, -0.687, 2012-01-05 07:00:00, 102.9, 3.03, 1.524
0.0, -0.706, 2012-01-05 07:59:59, 102.7, 2.216, 1.521
0.0, -0.701, 2012-01-05 09:00:00, 102.5, 3.357, 1.52
0.0, -0.713, 2012-01-05 10:00:00, 102.1, 3.389, 1.517
0.0, -0.704, 2012-01-05 10:59:59, 102.1, 3.495, 1.489
0.0, -0.688, 2012-01-05 12:00:00, 102.4, 3.803, 1.508
0.0, -0.68, 2012-01-05 13:00:00, 101.5, 4.035, 1.506
0.0, -0.683, 2012-01-05 13:59:59, 101.0, 4.259, 1.496
0.0, -0.698, 2012-01-05 15:00:00, 102.1, 4.148, 1.49
0.0, -0.702, 2012-01-05 16:00:00, 101.7, 3.241, 1.483
0.0, -0.701, 2012-01-05 16:59:59, 100.7, 3.489, 1.504
0.0, -0.7, 2012-01-05 18:00:00, 101.1, 3.407, 1.49
0.0, -0.695, 2012-01-05 19:00:00, 100.1, 3.035, 1.493
0.0, -0.693, 2012-01-05 19:59:59, 99.8, 3.128, 1.487
0.0, -0.69, 2012-01-05 21:00:00, 99.5, 2.359, 1.49
0.0, -0.683, 2012-01-05 22:00:00, 100.0, 2.581, 1.487
0.0, -0.678, 2012-01-05 22:59:59, 99.8, 3.467, 1.481
0.0, -0.659, 2012-01-06 00:00:00, 100.3, 2.748, 1.481
0.0, -0.657, 2012-01-06 01:00:00, 101.4, 2.288, 1.474
0.0, -0.662, 2012-01-06 01:59:59, 101.0, 1.816, 1.474
0.0, -0.657, 2012-01-06 03:00:00, 100.8, 1.587, 1.473
0.0, -0.648, 2012-01-06 04:00:00, 101.4, 1.15, 1.473
0.0, -0.643, 2012-01-06 04:59:59, 101.2, 1.195, 1.474
0.0, -0.648, 2012-01-06 06:00:00, 101.7, 1.141, 1.472
0.0, -0.651, 2012-01-06 07:00:00, 102.2, 0.498, 1.476
0.0, -0.645, 2012-01-06 07:59:59, 102.1, 1.297, 1.476
0.0, -0.659, 2012-01-06 09:00:00, 102.0, 1.098, 1.486
0.0, -0.657, 2012-01-06 10:00:00, 102.0, 1.054, 1.465
0.0, -0.646, 2012-01-06 10:59:59, 101.9, 0.759, 1.474
0.0, -0.64, 2012-01-06 12:00:00, 101.6, 0.698, 1.466
0.0, -0.637, 2012-01-06 13:00:00, 101.5, 0.525, 1.518
0.0, -0.634, 2012-01-06 13:59:59, 101.2, 0.444, 1.476
0.0, -0.681, 2012-01-06 15:00:00, 98.9, 0.434, 1.506
0.0, -0.744, 2012-01-06 16:00:00, 100.1, 1.132, 1.503
0.0, -0.745, 2012-01-06 16:59:59, 99.6, 1.129, 2.42
0.0, -0.755, 2012-01-06 18:00:00, 99.9, 1.174, 1.471
0.0, -0.702, 2012-01-06 19:00:00, 99.8, 0.989, 2.42
0.0, -0.66, 2012-01-06 19:59:59, 100.1, 0.95, 1.471
0.0, -0.635, 2012-01-06 21:00:00, 99.8, 0.861, 1.474
0.0, -0.633, 2012-01-06 22:00:00, 99.6, 1.111, 1.49
0.0, -0.632, 2012-01-06 22:59:59, 99.2, 1.202, 1.481
0.0, -0.633, 2012-01-07 00:00:00, 99.7, 1.111, 1.485
0.0, -0.626, 2012-01-07 01:00:00, 99.2, 1.444, 1.494
0.0, -0.627, 2012-01-07 01:59:59, 100.5, 1.131, 1.483
0.0, -0.627, 2012-01-07 03:00:00, 100.1, 1.328, 1.487
0.0, -0.625, 2012-01-07 04:00:00, 100.1, 1.336, 1.487
0.0, -0.638, 2012-01-07 04:59:59, 100.3, 0.936, 1.488
0.0, -0.643, 2012-01-07 06:00:00, 100.7, 1.266, 1.486
0.0, -0.646, 2012-01-07 07:00:00, 99.4, 1.18, 1.488
0.0, -0.667, 2012-01-07 07:59:59, 99.6, 1.565, 1.48
0.0, -0.626, 2012-01-07 09:00:00, 99.9, 1.191, 1.481
0.0, -0.593, 2012-01-07 10:00:00, 99.4, 2.001, 1.483
0.0, -0.583, 2012-01-07 10:59:59, 100.0, 2.007, 1.478
0.0, -0.594, 2012-01-07 12:00:00, 100.3, 2.137, 1.473
0.0, -0.598, 2012-01-07 13:00:00, 100.4, 2.348, 1.471
0.0, -0.599, 2012-01-07 13:59:59, 100.6, 1.915, 1.475
0.0, -0.61, 2012-01-07 15:00:00, 101.7, 2.552, 1.473
0.0, -0.617, 2012-01-07 16:00:00, 102.2, 2.198, 1.471
0.0, -0.615, 2012-01-07 16:59:59, 102.2, 2.374, 1.477
0.0, -0.616, 2012-01-07 18:00:00, 102.4, 2.558, 1.473
0.0, -0.608, 2012-01-07 19:00:00, 102.6, 3.176, 1.484
0.0, -0.608, 2012-01-07 19:59:59, 102.7, 2.787, 1.467
0.0, -0.601, 2012-01-07 21:00:00, 102.7, 3.148, 1.472
0.0, -0.603, 2012-01-07 22:00:00, 103.0, 2.858, 1.471
0.0, -0.601, 2012-01-07 22:59:59, 103.0, 2.674, 2.42
0.0, -0.593, 2012-01-08 00:00:00, 103.0, 2.65, 2.42
0.0, -0.588, 2012-01-08 01:00:00, 103.1, 2.288, 1.462
0.0, -0.587, 2012-01-08 01:59:59, 103.2, 2.366, 1.473
0.0, -0.587, 2012-01-08 03:00:00, 103.2, 2.374, 2.42
0.0, -0.582, 2012-01-08 04:00:00, 103.3, 3.06, 1.47
0.0, -0.577, 2012-01-08 04:59:59, 103.4, 2.95, 1.469
0.0, -0.575, 2012-01-08 06:00:00, 103.4, 2.196, 1.478
0.0, -0.574, 2012-01-08 07:00:00, 103.6, 2.203, 1.469
0.0, -0.573, 2012-01-08 07:59:59, 103.6, 2.488, 2.42
0.0, -0.57, 2012-01-08 09:00:00, 103.7, 2.376, 2.42
0.0, -0.564, 2012-01-08 10:00:00, 103.8, 2.404, 1.495
0.0, -0.564, 2012-01-08 10:59:59, 103.9, 2.844, 1.502
0.0, -0.565, 2012-01-08 12:00:00, 104.0, 1.866, 1.521
0.0, -0.566, 2012-01-08 13:00:00, 104.1, 2.288, 1.487
0.0, -0.569, 2012-01-08 13:59:59, 104.1, 2.461, 1.512
0.0, -0.575, 2012-01-08 15:00:00, 104.2, 2.167, 1.517
0.0, -0.582, 2012-01-08 16:00:00, 104.2, 1.525, 2.42
0.0, -0.582, 2012-01-08 16:59:59, 104.3, 1.72, 2.42
0.0, -0.582, 2012-01-08 18:00:00, 104.2, 2.074, 2.42
0.0, -0.577, 2012-01-08 19:00:00, 104.3, 2.152, 2.42
0.0, -0.579, 2012-01-08 19:59:59, 104.4, 1.863, 2.42
0.0, -0.576, 2012-01-08 21:00:00, 104.5, 2.16, 1.552
0.0, -0.577, 2012-01-08 22:00:00, 104.6, 2.691, 2.42
0.0, -0.57, 2012-01-08 22:59:59, 104.6, 3.291, 2.42
0.0, -0.565, 2012-01-09 00:00:00, 104.6, 2.56, 2.42
0.0, -0.563, 2012-01-09 01:00:00, 104.7, 2.583, 2.42
0.0, -0.56, 2012-01-09 01:59:59, 104.7, 3.577, 2.42
0.0, -0.56, 2012-01-09 03:00:00, 104.8, 2.922, 1.536
0.0, -0.559, 2012-01-09 04:00:00, 104.8, 2.941, 2.42
0.0, -0.562, 2012-01-09 04:59:59, 104.7, 2.399, 1.532
0.0, -0.562, 2012-01-09 06:00:00, 104.1, 2.306, 1.537
0.0, -0.566, 2012-01-09 07:00:00, 102.0, 2.585, 1.538
0.0, -0.57, 2012-01-09 07:59:59, 101.7, 2.749, 1.537
0.0, -0.565, 2012-01-09 09:00:00, 101.8, 3.06, 1.548
0.0, -0.564, 2012-01-09 10:00:00, 102.4, 2.847, 1.555
0.0, -0.543, 2012-01-09 10:59:59, 101.6, 3.717, 1.559
0.0, -0.561, 2012-01-09 12:00:00, 102.6, 2.808, 1.555
0.0, -0.542, 2012-01-09 13:00:00, 103.3, 2.385, 1.533
0.0, -0.548, 2012-01-09 13:59:59, 103.8, 3.209, 1.549
0.0, -0.547, 2012-01-09 15:00:00, 103.6, 4.021, 2.42
0.0, -0.538, 2012-01-09 16:00:00, 103.5, 4.38, 1.563
0.0, -0.53, 2012-01-09 16:59:59, 102.7, 4.44, 2.42
0.0, -0.534, 2012-01-09 18:00:00, 100.4, 4.065, 1.586
0.0, -0.539, 2012-01-09 19:00:00, 100.1, 3.325, 1.586
0.0, -0.552, 2012-01-09 19:59:59, 100.9, 2.862, 1.572
0.0, -0.555, 2012-01-09 21:00:00, 101.8, 2.242, 1.567
0.0, -0.557, 2012-01-09 22:00:00, 101.1, 3.021, 1.566
0.0, -0.557, 2012-01-09 22:59:59, 101.9, 2.274, 2.42
0.0, -0.561, 2012-01-10 00:00:00, 101.4, 2.612, 2.42
0.0, -0.57, 2012-01-10 01:00:00, 100.9, 2.869, 2.42
0.0, -0.586, 2012-01-10 01:59:59, 100.5, 4.63, 1.549
0.0, -0.606, 2012-01-10 03:00:00, 99.5, 4.679, 1.554
0.0, -0.622, 2012-01-10 04:00:00, 98.4, 4.206, 2.42
0.0, -0.64, 2012-01-10 04:59:59, 98.9, 2.547, 1.545
0.0, -0.655, 2012-01-10 06:00:00, 99.0, 3.946, 1.542
0.0, -0.665, 2012-01-10 07:00:00, 98.6, 4.227, 1.543
0.0, -0.675, 2012-01-10 07:59:59, 97.7, 3.862, 1.538
0.0, -0.672, 2012-01-10 09:00:00, 97.4, 2.142, 1.537
0.0, -0.667, 2012-01-10 10:00:00, 96.9, 1.787, 1.537
0.0, -0.668, 2012-01-10 10:59:59, 96.8, 1.961, 1.535
0.0, -0.661, 2012-01-10 12:00:00, 97.0, 2.002, 1.535
0.0, -0.656, 2012-01-10 13:00:00, 97.2, 1.47, 1.538
0.0, -0.657, 2012-01-10 13:59:59, 96.7, 1.396, 1.533
0.0, -0.662, 2012-01-10 15:00:00, 96.2, 1.729, 1.53
0.0, -0.672, 2012-01-10 16:00:00, 95.8, 1.813, 1.529
0.0, -0.686, 2012-01-10 16:59:59, 94.6, 1.623, 1.526
0.0, -0.707, 2012-01-10 18:00:00, 93.9, 1.744, 1.528
0.0, -0.72, 2012-01-10 19:00:00, 93.7, 1.938, 1.528
0.0, -0.726, 2012-01-10 19:59:59, 93.7, 2.103, 1.526
0.0, -0.724, 2012-01-10 21:00:00, 93.9, 2.277, 1.524
0.0, -0.72, 2012-01-10 22:00:00, 93.8, 2.257, 1.523
0.0, -0.721, 2012-01-10 22:59:59, 93.9, 2.003, 1.52
0.0, -0.719, 2012-01-11 00:00:00, 93.7, 1.803, 1.519
0.0, -0.718, 2012-01-11 01:00:00, 93.6, 1.846, 1.518
0.0, -0.721, 2012-01-11 01:59:59, 93.6, 1.777, 1.516
0.0, -0.714, 2012-01-11 03:00:00, 93.8, 1.75, 1.521
0.0, -0.705, 2012-01-11 04:00:00, 94.5, 1.876, 1.509
0.0, -0.685, 2012-01-11 04:59:59, 94.5, 1.891, 1.508
0.0, -0.678, 2012-01-11 06:00:00, 94.7, 1.584, 1.507
0.0, -0.674, 2012-01-11 07:00:00, 94.5, 1.541, 1.503
0.0, -0.665, 2012-01-11 07:59:59, 94.8, 1.538, 1.505
0.0, -0.667, 2012-01-11 09:00:00, 95.1, 1.123, 1.502
0.0, -0.645, 2012-01-11 10:00:00, 96.6, 0.751, 1.493
0.0, -0.599, 2012-01-11 10:59:59, 97.5, 0.357, 1.511
0.0, -0.568, 2012-01-11 12:00:00, 97.9, 0.845, 1.508
0.0, -0.531, 2012-01-11 13:00:00, 98.9, 0.597, 1.507
0.0, -0.495, 2012-01-11 13:59:59, 99.7, 0.669, 1.504
0.0, -0.496, 2012-01-11 15:00:00, 99.6, 0.892, 1.503
0.0, -0.496, 2012-01-11 16:00:00, 98.8, 0.896, 1.501
0.0, -0.495, 2012-01-11 16:59:59, 98.5, 1.144, 1.5
0.0, -0.506, 2012-01-11 18:00:00, 98.8, 1.241, 1.497
0.0, -0.517, 2012-01-11 19:00:00, 97.7, 1.708, 1.493
0.0, -0.563, 2012-01-11 19:59:59, 97.4, 2.045, 1.483
0.0, -0.593, 2012-01-11 21:00:00, 97.3, 2.117, 1.475
0.0, -0.602, 2012-01-11 22:00:00, 97.5, 2.137, 2.42
0.0, -0.595, 2012-01-11 22:59:59, 97.9, 2.154, 2.42
0.0, -0.584, 2012-01-12 00:00:00, 97.5, 2.043, 1.474
0.0, -0.584, 2012-01-12 01:00:00, 97.5, 2.129, 1.477
0.0, -0.59, 2012-01-12 01:59:59, 97.3, 1.766, 1.476
0.0, -0.581, 2012-01-12 03:00:00, 98.0, 2.052, 1.472
0.0, -0.552, 2012-01-12 04:00:00, 99.2, 2.085, 1.472
0.0, -0.498, 2012-01-12 04:59:59, 99.2, 1.681, 1.474
0.0, -0.491, 2012-01-12 06:00:00, 99.3, 1.452, 1.463
0.0, -0.492, 2012-01-12 07:00:00, 100.0, 2.056, 1.476
0.0, -0.499, 2012-01-12 07:59:59, 99.7, 2.4, 1.478
0.0, -0.512, 2012-01-12 09:00:00, 100.3, 1.981, 1.476
0.0, -0.519, 2012-01-12 10:00:00, 101.3, 2.03, 1.476
0.0, -0.528, 2012-01-12 10:59:59, 101.3, 2.441, 1.475
0.0, -0.538, 2012-01-12 12:00:00, 101.5, 2.665, 1.472
0.0, -0.547, 2012-01-12 13:00:00, 101.2, 2.85, 1.472
0.0, -0.549, 2012-01-12 13:59:59, 101.7, 1.761, 1.472
0.0, -0.553, 2012-01-12 15:00:00, 102.0, 1.415, 1.471
0.0, -0.554, 2012-01-12 16:00:00, 101.9, 1.605, 1.46
0.0, -0.55, 2012-01-12 16:59:59, 102.1, 1.778, 1.465
0.0, -0.545, 2012-01-12 18:00:00, 101.3, 1.965, 1.462
0.0, -0.546, 2012-01-12 19:00:00, 101.0, 2.327, 1.465
0.0, -0.547, 2012-01-12 19:59:59, 100.6, 1.859, 1.464
0.0, -0.54, 2012-01-12 21:00:00, 100.4, 3.135, 1.461
0.0, -0.534, 2012-01-12 22:00:00, 101.4, 3.242, 1.43
0.0, -0.527, 2012-01-12 22:59:59, 99.9, 3.525, 1.471
0.0, -0.515, 2012-01-13 00:00:00, 94.9, 5.279, 1.492
0.0, -0.512, 2012-01-13 01:00:00, 93.4, 4.193, 1.488
0.0, -0.516, 2012-01-13 01:59:59, 98.1, 1.765, 1.483
0.0, -0.511, 2012-01-13 03:00:00, 95.9, 3.616, 1.484
0.0, -0.519, 2012-01-13 04:00:00, 98.1, 3.429, 1.481
0.0, -0.52, 2012-01-13 04:59:59, 100.3, 3.691, 1.479
0.0, -0.518, 2012-01-13 06:00:00, 101.5, 3.512, 1.478
0.0, -0.521, 2012-01-13 07:00:00, 101.7, 2.853, 1.478
0.0, -0.503, 2012-01-13 07:59:59, 101.8, 2.409, 1.46
0.0, -0.503, 2012-01-13 09:00:00, 101.8, 1.64, 1.475
0.0, -0.502, 2012-01-13 10:00:00, 101.8, 2.095, 1.458
0.0, -0.514, 2012-01-13 10:59:59, 101.9, 2.264, 1.467
0.0, -0.518, 2012-01-13 12:00:00, 101.8, 1.865, 1.473
0.0, -0.523, 2012-01-13 13:00:00, 101.8, 1.585, 1.478
0.0, -0.527, 2012-01-13 13:59:59, 101.7, 1.129, 1.473
0.0, -0.52, 2012-01-13 15:00:00, 101.3, 1.229, 1.473
0.0, -0.54, 2012-01-13 16:00:00, 100.6, 1.457, 1.468
0.0, -0.556, 2012-01-13 16:59:59, 100.2, 1.394, 1.469
0.0, -0.582, 2012-01-13 18:00:00, 99.3, 1.614, 1.461
0.0, -0.593, 2012-01-13 19:00:00, 99.1, 1.834, 1.465
0.0, -0.594, 2012-01-13 19:59:59, 99.0, 1.801, 1.459
0.0, -0.585, 2012-01-13 21:00:00, 99.8, 1.619, 1.46
0.0, -0.565, 2012-01-13 22:00:00, 100.0, 1.444, 1.457
0.0, -0.55, 2012-01-13 22:59:59, 100.3, 1.603, 1.445
0.0, -0.518, 2012-01-14 00:00:00, 100.9, 1.614, 2.42
0.0, -0.517, 2012-01-14 01:00:00, 101.0, 1.781, 2.42
0.0, -0.51, 2012-01-14 01:59:59, 101.1, 1.203, 2.42
0.0, -0.507, 2012-01-14 03:00:00, 101.3, 0.621, 2.42
0.0, -0.505, 2012-01-14 04:00:00, 101.3, 1.003, 2.42
0.0, -0.508, 2012-01-14 04:59:59, 101.1, 1.172, 2.42
0.0, -0.522, 2012-01-14 06:00:00, 100.0, 1.376, 2.42
0.0, -0.556, 2012-01-14 07:00:00, 99.6, 1.914, 2.42
0.0, -0.56, 2012-01-14 07:59:59, 100.3, 1.412, 2.42
0.0, -0.553, 2012-01-14 09:00:00, 100.3, 1.096, 2.42
0.0, -0.541, 2012-01-14 10:00:00, 100.6, 0.666, 1.448
0.0, -0.53, 2012-01-14 10:59:59, 101.0, 0.249, 1.449
0.0, -0.517, 2012-01-14 12:00:00, 101.1, 0.358, 1.461
0.0, -0.508, 2012-01-14 13:00:00, 101.4, 1.594, 1.443
0.0, -0.518, 2012-01-14 13:59:59, 101.4, 1.583, 1.453
0.0, -0.529, 2012-01-14 15:00:00, 101.0, 1.528, 1.471
0.0, -0.532, 2012-01-14 16:00:00, 100.7, 0.632, 1.454
0.0, -0.546, 2012-01-14 16:59:59, 100.2, 0.432, 1.451
0.0, -0.559, 2012-01-14 18:00:00, 99.6, 0.546, 1.456
0.0, -0.566, 2012-01-14 19:00:00, 99.2, 1.144, 1.458
0.0, -0.573, 2012-01-14 19:59:59, 98.2, 2.364, 1.458
0.0, -0.583, 2012-01-14 21:00:00, 97.2, 2.463, 1.464
0.0, -0.599, 2012-01-14 22:00:00, 96.3, 2.715, 1.465
0.0, -0.629, 2012-01-14 22:59:59, 95.8, 2.495, 1.463
0.0, -0.647, 2012-01-15 00:00:00, 95.6, 1.549, 1.461
0.0, -0.655, 2012-01-15 01:00:00, 95.7, 0.521, 1.459
0.0, -0.665, 2012-01-15 01:59:59, 95.0, 0.882, 1.457
0.0, -0.674, 2012-01-15 03:00:00, 94.3, 1.102, 1.456
0.0, -0.665, 2012-01-15 04:00:00, 94.3, 0.941, 1.457
0.0, -0.673, 2012-01-15 04:59:59, 93.8, 1.22, 1.442
0.0, -0.679, 2012-01-15 06:00:00, 92.7, 2.263, 1.441
0.0, -0.691, 2012-01-15 07:00:00, 93.0, 1.517, 1.446
0.0, -0.696, 2012-01-15 07:59:59, 93.4, 0.542, 1.452
0.0, -0.698, 2012-01-15 09:00:00, 93.5, 0.172, 1.453
0.0, -0.694, 2012-01-15 10:00:00, 93.7, 0.201, 1.452
0.0, -0.687, 2012-01-15 10:59:59, 93.8, 0.617, 1.453
0.0, -0.675, 2012-01-15 12:00:00, 94.2, 0.272, 1.447
0.0, -0.672, 2012-01-15 13:00:00, 94.0, 0.703, 1.454
0.0, -0.67, 2012-01-15 13:59:59, 93.3, 1.086, 1.446
0.0, -0.683, 2012-01-15 15:00:00, 92.9, 1.151, 1.439
0.0, -0.703, 2012-01-15 16:00:00, 92.4, 1.085, 1.446
0.0, -0.718, 2012-01-15 16:59:59, 92.1, 0.639, 1.443
0.0, -0.721, 2012-01-15 18:00:00, 92.3, 0.41, 1.444
0.0, -0.727, 2012-01-15 19:00:00, 91.9, 0.436, 1.436
0.0, -0.732, 2012-01-15 19:59:59, 91.5, 0.407, 1.411
0.0, -0.742, 2012-01-15 21:00:00, 91.2, 0.461, 1.437
0.0, -0.748, 2012-01-15 22:00:00, 90.3, 1.578, 1.438
0.0, -0.748, 2012-01-15 22:59:59, 90.2, 1.15, 1.44
0.0, -0.751, 2012-01-16 00:00:00, 89.9, 0.981, 1.441
0.0, -0.76, 2012-01-16 01:00:00, 89.6, 0.818, 1.448
0.0, -0.765, 2012-01-16 01:59:59, 89.3, 1.03, 1.423
0.0, -0.773, 2012-01-16 03:00:00, 89.0, 0.733, 1.447
0.0, -0.783, 2012-01-16 04:00:00, 88.6, 1.243, 1.452
0.0, -0.791, 2012-01-16 04:59:59, 88.0, 1.791, 1.454
