station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, DEW_POINT
-9.08, 88.4, 2020-01-09 21:00:00, -10.0
-8.33, 88.6, 2020-01-09 22:00:00, -9.0
-8.87, 89.9, 2020-01-09 23:00:00, -10.0
-8.55, 90.6, 2020-01-10 00:00:00, -10.0
-7.984, 87.2, 2020-01-10 01:00:00, -10.0
-8.46, 89.5, 2020-01-10 02:00:00, -10.0
-8.61, 89.2, 2020-01-10 03:00:00, -10.0
-7.971, 91.8, 2020-01-10 04:00:00, -9.0
-7.405, 88.8, 2020-01-10 05:00:00, -9.0
-8.23, 92.4, 2020-01-10 06:00:00, -9.0
-7.867, 92.1, 2020-01-10 07:00:00, -9.0
-7.846, 92.3, 2020-01-10 08:00:00, -9.0
-7.399, 91.8, 2020-01-10 09:00:00, -8.0
-6.338, 89.9, 2020-01-10 10:00:00, -7.0
-5.079, 87.5, 2020-01-10 11:00:00, -6.0
-3.698, 81.1, 2020-01-10 12:00:00, -6.0
-3.328, 80.7, 2020-01-10 13:00:00, -6.0
-3.526, 79.44, 2020-01-10 14:00:00, -6.0
-4.131, 80.8, 2020-01-10 15:00:00, -7.0
-3.955, 81.6, 2020-01-10 16:00:00, -6.0
-4.221, 83.7, 2020-01-10 17:00:00, -6.0
-5.147, 88.7, 2020-01-10 18:00:00, -6.0
-5.204, 90.2, 2020-01-10 19:00:00, -6.0
-5.031, 89.7, 2020-01-10 20:00:00, -7.0
-4.952, 89.4, 2020-01-10 21:00:00, -6.0
-5.188, 91.7, 2020-01-10 22:00:00, -6.0
-5.216, 94.0, 2020-01-10 23:00:00, -6.0
-5.36, 94.5, 2020-01-11 00:00:00, -6.0
-5.124, 94.7, 2020-01-11 01:00:00, -6.0
-5.166, 94.5, 2020-01-11 02:00:00, -6.0
-5.313, 94.4, 2020-01-11 03:00:00, -6.0
-5.072, 94.5, 2020-01-11 04:00:00, -6.0
-5.147, 94.6, 2020-01-11 05:00:00, -6.0
-5.259, 94.7, 2020-01-11 06:00:00, -6.0
-5.324, 94.5, 2020-01-11 07:00:00, -6.0
-5.491, 94.3, 2020-01-11 08:00:00, -6.0
-5.457, 94.4, 2020-01-11 09:00:00, -6.0
-4.946, 94.5, 2020-01-11 10:00:00, -6.0
-4.644, 94.6, 2020-01-11 11:00:00, -5.0
-4.319, 95.0, 2020-01-11 12:00:00, -5.0
-4.062, 95.3, 2020-01-11 13:00:00, -5.0
-3.366, 95.6, 2020-01-11 14:00:00, -4.0
-2.901, 92.9, 2020-01-11 15:00:00, -4.0
-3.24, 81.5, 2020-01-11 16:00:00, -6.0
-4.207, 84.0, 2020-01-11 17:00:00, -6.0
-5.61, 82.2, 2020-01-11 18:00:00, -8.0
-7.201, 86.8, 2020-01-11 19:00:00, -9.0
-8.87, 90.9, 2020-01-11 20:00:00, -10.0
-8.66, 90.9, 2020-01-11 21:00:00, -10.0
-8.18, 91.0, 2020-01-11 22:00:00, -9.0
-8.25, 90.8, 2020-01-11 23:00:00, -9.0
-8.41, 90.4, 2020-01-12 00:00:00, -9.0
-8.79, 89.6, 2020-01-12 01:00:00, -10.0
-9.22, 89.8, 2020-01-12 02:00:00, -11.0
-11.14, 87.3, 2020-01-12 03:00:00, -13.0
-12.99, 86.2, 2020-01-12 04:00:00, -15.0
-14.88, 84.4, 2020-01-12 05:00:00, -17.0
-17.83, 81.6, 2020-01-12 06:00:00, -20.0
-19.77, 79.72, 2020-01-12 07:00:00, -22.0
-19.84, 79.68, 2020-01-12 08:00:00, -22.0
-20.58, 78.9, 2020-01-12 09:00:00, -23.0
-20.17, 76.82, 2020-01-12 10:00:00, -23.0
-20.78, 74.4, 2020-01-12 11:00:00, -24.0
-21.42, 73.7, 2020-01-12 12:00:00, -24.0
-21.48, 71.43, 2020-01-12 13:00:00, -25.0
-21.71, 70.6, 2020-01-12 14:00:00, -25.0
-21.98, 68.97, 2020-01-12 15:00:00, -26.0
-22.08, 71.57, 2020-01-12 16:00:00, -26.0
-22.47, 69.41, 2020-01-12 17:00:00, -26.0
-22.86, 72.48, 2020-01-12 18:00:00, -26.0
-23.11, 72.55, 2020-01-12 19:00:00, -26.0
-23.48, 68.93, 2020-01-12 20:00:00, -27.0
-23.89, 68.05, 2020-01-12 21:00:00, -28.0
-24.27, 65.97, 2020-01-12 22:00:00, -29.0
-24.36, 66.97, 2020-01-12 23:00:00, -28.0
-24.37, 67.7, 2020-01-13 00:00:00, -28.0
-24.95, 67.05, 2020-01-13 01:00:00, -29.0
-25.57, 68.6, 2020-01-13 02:00:00, -29.0
-25.69, 65.85, 2020-01-13 03:00:00, -30.0
-25.72, 65.28, 2020-01-13 04:00:00, -30.0
-26.17, 66.89, 2020-01-13 05:00:00, -30.0
-26.15, 66.9, 2020-01-13 06:00:00, -30.0
-26.76, 68.81, 2020-01-13 07:00:00, -30.0
-27.58, 70.43, 2020-01-13 08:00:00, -31.0
-28.23, 73.34, 2020-01-13 09:00:00, -31.0
-24.84, 64.44, 2020-01-13 10:00:00, -29.0
-23.69, 61.47, 2020-01-13 11:00:00, -28.0
-23.06, 60.66, 2020-01-13 12:00:00, -28.0
-22.63, 58.75, 2020-01-13 13:00:00, -28.0
-22.88, 56.29, 2020-01-13 14:00:00, -29.0
-22.95, 63.06, 2020-01-13 15:00:00, -27.0
-23.83, 61.11, 2020-01-13 16:00:00, -29.0
-27.54, 75.06, 2020-01-13 17:00:00, -30.0
-29.55, 74.93, 2020-01-13 18:00:00, -33.0
-31.72, 74.22, 2020-01-13 19:00:00, -35.0
-33.39, 73.41, 2020-01-13 20:00:00, -36.0
-34.68, 72.26, 2020-01-13 21:00:00, -37.0
-34.72, 72.27, 2020-01-13 22:00:00, -37.0
-34.2, 72.0, 2020-01-13 23:00:00, -37.0
-35.59, 71.49, 2020-01-14 00:00:00, -39.0
-34.84, 72.14, 2020-01-14 01:00:00, -38.0
-32.11, 73.85, 2020-01-14 02:00:00, -35.0
-29.41, 74.93, 2020-01-14 03:00:00, -32.0
-29.2, 74.91, 2020-01-14 04:00:00, -32.0
-29.15, 74.61, 2020-01-14 05:00:00, -32.0
-29.1, 74.37, 2020-01-14 06:00:00, -32.0
-28.85, 74.27, 2020-01-14 07:00:00, -32.0
-28.54, 74.0, 2020-01-14 08:00:00, -31.0
-28.99, 72.16, 2020-01-14 09:00:00, -32.0
-28.67, 71.24, 2020-01-14 10:00:00, -32.0
-27.83, 69.26, 2020-01-14 11:00:00, -31.0
-27.3, 66.67, 2020-01-14 12:00:00, -31.0
-26.94, 65.48, 2020-01-14 13:00:00, -31.0
-26.61, 65.03, 2020-01-14 14:00:00, -31.0
-26.48, 65.42, 2020-01-14 15:00:00, -30.0
-26.3, 66.52, 2020-01-14 16:00:00, -30.0
-27.09, 71.98, 2020-01-14 17:00:00, -30.0
-27.48, 75.56, 2020-01-14 18:00:00, -30.0
-28.72, 74.9, 2020-01-14 19:00:00, -32.0
-29.95, 73.99, 2020-01-14 20:00:00, -33.0
-32.53, 72.7, 2020-01-14 21:00:00, -36.0
-34.59, 71.56, 2020-01-14 22:00:00, -38.0
-36.24, 71.08, 2020-01-14 23:00:00, -39.0
-37.37, 70.12, 2020-01-15 00:00:00, -41.0
-37.27, 69.93, 2020-01-15 01:00:00, -41.0
-35.03, 71.23, 2020-01-15 02:00:00, -38.0
-33.29, 72.12, 2020-01-15 03:00:00, -36.0
-32.24, 72.67, 2020-01-15 04:00:00, -35.0
-34.05, 71.39, 2020-01-15 05:00:00, -37.0
-35.31, 70.98, 2020-01-15 06:00:00, -39.0
-36.03, 70.65, 2020-01-15 07:00:00, -39.0
-34.79, 71.25, 2020-01-15 08:00:00, -38.0
-32.28, 72.81, 2020-01-15 09:00:00, -35.0
-29.29, 73.13, 2020-01-15 10:00:00, -32.0
-27.94, 66.65, 2020-01-15 11:00:00, -32.0
-27.02, 63.74, 2020-01-15 12:00:00, -32.0
-26.29, 62.85, 2020-01-15 13:00:00, -31.0
-25.99, 63.98, 2020-01-15 14:00:00, -31.0
-25.88, 66.28, 2020-01-15 15:00:00, -30.0
-25.89, 68.43, 2020-01-15 16:00:00, -30.0
-25.76, 69.99, 2020-01-15 17:00:00, -29.0
-25.94, 74.11, 2020-01-15 18:00:00, -29.0
-25.95, 72.94, 2020-01-15 19:00:00, -29.0
-26.78, 72.05, 2020-01-15 20:00:00, -30.0
-27.11, 71.54, 2020-01-15 21:00:00, -31.0
-27.89, 73.02, 2020-01-15 22:00:00, -31.0
-28.49, 71.99, 2020-01-15 23:00:00, -31.0
-28.74, 71.89, 2020-01-16 00:00:00, -32.0
-28.88, 71.13, 2020-01-16 01:00:00, -32.0
-28.92, 71.22, 2020-01-16 02:00:00, -32.0
-29.28, 71.59, 2020-01-16 03:00:00, -33.0
-30.36, 71.65, 2020-01-16 04:00:00, -33.0
-31.31, 73.16, 2020-01-16 05:00:00, -34.0
-31.49, 73.37, 2020-01-16 06:00:00, -35.0
-31.73, 73.29, 2020-01-16 07:00:00, -35.0
-31.19, 73.52, 2020-01-16 08:00:00, -34.0
-30.23, 73.24, 2020-01-16 09:00:00, -33.0
-27.6, 73.65, 2020-01-16 10:00:00, -31.0
-25.26, 74.5, 2020-01-16 11:00:00, -28.0
-22.83, 74.89, 2020-01-16 12:00:00, -26.0
-18.95, 76.5, 2020-01-16 13:00:00, -22.0
-17.14, 72.9, 2020-01-16 14:00:00, -21.0
-19.21, 74.0, 2020-01-16 15:00:00, -23.0
-20.73, 80.2, 2020-01-16 16:00:00, -23.0
-21.94, 81.1, 2020-01-16 17:00:00, -24.0
-22.57, 79.22, 2020-01-16 18:00:00, -25.0
-22.87, 75.95, 2020-01-16 19:00:00, -26.0
-23.35, 76.2, 2020-01-16 20:00:00, -26.0
-23.32, 81.2, 2020-01-16 21:00:00, -26.0
-23.14, 79.85, 2020-01-16 22:00:00, -25.0
-22.94, 79.73, 2020-01-16 23:00:00, -25.0
-23.0, 79.6, 2020-01-17 00:00:00, -25.0
-23.25, 79.41, 2020-01-17 01:00:00, -26.0
-23.22, 79.47, 2020-01-17 02:00:00, -25.0
-23.17, 79.48, 2020-01-17 03:00:00, -26.0
-23.9, 78.85, 2020-01-17 04:00:00, -26.0
-26.64, 76.85, 2020-01-17 05:00:00, -29.0
-28.72, 75.54, 2020-01-17 06:00:00, -31.0
-30.18, 74.52, 2020-01-17 07:00:00, -33.0
-31.14, 74.05, 2020-01-17 08:00:00, -34.0
-29.91, 74.54, 2020-01-17 09:00:00, -33.0
-24.88, 77.49, 2020-01-17 10:00:00, -28.0
-22.18, 78.86, 2020-01-17 11:00:00, -25.0
-20.12, 80.2, 2020-01-17 12:00:00, -22.0
-19.28, 80.9, 2020-01-17 13:00:00, -22.0
-18.36, 82.3, 2020-01-17 14:00:00, -21.0
-18.75, 82.3, 2020-01-17 15:00:00, -21.0
-19.66, 81.7, 2020-01-17 16:00:00, -22.0
-22.49, 79.81, 2020-01-17 17:00:00, -25.0
-24.6, 78.33, 2020-01-17 18:00:00, -27.0
-26.48, 77.02, 2020-01-17 19:00:00, -29.0
-27.58, 76.33, 2020-01-17 20:00:00, -30.0
-27.02, 76.87, 2020-01-17 21:00:00, -30.0
-26.65, 77.08, 2020-01-17 22:00:00, -29.0
-23.04, 80.7, 2020-01-17 23:00:00, -25.0
-19.77, 82.0, 2020-01-18 00:00:00, -22.0
-19.39, 82.3, 2020-01-18 01:00:00, -21.0
-19.04, 82.7, 2020-01-18 02:00:00, -21.0
-18.4, 83.2, 2020-01-18 03:00:00, -20.0
-18.16, 83.2, 2020-01-18 04:00:00, -20.0
-18.27, 83.2, 2020-01-18 05:00:00, -20.0
-17.66, 84.1, 2020-01-18 06:00:00, -20.0
-16.91, 84.3, 2020-01-18 07:00:00, -19.0
-17.03, 84.4, 2020-01-18 08:00:00, -19.0
-16.69, 84.6, 2020-01-18 09:00:00, -19.0
-12.96, 87.4, 2020-01-18 10:00:00, -15.0
-11.11, 89.2, 2020-01-18 11:00:00, -13.0
-9.25, 89.7, 2020-01-18 12:00:00, -10.0
-7.725, 84.3, 2020-01-18 13:00:00, -10.0
-8.14, 85.7, 2020-01-18 14:00:00, -10.0
-8.04, 87.1, 2020-01-18 15:00:00, -10.0
-8.48, 89.3, 2020-01-18 16:00:00, -10.0
-9.27, 91.7, 2020-01-18 17:00:00, -10.0
-9.09, 90.9, 2020-01-18 18:00:00, -10.0
-9.56, 91.5, 2020-01-18 19:00:00, -10.0
-9.72, 90.4, 2020-01-18 20:00:00, -11.0
-8.47, 92.2, 2020-01-18 21:00:00, -9.0
-7.02, 93.1, 2020-01-18 22:00:00, -8.0
-6.006, 93.5, 2020-01-18 23:00:00, -7.0
-6.828, 93.1, 2020-01-19 00:00:00, -8.0
-6.226, 93.7, 2020-01-19 01:00:00, -7.0
-5.165, 94.4, 2020-01-19 02:00:00, -6.0
-5.111, 94.7, 2020-01-19 03:00:00, -5.0
-4.236, 95.3, 2020-01-19 04:00:00, -5.0
-3.978, 95.5, 2020-01-19 05:00:00, -4.0
-3.78, 95.8, 2020-01-19 06:00:00, -4.0
-2.762, 96.5, 2020-01-19 07:00:00, -3.0
-2.815, 96.0, 2020-01-19 08:00:00, -3.0
-2.832, 96.1, 2020-01-19 09:00:00, -4.0
-1.51, 91.4, 2020-01-19 10:00:00, -3.0
-0.567, 89.0, 2020-01-19 11:00:00, -2.0
0.347, 85.0, 2020-01-19 12:00:00, -2.0
1.219, 80.6, 2020-01-19 13:00:00, -2.0
1.509, 82.7, 2020-01-19 14:00:00, -1.0
1.606, 84.0, 2020-01-19 15:00:00, -1.0
0.675, 87.0, 2020-01-19 16:00:00, -1.0
0.248, 89.7, 2020-01-19 17:00:00, -1.0
-0.186, 91.1, 2020-01-19 18:00:00, -1.0
-0.213, 90.7, 2020-01-19 19:00:00, -1.0
-0.492, 92.9, 2020-01-19 20:00:00, -1.0
-0.514, 93.2, 2020-01-19 21:00:00, -1.0
-0.151, 93.3, 2020-01-19 22:00:00, -1.0
-0.687, 93.8, 2020-01-19 23:00:00, -1.0
-0.36, 92.8, 2020-01-20 00:00:00, -1.0
-0.371, 93.0, 2020-01-20 01:00:00, -1.0
-0.259, 93.1, 2020-01-20 02:00:00, -1.0
-0.294, 93.3, 2020-01-20 03:00:00, -1.0
-0.396, 93.3, 2020-01-20 04:00:00, -1.0
-1.089, 94.1, 2020-01-20 05:00:00, -2.0
-0.214, 90.7, 2020-01-20 06:00:00, -2.0
-0.712, 91.6, 2020-01-20 07:00:00, -2.0
-2.651, 95.1, 2020-01-20 08:00:00, -3.0
0.961, 84.9, 2020-01-20 09:00:00, -2.0
1.499, 82.7, 2020-01-20 10:00:00, -1.0
2.312, 78.39, 2020-01-20 11:00:00, -1.0
2.724, 78.05, 2020-01-20 12:00:00, -1.0
3.402, 76.53, 2020-01-20 13:00:00, 0.0
3.632, 77.93, 2020-01-20 14:00:00, 0.0
3.677, 78.75, 2020-01-20 15:00:00, 1.0
2.663, 82.6, 2020-01-20 16:00:00, 0.0
1.602, 87.5, 2020-01-20 17:00:00, 0.0
1.424, 87.9, 2020-01-20 18:00:00, 0.0
-0.013, 93.3, 2020-01-20 19:00:00, -1.0
0.217, 92.6, 2020-01-20 20:00:00, -1.0
-0.192, 94.3, 2020-01-20 21:00:00, -1.0
-0.91, 96.3, 2020-01-20 22:00:00, -2.0
-1.129, 97.4, 2020-01-20 23:00:00, -1.0
-0.686, 96.8, 2020-01-21 00:00:00, -1.0
-1.037, 97.2, 2020-01-21 01:00:00, -1.0
-1.184, 97.8, 2020-01-21 02:00:00, -2.0
-1.429, 96.2, 2020-01-21 03:00:00, -2.0
-1.55, 94.7, 2020-01-21 04:00:00, -2.0
-2.135, 96.0, 2020-01-21 05:00:00, -3.0
-1.896, 97.0, 2020-01-21 06:00:00, -2.0
-1.915, 97.5, 2020-01-21 07:00:00, -2.0
-1.959, 96.6, 2020-01-21 08:00:00, -2.0
-1.504, 93.8, 2020-01-21 09:00:00, -2.0
-0.044, 86.5, 2020-01-21 10:00:00, -2.0
0.571, 84.1, 2020-01-21 11:00:00, -2.0
1.584, 80.5, 2020-01-21 12:00:00, -2.0
1.845, 80.4, 2020-01-21 13:00:00, -1.0
2.878, 74.55, 2020-01-21 14:00:00, -1.0
2.337, 75.72, 2020-01-21 15:00:00, -1.0
1.859, 74.53, 2020-01-21 16:00:00, -2.0
-0.054, 82.2, 2020-01-21 17:00:00, -3.0
-3.113, 93.0, 2020-01-21 18:00:00, -4.0
-4.001, 94.2, 2020-01-21 19:00:00, -5.0
-5.428, 93.6, 2020-01-21 20:00:00, -6.0
-6.06, 94.8, 2020-01-21 21:00:00, -7.0
-6.16, 94.1, 2020-01-21 22:00:00, -7.0
-5.421, 94.7, 2020-01-21 23:00:00, -6.0
-6.05, 93.7, 2020-01-22 00:00:00, -7.0
-6.028, 94.8, 2020-01-22 01:00:00, -7.0
-4.372, 96.0, 2020-01-22 02:00:00, -5.0
-4.365, 95.7, 2020-01-22 03:00:00, -5.0
-4.978, 95.1, 2020-01-22 04:00:00, -5.0
-3.616, 95.9, 2020-01-22 05:00:00, -4.0
-4.392, 95.1, 2020-01-22 06:00:00, -5.0
-5.8, 94.5, 2020-01-22 07:00:00, -6.0
-7.624, 92.4, 2020-01-22 08:00:00, -8.0
-6.238, 92.8, 2020-01-22 09:00:00, -7.0
-2.255, 91.2, 2020-01-22 10:00:00, -3.0
-0.355, 78.19, 2020-01-22 11:00:00, -3.0
0.952, 71.69, 2020-01-22 12:00:00, -4.0
0.323, 74.65, 2020-01-22 13:00:00, -3.0
0.333, 75.29, 2020-01-22 14:00:00, -3.0
0.418, 76.54, 2020-01-22 15:00:00, -3.0
-0.236, 80.5, 2020-01-22 16:00:00, -3.0
-0.907, 87.4, 2020-01-22 17:00:00, -3.0
-0.966, 95.1, 2020-01-22 18:00:00, -1.0
-0.71, 92.4, 2020-01-22 19:00:00, -2.0
-0.762, 94.6, 2020-01-22 20:00:00, -1.0
-0.639, 94.4, 2020-01-22 21:00:00, -2.0
-0.694, 93.9, 2020-01-22 22:00:00, -1.0
-0.294, 90.8, 2020-01-22 23:00:00, -2.0
-0.455, 92.1, 2020-01-23 00:00:00, -1.0
-1.04, 94.7, 2020-01-23 01:00:00, -1.0
-1.154, 95.8, 2020-01-23 02:00:00, -2.0
-1.155, 96.4, 2020-01-23 03:00:00, -2.0
-1.067, 97.4, 2020-01-23 04:00:00, -1.0
-1.034, 98.0, 2020-01-23 05:00:00, -1.0
-0.817, 98.3, 2020-01-23 06:00:00, -1.0
-0.791, 98.4, 2020-01-23 07:00:00, -1.0
-0.258, 98.3, 2020-01-23 08:00:00, -1.0
0.322, 96.9, 2020-01-23 09:00:00, 0.0
1.85, 90.9, 2020-01-23 10:00:00, 0.0
3.051, 83.5, 2020-01-23 11:00:00, 0.0
4.356, 77.23, 2020-01-23 12:00:00, 1.0
4.547, 76.63, 2020-01-23 13:00:00, 1.0
4.629, 77.02, 2020-01-23 14:00:00, 1.0
4.185, 78.93, 2020-01-23 15:00:00, 1.0
3.871, 80.3, 2020-01-23 16:00:00, 1.0
3.154, 83.3, 2020-01-23 17:00:00, 0.0
2.049, 87.4, 2020-01-23 18:00:00, 0.0
1.399, 91.8, 2020-01-23 19:00:00, 0.0
1.527, 91.4, 2020-01-23 20:00:00, 0.0
1.387, 92.3, 2020-01-23 21:00:00, 0.0
0.893, 94.5, 2020-01-23 22:00:00, 0.0
0.701, 96.6, 2020-01-23 23:00:00, 0.0
0.668, 96.9, 2020-01-24 00:00:00, 0.0
0.558, 97.1, 2020-01-24 01:00:00, 0.0
0.116, 96.9, 2020-01-24 02:00:00, 0.0
0.417, 97.0, 2020-01-24 03:00:00, 0.0
-0.294, 97.0, 2020-01-24 04:00:00, 0.0
0.064, 97.4, 2020-01-24 05:00:00, 0.0
0.106, 97.4, 2020-01-24 06:00:00, 0.0
-1.705, 97.3, 2020-01-24 07:00:00, -2.0
-0.262, 98.3, 2020-01-24 08:00:00, -1.0
0.457, 98.1, 2020-01-24 09:00:00, 0.0
0.689, 98.2, 2020-01-24 10:00:00, 0.0
1.62, 96.9, 2020-01-24 11:00:00, 1.0
1.822, 93.4, 2020-01-24 12:00:00, 1.0
2.515, 87.7, 2020-01-24 13:00:00, 1.0
3.54, 81.1, 2020-01-24 14:00:00, 0.0
4.403, 74.46, 2020-01-24 15:00:00, 0.0
3.395, 78.02, 2020-01-24 16:00:00, 0.0
2.965, 78.53, 2020-01-24 17:00:00, -1.0
1.547, 83.7, 2020-01-24 18:00:00, -1.0
1.611, 82.0, 2020-01-24 19:00:00, -1.0
0.945, 82.0, 2020-01-24 20:00:00, -2.0
0.23, 85.2, 2020-01-24 21:00:00, -2.0
-1.09, 88.1, 2020-01-24 22:00:00, -3.0
-1.526, 91.0, 2020-01-24 23:00:00, -3.0
-2.393, 92.4, 2020-01-25 00:00:00, -4.0
-2.574, 92.2, 2020-01-25 01:00:00, -3.0
-2.214, 92.0, 2020-01-25 02:00:00, -3.0
-2.242, 90.9, 2020-01-25 03:00:00, -4.0
-2.022, 89.6, 2020-01-25 04:00:00, -3.0
-2.851, 94.4, 2020-01-25 05:00:00, -4.0
-3.211, 96.3, 2020-01-25 06:00:00, -4.0
-2.471, 93.5, 2020-01-25 07:00:00, -3.0
-3.202, 93.7, 2020-01-25 08:00:00, -4.0
-3.153, 96.5, 2020-01-25 09:00:00, -4.0
-2.748, 96.6, 2020-01-25 10:00:00, -3.0
-2.283, 96.9, 2020-01-25 11:00:00, -3.0
-1.189, 95.0, 2020-01-25 12:00:00, -2.0
-0.426, 90.3, 2020-01-25 13:00:00, -2.0
-0.318, 87.5, 2020-01-25 14:00:00, -2.0
-0.674, 90.4, 2020-01-25 15:00:00, -2.0
-0.852, 90.6, 2020-01-25 16:00:00, -2.0
-1.543, 91.9, 2020-01-25 17:00:00, -3.0
-2.591, 93.7, 2020-01-25 18:00:00, -3.0
-3.533, 95.5, 2020-01-25 19:00:00, -4.0
-2.559, 96.5, 2020-01-25 20:00:00, -3.0
-3.024, 96.8, 2020-01-25 21:00:00, -4.0
-2.877, 96.9, 2020-01-25 22:00:00, -3.0
-2.931, 96.8, 2020-01-25 23:00:00, -3.0
-2.707, 96.9, 2020-01-26 00:00:00, -3.0
-2.657, 97.0, 2020-01-26 01:00:00, -3.0
-2.493, 97.0, 2020-01-26 02:00:00, -3.0
-2.606, 96.9, 2020-01-26 03:00:00, -3.0
-2.452, 97.1, 2020-01-26 04:00:00, -3.0
-2.484, 97.1, 2020-01-26 05:00:00, -3.0
-2.104, 97.4, 2020-01-26 06:00:00, -2.0
-2.172, 97.3, 2020-01-26 07:00:00, -2.0
-1.97, 97.5, 2020-01-26 08:00:00, -2.0
-1.935, 97.5, 2020-01-26 09:00:00, -2.0
-1.097, 97.9, 2020-01-26 10:00:00, -1.0
-0.3, 98.5, 2020-01-26 11:00:00, -1.0
0.713, 97.4, 2020-01-26 12:00:00, 1.0
2.539, 82.9, 2020-01-26 13:00:00, 0.0
3.316, 76.13, 2020-01-26 14:00:00, -1.0
3.247, 75.43, 2020-01-26 15:00:00, -1.0
2.935, 70.66, 2020-01-26 16:00:00, -2.0
1.058, 78.88, 2020-01-26 17:00:00, -2.0
0.202, 78.66, 2020-01-26 18:00:00, -3.0
-0.583, 79.69, 2020-01-26 19:00:00, -3.0
-1.535, 83.9, 2020-01-26 20:00:00, -4.0
0.698, 75.27, 2020-01-26 21:00:00, -3.0
-0.991, 83.7, 2020-01-26 22:00:00, -3.0
-0.286, 82.3, 2020-01-26 23:00:00, -3.0
-0.018, 81.3, 2020-01-27 00:00:00, -2.0
-1.005, 84.8, 2020-01-27 01:00:00, -3.0
-0.053, 81.6, 2020-01-27 02:00:00, -3.0
0.149, 82.0, 2020-01-27 03:00:00, -2.0
0.264, 81.3, 2020-01-27 04:00:00, -2.0
0.089, 82.6, 2020-01-27 05:00:00, -2.0
-0.347, 83.4, 2020-01-27 06:00:00, -3.0
-1.391, 86.5, 2020-01-27 07:00:00, -3.0
-1.307, 86.9, 2020-01-27 08:00:00, -3.0
-0.77, 83.2, 2020-01-27 09:00:00, -3.0
1.941, 69.57, 2020-01-27 10:00:00, -3.0
3.807, 43.71, 2020-01-27 11:00:00, -7.0
4.347, 35.43, 2020-01-27 12:00:00, -10.0
4.279, 37.48, 2020-01-27 13:00:00, -9.0
3.663, 38.37, 2020-01-27 14:00:00, -9.0
3.179, 38.46, 2020-01-27 15:00:00, -10.0
1.648, 51.07, 2020-01-27 16:00:00, -7.0
-0.392, 66.11, 2020-01-27 17:00:00, -6.0
-0.081, 61.5, 2020-01-27 18:00:00, -6.0
0.127, 62.25, 2020-01-27 19:00:00, -6.0
-0.399, 65.76, 2020-01-27 20:00:00, -6.0
-0.355, 65.61, 2020-01-27 21:00:00, -5.0
-0.501, 66.85, 2020-01-27 22:00:00, -5.0
-0.903, 67.9, 2020-01-27 23:00:00, -6.0
-1.389, 72.19, 2020-01-28 00:00:00, -5.0
-1.256, 73.1, 2020-01-28 01:00:00, -5.0
-1.352, 79.78, 2020-01-28 02:00:00, -4.0
-1.924, 91.9, 2020-01-28 03:00:00, -3.0
-2.049, 93.2, 2020-01-28 04:00:00, -3.0
-1.93, 94.5, 2020-01-28 05:00:00, -3.0
-1.732, 93.5, 2020-01-28 06:00:00, -3.0
-2.129, 94.7, 2020-01-28 07:00:00, -3.0
-1.58, 89.0, 2020-01-28 08:00:00, -3.0
-1.206, 85.9, 2020-01-28 09:00:00, -3.0
-1.377, 88.3, 2020-01-28 10:00:00, -3.0
-0.253, 84.8, 2020-01-28 11:00:00, -2.0
