AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
12.0, None, None, 613.7,2023-05-15 04:45:00, 119.0, None,20
12.5, None, None, 689.0,2023-05-15 05:00:00, 119.0, None,20
14.1, None, None, 688.4,2023-05-15 05:15:00, 118.0, None,20
13.4, None, None, 612.7,2023-05-15 05:30:00, 118.0, None,20
13.4, None, None, 687.6,2023-05-15 05:45:00, 119.0, None,20
14.0, None, None, 687.1,2023-05-15 06:00:00, 119.0, None,20
14.8, None, None, 686.7,2023-05-15 06:15:00, 119.0, None,20
14.9, None, None, 611.3,2023-05-15 06:30:00, 119.0, None,20
15.6, None, None, 685.9,2023-05-15 06:45:00, 118.0, None,20
16.7, None, None, 610.7,2023-05-15 07:00:00, 118.0, None,20
15.2, None, None, 685.2,2023-05-15 07:15:00, 119.0, None,20
15.5, None, None, 610.1,2023-05-15 07:30:00, 119.0, None,20
16.5, None, None, 609.8,2023-05-15 07:45:00, 118.0, None,20
18.1, None, None, 609.5,2023-05-15 08:00:00, 117.0, None,20
16.9, None, None, 683.8,2023-05-15 08:15:00, 118.0, None,20
16.2, None, None, 609.1,2023-05-15 08:30:00, 118.0, None,20
16.0, None, None, 683.4,2023-05-15 08:45:00, 117.0, None,20
16.4, None, None, 608.7,2023-05-15 09:00:00, 118.0, None,20
16.6, None, None, 608.4,2023-05-15 09:15:00, 117.0, None,20
15.9, None, None, 608.4,2023-05-15 09:30:00, 117.0, None,20
16.8, None, None, 682.6,2023-05-15 09:45:00, 118.0, None,20
17.1, None, None, 682.4,2023-05-15 10:00:00, 118.0, None,20
17.2, None, None, 682.2,2023-05-15 10:15:00, 117.0, None,20
17.2, None, None, 682.1,2023-05-15 10:30:00, 116.0, None,20
17.5, None, None, 607.7,2023-05-15 10:45:00, 116.0, None,20
17.2, None, None, 607.5,2023-05-15 11:00:00, 115.0, None,20
17.9, None, None, 681.6,2023-05-15 11:15:00, 116.0, None,20
17.8, None, None, 681.3,2023-05-15 11:30:00, 115.0, None,20
17.7, None, None, 607.0,2023-05-15 11:45:00, 116.0, None,20
18.2, None, None, 606.8,2023-05-15 12:00:00, 115.0, None,20
18.2, None, None, 680.4,2023-05-15 12:15:00, 114.0, None,20
18.2, None, None, 680.3,2023-05-15 12:30:00, 115.0, None,20
18.2, None, None, 605.9,2023-05-15 12:45:00, 115.0, None,20
18.3, None, None, 605.7,2023-05-15 13:00:00, 114.0, None,20
18.1, None, None, 679.2,2023-05-15 13:15:00, 114.0, None,20
18.6, None, None, 678.8,2023-05-15 13:30:00, 114.0, None,20
19.1, None, None, 604.6,2023-05-15 13:45:00, 114.0, None,20
19.1, None, None, 603.7,2023-05-15 14:00:00, 114.0, None,20
18.9, None, None, 602.9,2023-05-15 14:15:00, 114.0, None,20
19.6, None, None, 601.9,2023-05-15 14:30:00, 113.0, None,20
None, None, None, 674.9,2023-05-15 14:37:00, None, None,20
19.3, None, None, 601.3,2023-05-15 14:45:00, 113.0, None,20
19.3, None, None, 600.7,2023-05-15 15:00:00, 112.0, None,20
19.4, None, None, 672.6,2023-05-15 15:15:00, 112.0, None,20
18.9, None, None, 671.9,2023-05-15 15:30:00, 112.0, None,20
19.5, None, None, 598.6,2023-05-15 15:45:00, 112.0, None,20
19.3, None, None, 598.0,2023-05-15 16:00:00, 113.0, None,20
18.8, None, None, 597.6,2023-05-15 16:15:00, 112.0, None,20
19.0, None, None, 596.8,2023-05-15 16:30:00, 112.0, None,20
18.9, None, None, 668.3,2023-05-15 16:45:00, 113.0, None,20
18.6, None, None, 595.9,2023-05-15 17:00:00, 112.0, None,20
18.5, None, None, 595.5,2023-05-15 17:15:00, 112.0, None,20
18.5, None, None, 594.8,2023-05-15 17:30:00, 112.0, None,20
18.2, None, None, 594.4,2023-05-15 17:45:00, 112.0, None,20
18.0, None, None, 665.4,2023-05-15 18:00:00, 112.0, None,20
17.0, None, None, 664.6,2023-05-15 18:15:00, 111.0, None,20
17.4, None, None, 664.0,2023-05-15 18:30:00, 112.0, None,20
17.0, None, None, 663.4,2023-05-15 18:45:00, 113.0, None,20
16.3, None, None, 591.8,2023-05-15 19:00:00, 113.0, None,20
15.6, None, None, 662.2,2023-05-15 19:15:00, 113.0, None,20
15.6, None, None, 661.7,2023-05-15 19:30:00, 113.0, None,20
15.7, None, None, 590.4,2023-05-15 19:45:00, 113.0, None,20
15.3, None, None, 660.7,2023-05-15 20:00:00, 113.0, None,20
15.2, None, None, 660.3,2023-05-15 20:15:00, 113.0, None,20
15.2, None, None, 589.3,2023-05-15 20:30:00, 113.0, None,20
14.9, None, None, 659.3,2023-05-15 20:45:00, 113.0, None,20
15.0, None, None, 658.9,2023-05-15 21:00:00, 113.0, None,20
14.8, None, None, 658.6,2023-05-15 21:15:00, 113.0, None,20
14.5, None, None, 587.9,2023-05-15 21:30:00, 113.0, None,20
14.8, None, None, 587.6,2023-05-15 21:45:00, 113.0, None,20
14.9, None, None, 657.5,2023-05-15 22:00:00, 113.0, None,20
14.6, None, None, 657.2,2023-05-15 22:15:00, 113.0, None,20
14.4, None, None, 586.7,2023-05-15 22:30:00, 113.0, None,20
13.9, None, None, 656.6,2023-05-15 22:45:00, 113.0, None,20
14.5, None, None, 656.2,2023-05-15 23:00:00, 113.0, None,20
14.1, None, None, 655.7,2023-05-15 23:15:00, 112.0, None,20
14.3, None, None, 655.4,2023-05-15 23:30:00, 113.0, None,20
14.3, None, None, 655.1,2023-05-15 23:45:00, 113.0, None,20
13.8, 5.0, 11.2, 654.5,2023-05-16 00:00:00, 113.0, 19.9,20
13.4, None, None, 654.4,2023-05-16 00:15:00, 113.0, None,20
13.9, None, None, 584.5,2023-05-16 00:30:00, 112.0, None,20
13.8, None, None, 584.1,2023-05-16 00:45:00, 112.0, None,20
13.5, None, None, 653.6,2023-05-16 01:00:00, 113.0, None,20
13.2, None, None, 653.1,2023-05-16 01:15:00, 113.0, None,20
13.1, None, None, 652.7,2023-05-16 01:30:00, 113.0, None,20
13.4, None, None, 583.2,2023-05-16 01:45:00, 113.0, None,20
12.7, None, None, 582.9,2023-05-16 02:00:00, 113.0, None,20
12.7, None, None, 652.1,2023-05-16 02:15:00, 113.0, None,20
12.4, None, None, 651.8,2023-05-16 02:30:00, 113.0, None,20
12.9, None, None, 651.5,2023-05-16 02:45:00, 112.0, None,20
13.1, None, None, 651.2,2023-05-16 03:00:00, 113.0, None,20
12.5, None, None, 651.0,2023-05-16 03:15:00, 113.0, None,20
12.6, None, None, 650.7,2023-05-16 03:30:00, 113.0, None,20
11.6, None, None, 650.6,2023-05-16 03:45:00, 113.0, None,20
12.0, None, None, 650.3,2023-05-16 04:00:00, 113.0, None,20
12.1, None, None, 581.1,2023-05-16 04:15:00, 113.0, None,20
12.2, None, None, 580.8,2023-05-16 04:30:00, 113.0, None,20
12.1, None, None, 580.7,2023-05-16 04:45:00, 113.0, None,20
11.8, None, None, 580.5,2023-05-16 05:00:00, 112.0, None,20
12.2, None, None, 580.2,2023-05-16 05:15:00, 112.0, None,20
12.3, None, None, 579.9,2023-05-16 05:30:00, 112.0, None,20
12.7, None, None, 648.4,2023-05-16 05:45:00, 112.0, None,20
12.5, None, None, 648.1,2023-05-16 06:00:00, 113.0, None,20
12.5, None, None, 647.7,2023-05-16 06:15:00, 113.0, None,20
14.6, None, None, 647.2,2023-05-16 06:30:00, 113.0, None,20
14.4, None, None, 578.5,2023-05-16 06:45:00, 112.0, None,20
13.4, None, None, 578.1,2023-05-16 07:00:00, 111.0, None,20
14.0, None, None, 577.9,2023-05-16 07:15:00, 112.0, None,20
14.2, None, None, 577.6,2023-05-16 07:30:00, 112.0, None,20
13.6, None, None, 645.7,2023-05-16 07:45:00, 113.0, None,20
14.6, None, None, 645.3,2023-05-16 08:00:00, 112.0, None,20
15.4, None, None, 577.0,2023-05-16 08:15:00, 112.0, None,20
16.1, None, None, 644.8,2023-05-16 08:30:00, 112.0, None,20
16.0, None, None, 644.6,2023-05-16 08:45:00, 111.0, None,20
14.8, None, None, 576.4,2023-05-16 09:00:00, 112.0, None,20
15.3, None, None, 644.1,2023-05-16 09:15:00, 112.0, None,20
15.9, None, None, 644.1,2023-05-16 09:30:00, 111.0, None,20
15.9, None, None, 576.0,2023-05-16 09:45:00, 110.0, None,20
16.3, None, None, 575.9,2023-05-16 10:00:00, 110.0, None,20
17.0, None, None, 643.6,2023-05-16 10:15:00, 110.0, None,20
17.5, None, None, 643.6,2023-05-16 10:30:00, 109.0, None,20
17.0, None, None, 575.5,2023-05-16 10:45:00, 110.0, None,20
17.6, None, None, 575.4,2023-05-16 11:00:00, 110.0, None,20
17.0, None, None, 575.2,2023-05-16 11:15:00, 110.0, None,20
17.8, None, None, 642.8,2023-05-16 11:30:00, 109.0, None,20
17.9, None, None, 575.1,2023-05-16 11:45:00, 108.0, None,20
18.0, None, None, 574.8,2023-05-16 12:00:00, 108.0, None,20
17.3, None, None, 574.7,2023-05-16 12:15:00, 108.0, None,20
17.9, None, None, 574.3,2023-05-16 12:30:00, 108.0, None,20
19.4, None, None, 574.0,2023-05-16 12:45:00, 108.0, None,20
19.6, None, None, 641.0,2023-05-16 13:00:00, 107.0, None,20
19.1, None, None, 640.9,2023-05-16 13:15:00, 107.0, None,20
18.7, None, None, 573.1,2023-05-16 13:30:00, 107.0, None,20
19.2, None, None, 572.6,2023-05-16 13:45:00, 107.0, None,20
18.8, None, None, 571.9,2023-05-16 14:00:00, 107.0, None,20
19.1, None, None, 638.1,2023-05-16 14:15:00, 107.0, None,20
19.1, None, None, 570.2,2023-05-16 14:30:00, 107.0, None,20
19.5, None, None, 569.2,2023-05-16 14:45:00, 106.0, None,20
19.6, None, None, 634.9,2023-05-16 15:00:00, 106.0, None,20
19.1, None, None, 567.8,2023-05-16 15:15:00, 107.0, None,20
19.3, None, None, 567.0,2023-05-16 15:30:00, 106.0, None,20
19.2, None, None, 566.2,2023-05-16 15:45:00, 107.0, None,20
19.9, None, None, 631.7,2023-05-16 16:00:00, 106.0, None,20
19.2, None, None, 565.1,2023-05-16 16:15:00, 106.0, None,20
19.5, None, None, 564.3,2023-05-16 16:30:00, 106.0, None,20
19.2, None, None, 563.7,2023-05-16 16:45:00, 106.0, None,20
19.1, None, None, 628.4,2023-05-16 17:00:00, 106.0, None,20
19.0, None, None, 627.8,2023-05-16 17:15:00, 106.0, None,20
18.9, None, None, 561.9,2023-05-16 17:30:00, 106.0, None,20
18.3, None, None, 561.6,2023-05-16 17:45:00, 106.0, None,20
17.5, None, None, 626.3,2023-05-16 18:00:00, 106.0, None,20
17.1, None, None, 560.5,2023-05-16 18:15:00, 106.0, None,20
16.7, None, None, 625.1,2023-05-16 18:30:00, 106.0, None,20
16.2, None, None, 624.7,2023-05-16 18:45:00, 106.0, None,20
15.2, None, None, 624.0,2023-05-16 19:00:00, 106.0, None,20
15.1, None, None, 558.9,2023-05-16 19:15:00, 106.0, None,20
15.0, None, None, 622.9,2023-05-16 19:30:00, 106.0, None,20
15.2, None, None, 558.0,2023-05-16 19:45:00, 107.0, None,20
15.0, None, None, 622.0,2023-05-16 20:00:00, 107.0, None,20
15.0, None, None, 557.2,2023-05-16 20:15:00, 107.0, None,20
14.0, None, None, 621.1,2023-05-16 20:30:00, 107.0, None,20
13.0, None, None, 620.8,2023-05-16 20:45:00, 106.0, None,20
13.3, None, None, 556.2,2023-05-16 21:00:00, 107.0, None,20
13.3, None, None, 555.9,2023-05-16 21:15:00, 107.0, None,20
13.3, None, None, 619.7,2023-05-16 21:30:00, 107.0, None,20
12.6, None, None, 619.3,2023-05-16 21:45:00, 107.0, None,20
12.2, None, None, 619.0,2023-05-16 22:00:00, 107.0, None,20
12.4, None, None, 554.9,2023-05-16 22:15:00, 107.0, None,20
12.5, None, None, 618.4,2023-05-16 22:30:00, 107.0, None,20
12.1, None, None, 554.2,2023-05-16 22:45:00, 107.0, None,20
11.8, None, None, 553.9,2023-05-16 23:00:00, 107.0, None,20
11.9, None, None, 553.6,2023-05-16 23:15:00, 107.0, None,20
11.6, None, None, 553.4,2023-05-16 23:30:00, 107.0, None,20
11.2, None, None, 616.7,2023-05-16 23:45:00, 106.0, None,20
11.0, 6.6, 7.9, 616.2,2023-05-17 00:00:00, 107.0, 16.8,20
10.9, None, None, 616.0,2023-05-17 00:15:00, 107.0, None,20
11.0, None, None, 615.7,2023-05-17 00:30:00, 107.0, None,20
10.8, None, None, 615.4,2023-05-17 00:45:00, 107.0, None,20
10.7, None, None, 551.9,2023-05-17 01:00:00, 106.0, None,20
10.4, None, None, 551.7,2023-05-17 01:15:00, 107.0, None,20
10.2, None, None, 551.4,2023-05-17 01:30:00, 107.0, None,20
10.3, None, None, 614.4,2023-05-17 01:45:00, 107.0, None,20
9.6, None, None, 613.9,2023-05-17 02:00:00, 107.0, None,20
9.2, None, None, 613.7,2023-05-17 02:15:00, 107.0, None,20
8.8, None, None, 613.3,2023-05-17 02:30:00, 107.0, None,20
9.1, None, None, 613.1,2023-05-17 02:45:00, 107.0, None,20
9.1, None, None, 613.0,2023-05-17 03:00:00, 107.0, None,20
9.0, None, None, 612.6,2023-05-17 03:15:00, 107.0, None,20
9.5, None, None, 612.5,2023-05-17 03:30:00, 107.0, None,20
8.4, None, None, 612.3,2023-05-17 03:45:00, 106.0, None,20
