X,Y,Name,CAUSE GENERAL,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-121.878351530571,57.513322746692,G82199,Lightning,0,G82199,Fire,2017,2017,57.513317,-121.878333
-121.842401969118,58.3895893703228,G90199,Lightning,0.05,G90199,Fire,2017,2017,58.389583,-121.842383
-120.455482636809,50.8166410943744,K20233,Person,0.009,K20233,Fire,2017,2017,50.816635,-120.455467
-121.345680429761,50.6334553823108,K21652,Person,0.1,K21652,Fire,2017,2017,50.633449,-121.345665
-119.102233826074,50.9364723634544,K30420,Lightning,1.1,K30420,Fire,2017,2017,50.936466,-119.102219
-118.979598938581,51.0711730775952,K31233,Lightning,0.009,K31233,Fire,2017,2017,51.071167,-118.979584
-119.129081643862,50.9871734620854,K31239,Lightning,8,K31239,Fire,2017,2017,50.987167,-119.129066
-121.811348619972,49.5755390712855,V10484,Person,202,V10484,Fire,2017,2017,49.575533,-121.811333
-121.14389791222,49.5981388554534,V10572,Person,0.009,V10572,Fire,2017,2017,49.598133,-121.143883
-124.791916254615,49.0985886095379,V70467,Person,0.22,V70467,Fire,2017,2017,49.098583,-124.791901
-125.115349273668,49.3661208798937,V71786,Person,1,V71786,Fire,2017,2017,49.366115,-125.115334
-125.488017421622,54.1874221791729,R10146,Person,0.09,R10146,Fire,2017,2017,54.187417,-125.488
-125.316250638325,54.0617887949236,R10442,Person,5.2,R10442,Fire,2017,2017,54.061783,-125.316233
-125.095117348364,54.1818555259435,R11991,Lightning,0.16,R11991,Fire,2017,2017,54.18185,-125.0951
-122.689446829147,53.3012219173993,G10090,Person,0.009,G10090,Fire,2017,2017,53.301216,-122.68943
-123.254516806507,53.5256557531755,G10813,Lightning,0.009,G10813,Fire,2017,2017,53.52565,-123.2545
-123.186166655119,54.2396564828295,G11577,Lightning,5.2,G11577,Fire,2017,2017,54.239651,-123.18615
-124.192468490887,53.8629397434998,G41040,Lightning,0.009,G41040,Fire,2017,2017,53.862934,-124.192451
-123.999849141843,53.8070048609644,G41048,Lightning,0.009,G41048,Fire,2017,2017,53.806999,-123.999832
-125.791750547855,55.135488151778,G50663,Lightning,0.1,G50663,Fire,2017,2017,55.135483,-125.791733
-126.035651216595,55.2205554185963,G50834,Lightning,4,G50834,Fire,2017,2017,55.22055,-126.035633
-119.873715801242,52.3430894356996,K12067,Lightning,230.7,K12067,Fire,2017,2017,52.343083,-119.8737
-119.315815509259,51.7578894754647,K12070,Person,1.3,K12070,Fire,2017,2017,51.757883,-119.3158
-119.248351872384,50.6701568307672,K30954,Person,0.009,K30954,Fire,2017,2017,50.670151,-119.248337
-118.947845601966,51.6065049136591,K30957,Lightning,1.5,K30957,Fire,2017,2017,51.606499,-118.94783
-119.732383354242,49.5929892135806,K51960,Person,0.009,K51960,Fire,2017,2017,49.592983,-119.732368
-121.409332442494,50.2565060582064,K70188,Person,6,K70188,Fire,2017,2017,50.2565,-121.409317
-121.862282184856,50.8405400292243,K70350,Person,0.1,K70350,Fire,2017,2017,50.840534,-121.862267
-121.58686846193,50.2232876338506,K72141,Person,0.1,K72141,Fire,2017,2017,50.223282,-121.586853
-121.586883660087,50.2232228276798,K72154,Person,0.009,K72154,Fire,2017,2017,50.223217,-121.586868
-121.589798767161,50.2613391312033,K72334,,76,K72334,Fire,2017,2017,50.261333,-121.589783
-115.42084369757,49.036772459395,N11642,Lightning,0.3,N11642,Fire,2017,2017,49.036766,-115.42083
-116.25167756639,49.8299243203998,N11676,Lightning,322,N11676,Fire,2017,2017,49.829918,-116.251663
-114.567213602882,49.3276394719762,N12123,Lightning,0.4,N12123,Fire,2017,2017,49.327633,-114.5672
-121.305579914347,49.1470394138065,V10122,Person,0.3,V10122,Fire,2017,2017,49.147034,-121.305565
-123.385002671651,50.6193903356746,V32323,Person,0.9,V32323,Fire,2017,2017,50.619385,-123.384987
-124.899765414507,49.2807709018062,V70362,Person,0.009,V70362,Fire,2017,2017,49.280766,-124.89975
-124.075032269515,49.2065887934842,V70458,Person,0.009,V70458,Fire,2017,2017,49.206583,-124.075017
-124.748413490198,49.2611214186798,V70803,Person,0.009,V70803,Fire,2017,2017,49.261116,-124.748398
-124.887116023108,49.6758057190708,V81106,Person,0.5,V81106,Fire,2017,2017,49.6758,-124.8871
-127.700684778625,50.5172055063883,V92195,Person,0.009,V92195,Fire,2017,2017,50.5172,-127.700668
-125.861267328409,53.8162054142466,R11190,Person,0.2,R11190,Fire,2017,2017,53.8162,-125.86125
-126.535951174031,54.9257220520537,R21648,Person,0.009,R21648,Fire,2017,2017,54.925717,-126.535933
-127.590251510901,55.3562052058582,R42242,,0.009,R42242,Fire,2017,2017,55.3562,-127.590233
-123.056266848145,53.7198390886648,G10763,Lightning,0.009,G10763,Fire,2017,2017,53.719833,-123.05625
-122.86318361522,53.9916558192733,G10809,Lightning,0.009,G10809,Fire,2017,2017,53.99165,-122.863167
-120.274016287407,53.558172832352,G30855,Lightning,0.009,G30855,Fire,2017,2017,53.558167,-120.274
-119.25054972304,52.4343056186747,G31152,Lightning,0.1,G31152,Fire,2017,2017,52.434299,-119.250534
-124.421467229296,54.1569223202923,G40688,Lightning,3.4,G40688,Fire,2017,2017,54.156917,-124.42145
-124.536119382196,53.9820726965135,G41007,Lightning,0.009,G41007,Fire,2017,2017,53.982067,-124.536102
-124.995767921956,54.6415879493033,G50619,Person,0.5,G50619,Fire,2017,2017,54.641582,-124.99575
-127.130282870847,56.3466734893665,G51601,Lightning,4,G51601,Fire,2017,2017,56.346668,-127.130264
-124.394633327111,56.5327547729857,G60949,Lightning,0.4,G60949,Fire,2017,2017,56.532749,-124.394615
-122.44570076827,55.5545559176572,G70129,Person,0.009,G70129,Fire,2017,2017,55.55455,-122.445683
-121.162149742483,56.3052391120349,G80092,Person,6.2,G80092,Fire,2017,2017,56.305233,-121.162132
-118.981117257658,51.4719223031738,K10833,Lightning,0.009,K10833,Fire,2017,2017,51.471916,-118.981102
-119.176482151198,51.6256394841555,K11144,Person,28,K11144,Fire,2017,2017,51.625633,-119.176467
-119.207931462257,51.0175727532411,K31263,Lightning,0.009,K31263,Fire,2017,2017,51.017567,-119.207916
-119.112480121363,50.9429077621982,K31288,Lightning,0.009,K31288,Fire,2017,2017,50.942902,-119.112465
-119.285415596306,51.0472053452773,K31557,Lightning,0.9,K31557,Fire,2017,2017,51.047199,-119.2854
-118.595847939593,50.9537072238571,K32136,Lightning,0.009,K32136,Fire,2017,2017,50.953701,-118.595833
-118.868346873473,50.2111228516714,K42202,Person,0.009,K42202,Fire,2017,2017,50.211117,-118.868332
-122.887733919341,50.3806704819729,V30416,Person,2.7,V30416,Fire,2017,2017,50.380665,-122.887718
-124.755180847953,49.4443222233653,V72165,Person,0.009,V72165,Fire,2017,2017,49.444317,-124.755165
-125.67121965857,50.0650725385672,V82230,Person,6,V82230,Fire,2017,2017,50.065067,-125.671204
-125.980919640511,49.8605055923535,V82307,Person,20,V82307,Fire,2017,2017,49.8605,-125.980904
-125.095550449959,53.6474388182443,R10730,Lightning,0.5,R10730,Fire,2017,2017,53.647433,-125.095533
-128.077684939459,55.2862051404822,R40025,Person,0.6,R40025,Fire,2017,2017,55.2862,-128.077667
-127.667451465613,55.2495884963886,R40047,Person,6.2,R40047,Fire,2017,2017,55.249583,-127.667433
-121.996016870398,54.2804892411351,G10218,Lightning,0.009,G10218,Fire,2017,2017,54.280483,-121.996
-123.183350047606,53.4000057538611,G11061,Lightning,0.3,G11061,Fire,2017,2017,53.4,-123.183333
-122.874200219044,53.9955058179423,G11109,Lightning,0.009,G11109,Fire,2017,2017,53.9955,-122.874183
-123.012800338859,54.2373725077147,G11599,Lightning,0.03,G11599,Fire,2017,2017,54.237367,-123.012783
-120.021981128273,53.2291892557059,G30221,Person,0.009,G30221,Fire,2017,2017,53.229183,-120.021965
-120.327568949367,53.4258560248351,G31096,Lightning,0.5,G31096,Fire,2017,2017,53.42585,-120.327553
-119.162834560157,52.2909226232239,G32144,Lightning,0.21,G32144,Fire,2017,2017,52.290916,-119.162819
-124.265733953829,54.2843056444995,G40049,Person,0.8,G40049,Fire,2017,2017,54.2843,-124.265717
-121.16860018677,54.6935060614334,G71588,Lightning,0.12,G71588,Fire,2017,2017,54.6935,-121.168583
-121.190035332077,56.4852394171959,G82212,Person,6,G82212,Fire,2017,2017,56.485233,-121.190018
-124.941519440555,58.7655723300733,G92151,Person,11.7,G92151,Fire,2017,2017,58.765567,-124.9415
-121.613632526963,50.7967739495913,K20009,Person,1,K20009,Fire,2017,2017,50.796768,-121.613617
-120.155250733328,51.3393042524887,K20032,Person,0.7,K20032,Fire,2017,2017,51.339298,-120.155235
-120.48818240371,51.3791907144085,K21278,Lightning,0.009,K21278,Fire,2017,2017,51.379185,-120.488167
-119.838081940897,50.5324727550965,K21375,Person,150,K21375,Fire,2017,2017,50.532467,-119.838067
-120.034632000038,50.6306893340635,K21909,Person,0.1,K21909,Fire,2017,2017,50.630683,-120.034617
-120.022544969284,50.8496382506206,K22082,Lightning,0.009,K22082,Fire,2017,2017,50.849632,-120.02253
-119.833165235517,50.5014893509364,K41481,Person,0.009,K41481,Fire,2017,2017,50.501483,-119.83315
-119.552032128585,49.5970404388294,K51756,Person,0.4,K51756,Fire,2017,2017,49.597034,-119.552017
-120.309616055492,50.2946378847613,K60384,Person,0.009,K60384,Fire,2017,2017,50.294632,-120.309601
-121.017135502504,49.6602383686588,K60669,Person,0.2,K60669,Fire,2017,2017,49.660232,-121.01712
-121.381194984381,49.3681240092939,V10555,Person,0.009,V10555,Fire,2017,2017,49.368118,-121.38118
-121.316245875778,49.3853398261818,V11021,Person,0.009,V11021,Fire,2017,2017,49.385334,-121.316231
-121.478050105684,49.3649235036033,V12108,Person,1.5,V12108,Fire,2017,2017,49.364918,-121.478035
-124.422699509869,49.8669373823336,V52227,Lightning,0.009,V52227,Fire,2017,2017,49.866932,-124.422684
-123.816680944448,48.5000054984919,V60631,Person,0.1,V60631,Fire,2017,2017,48.5,-123.816666
-124.318878538551,49.3046738664885,V72273,Person,0.009,V72273,Fire,2017,2017,49.304668,-124.318863
-126.030716773438,50.3153205073116,V82177,Person,0.009,V82177,Fire,2017,2017,50.315315,-126.030701
-126.411782276164,50.4448713592608,V82325,Person,0.009,V82325,Fire,2017,2017,50.444866,-126.411766
-125.853250323455,52.9949394043145,VA0873,Lightning,0.2,VA0873,Fire,2017,2017,52.994934,-125.853233
-128.04771821877,55.2346218465654,R40046,Person,8.1,R40046,Fire,2017,2017,55.234617,-128.0477
-128.430219757971,58.3338551087797,R91596,Lightning,0.009,R91596,Fire,2017,2017,58.33385,-128.4302
-123.176583638112,53.9298724784653,G11330,Lightning,0.5,G11330,Fire,2017,2017,53.929867,-123.176567
-121.757417231715,54.0161229669125,G11525,Lightning,0.3,G11525,Fire,2017,2017,54.016117,-121.757401
-121.743199834795,53.5102059441845,G11727,Lightning,0.009,G11727,Fire,2017,2017,53.5102,-121.743183
