station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 3.9, 2016-07-13 00:00:00, 12.3, 15.4
None, 1.6, 2016-07-14 00:00:00, 12.7, 17.8
None, 21.4, 2016-07-15 00:00:00, 10.5, 17.1
None, 0.6, 2016-07-16 00:00:00, 11.5, 16.1
None, 0.2, 2016-07-17 00:00:00, 10.3, 20.1
None, 2.4, 2016-07-18 00:00:00, 13.5, 19.5
None, 10.8, 2016-07-19 00:00:00, 13.4, 15.9
None, 0.0, 2016-07-20 00:00:00, 12.8, 16.9
None, 0.0, 2016-07-21 00:00:00, 12.2, 21.0
None, 0.0, 2016-07-22 00:00:00, 10.5, 20.5
None, 0.0, 2016-07-23 00:00:00, 13.0, 16.8
None, 0.0, 2016-07-24 00:00:00, 12.5, 20.3
None, 8.4, 2016-07-25 00:00:00, 13.5, 19.0
None, 0.6, 2016-07-26 00:00:00, 11.8, 22.1
None, 0.0, 2016-07-27 00:00:00, 13.7, 23.2
None, 0.3, 2016-07-28 00:00:00, 13.6, 24.5
None, 5.2, 2016-07-29 00:00:00, 13.3, 24.0
None, 2.5, 2016-07-30 00:00:00, 12.3, 17.9
None, 0.0, 2016-07-31 00:00:00, 11.1, 17.4
None, 0.0, 2016-08-01 00:00:00, 11.4, 19.8
None, 0.1, 2016-08-02 00:00:00, 9.9, 21.5
None, 1.8, 2016-08-03 00:00:00, 12.9, 22.7
None, 0.0, 2016-08-04 00:00:00, 12.8, 19.8
None, 0.5, 2016-08-05 00:00:00, 12.4, 26.6
None, 0.0, 2016-08-06 00:00:00, 14.9, 24.9
None, 1.0, 2016-08-07 00:00:00, 14.9, 21.0
None, 5.2, 2016-08-08 00:00:00, 14.1, 17.5
None, 1.2, 2016-08-09 00:00:00, 13.5, 22.1
None, 0.0, 2016-08-10 00:00:00, 15.0, 19.7
None, 0.0, 2016-08-11 00:00:00, 13.7, 22.4
None, 1.1, 2016-08-12 00:00:00, 12.4, 23.8
None, 0.0, 2016-08-13 00:00:00, 12.4, 23.7
None, 10.2, 2016-08-14 00:00:00, 12.5, 21.0
None, 0.0, 2016-08-15 00:00:00, 11.8, 22.3
None, 0.0, 2016-08-16 00:00:00, 12.3, 23.3
None, 0.0, 2016-08-17 00:00:00, 14.4, 25.0
None, 0.0, 2016-08-18 00:00:00, 12.1, 24.6
None, 0.0, 2016-08-19 00:00:00, 10.5, 23.4
None, 0.0, 2016-08-20 00:00:00, 11.3, 22.1
None, 0.0, 2016-08-21 00:00:00, 13.0, 25.5
None, 0.0, 2016-08-22 00:00:00, 12.0, 14.2
None, 0.0, 2016-08-23 00:00:00, 11.4, 20.1
None, 0.0, 2016-08-24 00:00:00, 10.0, 22.6
None, 0.0, 2016-08-25 00:00:00, 13.2, 23.4
None, 0.1, 2016-08-26 00:00:00, 10.2, 23.8
None, 21.1, 2016-08-27 00:00:00, 12.1, 16.0
None, 0.4, 2016-08-28 00:00:00, 10.9, 14.7
None, 1.7, 2016-08-29 00:00:00, 12.1, 19.5
None, 0.7, 2016-08-30 00:00:00, 11.5, 22.9
