station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 10.65, 141.1, None, None, None, 1019.0, None, None, None, None, None, 66.67, None, None, -5.607, None, None, None, None, 22.68, None, None, None, None, None, 2017-01-08 05:00:00, None
None, None, None, None, 4.302, 122.8, None, None, None, 1017.0, None, None, None, None, None, 66.87, None, None, -6.09, None, None, None, None, 44.38, None, None, None, None, None, 2017-01-08 06:00:00, None
None, None, None, None, 1.78, 118.6, None, None, None, 1016.0, None, None, None, None, None, 66.58, None, None, -6.128, None, None, None, None, 63.95, None, None, None, None, None, 2017-01-08 07:00:00, None
None, None, None, None, 0.88, 117.3, None, None, None, 1016.0, None, None, None, None, None, 66.84, None, None, -6.118, None, None, None, None, 72.4, None, None, None, None, None, 2017-01-08 08:00:00, None
None, None, None, None, 0.776, 81.8, None, None, None, 1016.0, None, None, None, None, None, 65.98, None, None, -6.942, None, None, None, None, 73.5, None, None, None, None, None, 2017-01-08 09:00:00, None
None, None, None, None, 1.181, 313.8, None, None, None, 1015.0, None, None, None, None, None, 66.15, None, None, -7.42, None, None, None, None, 63.21, None, None, None, None, None, 2017-01-08 10:00:00, None
None, None, None, None, 1.085, 300.0, None, None, None, 1015.0, None, None, None, None, None, 66.8, None, None, -6.932, None, None, None, None, 67.62, None, None, None, None, None, 2017-01-08 11:00:00, None
None, None, None, None, 0.356, 26.69, None, None, None, 1013.0, None, None, None, None, None, 66.73, None, None, -6.454, None, None, None, None, 76.5, None, None, None, None, None, 2017-01-08 12:00:00, None
None, None, None, None, 4.522, 153.9, None, None, None, 1012.0, None, None, None, None, None, 66.43, None, None, -4.391, None, None, None, None, 44.86, None, None, None, None, None, 2017-01-08 13:00:00, None
None, None, None, None, 8.84, 142.5, None, None, None, 1011.0, None, None, None, None, None, 67.0, None, None, -3.515, None, None, None, None, 24.18, None, None, None, None, None, 2017-01-08 14:00:00, None
None, None, None, None, 7.82, 137.8, None, None, None, 1011.0, None, None, None, None, None, 67.07, None, None, -3.593, None, None, None, None, 27.32, None, None, None, None, None, 2017-01-08 15:00:00, None
None, None, None, None, 5.183, 126.6, None, None, None, 1009.0, None, None, None, None, None, 67.14, None, None, -4.829, None, None, None, None, 34.56, None, None, None, None, None, 2017-01-08 16:00:00, None
None, None, None, None, 1.764, 10.19, None, None, None, 1008.0, None, None, None, None, None, 66.83, None, None, -4.925, None, None, None, None, 56.85, None, None, None, None, None, 2017-01-08 17:00:00, None
None, None, None, None, 0.222, 233.5, None, None, None, 1008.0, None, None, None, None, None, 66.17, None, None, -6.307, None, None, None, None, 77.1, None, None, None, None, None, 2017-01-08 18:00:00, None
None, None, None, None, 12.9, 145.0, None, None, None, 1007.0, None, None, None, None, None, 66.54, None, None, -3.894, None, None, None, None, 25.98, None, None, None, None, None, 2017-01-08 19:00:00, None
None, None, None, None, 12.51, 144.4, None, None, None, 1007.0, None, None, None, None, None, 66.63, None, None, -3.625, None, None, None, None, 25.19, None, None, None, None, None, 2017-01-08 20:00:00, None
None, None, None, None, 12.57, 146.6, None, None, None, 1007.0, None, None, None, None, None, 67.02, None, None, -3.455, None, None, None, None, 27.58, None, None, None, None, None, 2017-01-08 21:00:00, None
None, None, None, None, 8.1, 142.2, None, None, None, 1005.0, None, None, None, None, None, 66.5, None, None, -2.14, None, None, None, None, 32.16, None, None, None, None, None, 2017-01-08 22:00:00, None
None, None, None, None, 5.861, 127.2, None, None, None, 1005.0, None, None, None, None, None, 67.07, None, None, -1.621, None, None, None, None, 49.58, None, None, None, None, None, 2017-01-08 23:00:00, None
None, None, None, None, 3.355, 114.6, None, None, None, 1005.0, None, None, None, None, None, 67.27, None, None, -1.699, None, None, None, None, 61.33, None, None, None, None, None, 2017-01-09 00:00:00, None
None, None, None, None, 2.56, 102.9, None, None, None, 1005.0, None, None, None, None, None, 66.39, None, None, -2.384, None, None, None, None, 62.18, None, None, None, None, None, 2017-01-09 01:00:00, None
None, None, None, None, 2.507, 129.3, None, None, None, 1005.0, None, None, None, None, None, 67.14, None, None, -2.606, None, None, None, None, 64.79, None, None, None, None, None, 2017-01-09 02:00:00, None
None, None, None, None, 5.436, 125.9, None, None, None, 1007.0, None, None, None, None, None, 66.75, None, None, -3.061, None, None, None, None, 50.7, None, None, None, None, None, 2017-01-09 03:00:00, None
None, None, None, None, 7.98, 136.0, None, None, None, 1007.0, None, None, None, None, None, 66.42, None, None, -2.828, None, None, None, None, 36.57, None, None, None, None, None, 2017-01-09 04:00:00, None
None, None, None, None, 7.23, 132.1, None, None, None, 1008.0, None, None, None, None, None, 66.67, None, None, -3.206, None, None, None, None, 35.41, None, None, None, None, None, 2017-01-09 05:00:00, None
None, None, None, None, 5.639, 134.8, None, None, None, 1008.0, None, None, None, None, None, 66.82, None, None, -2.906, None, None, None, None, 42.65, None, None, None, None, None, 2017-01-09 06:00:00, None
None, None, None, None, 4.785, 130.7, None, None, None, 1008.0, None, None, None, None, None, 66.12, None, None, -3.554, None, None, None, None, 44.57, None, None, None, None, None, 2017-01-09 07:00:00, None
None, None, None, None, 2.697, 128.1, None, None, None, 1009.0, None, None, None, None, None, 66.42, None, None, -3.622, None, None, None, None, 56.53, None, None, None, None, None, 2017-01-09 08:00:00, None
None, None, None, None, 1.224, 81.2, None, None, None, 1009.0, None, None, None, None, None, 66.66, None, None, -4.376, None, None, None, None, 65.54, None, None, None, None, None, 2017-01-09 09:00:00, None
None, None, None, None, 0.672, 42.12, None, None, None, 1011.0, None, None, None, None, None, 66.75, None, None, -3.578, None, None, None, None, 71.0, None, None, None, None, None, 2017-01-09 10:00:00, None
None, None, None, None, 0.945, 26.54, None, None, None, 1012.0, None, None, None, None, None, 66.74, None, None, -3.616, None, None, None, None, 67.7, None, None, None, None, None, 2017-01-09 11:00:00, None
None, None, None, None, 1.397, 27.14, None, None, None, 1012.0, None, None, None, None, None, 66.76, None, None, -2.95, None, None, None, None, 62.35, None, None, None, None, None, 2017-01-09 12:00:00, None
None, None, None, None, 2.363, 120.0, None, None, None, 1012.0, None, None, None, None, None, 66.64, None, None, -1.092, None, None, None, None, 59.83, None, None, None, None, None, 2017-01-09 13:00:00, None
None, None, None, None, 8.67, 142.5, None, None, None, 1013.0, None, None, None, None, None, 66.19, None, None, -1.315, None, None, None, None, 33.32, None, None, None, None, None, 2017-01-09 14:00:00, None
None, None, None, None, 2.449, 116.2, None, None, None, 1013.0, None, None, None, None, None, 66.7, None, None, -1.441, None, None, None, None, 62.71, None, None, None, None, None, 2017-01-09 15:00:00, None
None, None, None, None, 2.095, 87.7, None, None, None, 1013.0, None, None, None, None, None, 66.53, None, None, -2.685, None, None, None, None, 61.49, None, None, None, None, None, 2017-01-09 16:00:00, None
None, None, None, None, 2.657, 139.3, None, None, None, 1013.0, None, None, None, None, None, 66.37, None, None, -4.362, None, None, None, None, 44.77, None, None, None, None, None, 2017-01-09 17:00:00, None
None, None, None, None, 0.374, 89.9, None, None, None, 1013.0, None, None, None, None, None, 66.03, None, None, -4.646, None, None, None, None, 73.3, None, None, None, None, None, 2017-01-09 18:00:00, None
None, None, None, None, 2.685, 157.9, None, None, None, 1013.0, None, None, None, None, None, 66.7, None, None, -5.437, None, None, None, None, 45.81, None, None, None, None, None, 2017-01-09 19:00:00, None
None, None, None, None, 0.635, 94.2, None, None, None, 1013.0, None, None, None, None, None, 66.79, None, None, -8.42, None, None, None, None, 67.06, None, None, None, None, None, 2017-01-09 20:00:00, None
None, None, None, None, 1.552, 105.8, None, None, None, 1015.0, None, None, None, None, None, 66.05, None, None, -10.63, None, None, None, None, 51.74, None, None, None, None, None, 2017-01-09 21:00:00, None
None, None, None, None, 1.331, 128.9, None, None, None, 1016.0, None, None, None, None, None, 65.89, None, None, -11.14, None, None, None, None, 48.73, None, None, None, None, None, 2017-01-09 22:00:00, None
