station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-15.68, None, None, None, None, 17.19, None, 354.3, 9.09, None, None, None, None, None, 2017-01-11 10:00:00
-14.92, None, None, None, None, 7.61, None, 343.5, 17.46, None, None, None, None, None, 2017-01-11 11:00:00
-15.35, None, None, None, None, 9.23, None, 274.5, 10.25, None, None, None, None, None, 2017-01-11 19:00:00
-15.2, None, None, None, None, 8.33, None, 266.7, 10.41, None, None, None, None, None, 2017-01-11 20:00:00
-14.71, None, None, None, None, 7.56, None, 260.8, 9.58, None, None, None, None, None, 2017-01-11 21:00:00
-15.5, None, None, None, None, 6.318, None, 263.7, 11.36, None, None, None, None, None, 2017-01-12 09:00:00
-15.05, None, None, None, None, 8.51, None, 268.8, 12.09, None, None, None, None, None, 2017-01-12 10:00:00
-15.89, None, None, None, None, 10.42, None, 269.4, 12.2, None, None, None, None, None, 2017-01-12 11:00:00
-16.18, None, None, None, None, 8.63, None, 263.5, 16.04, None, None, None, None, None, 2017-01-12 12:00:00
-15.74, None, None, None, None, 10.0, None, 263.6, 15.52, None, None, None, None, None, 2017-01-12 13:00:00
-15.5, None, None, None, None, 10.95, None, 263.1, 15.34, None, None, None, None, None, 2017-01-12 14:00:00
-15.26, None, None, None, None, 12.52, None, 262.1, 14.74, None, None, None, None, None, 2017-01-12 15:00:00
-16.2, None, None, None, None, 10.38, None, 262.6, 17.03, None, None, None, None, None, 2017-01-12 17:00:00
-16.38, None, None, None, None, 7.97, None, 262.2, 17.57, None, None, None, None, None, 2017-01-12 18:00:00
-15.88, None, None, None, None, 7.81, None, 258.8, 15.16, None, None, None, None, None, 2017-01-12 19:00:00
-15.59, None, None, None, None, 9.07, None, 260.1, 16.39, None, None, None, None, None, 2017-01-12 20:00:00
-15.49, None, None, None, None, 8.15, None, 263.6, 18.91, None, None, None, None, None, 2017-01-12 22:00:00
-15.5, None, None, None, None, 9.8, None, 266.6, 18.34, None, None, None, None, None, 2017-01-12 23:00:00
-15.35, None, None, None, None, 8.22, None, 267.1, 15.67, None, None, None, None, None, 2017-01-13 00:00:00
-14.58, None, None, None, None, 5.542, None, 263.4, 14.07, None, None, None, None, None, 2017-01-13 02:00:00
-14.34, None, None, None, None, 7.41, None, 263.8, 15.73, None, None, None, None, None, 2017-01-13 04:00:00
-13.2, None, None, None, None, 7.92, None, 261.8, 14.33, None, None, None, None, None, 2017-01-13 15:00:00
-13.92, None, None, None, None, 6.192, None, 261.7, 10.57, None, None, None, None, None, 2017-01-13 16:00:00
-13.1, None, None, None, None, 6.3, None, 270.4, 11.79, None, None, None, None, None, 2017-01-13 18:00:00
-9.39, None, None, None, None, 6.007, None, 259.6, 10.8, None, None, None, None, None, 2017-01-14 07:00:00
-9.68, None, None, None, None, 5.735, None, 261.9, 15.47, None, None, None, None, None, 2017-01-14 08:00:00
-9.01, None, None, None, None, 4.977, None, 260.3, 14.68, None, None, None, None, None, 2017-01-14 09:00:00
-9.38, None, None, None, None, 5.024, None, 262.4, 13.52, None, None, None, None, None, 2017-01-14 10:00:00
-8.43, None, None, None, None, 6.187, None, 258.8, 14.54, None, None, None, None, None, 2017-01-14 11:00:00
-8.34, None, None, None, None, 7.4, None, 259.5, 16.99, None, None, None, None, None, 2017-01-14 12:00:00
-8.0, None, None, None, None, 8.04, None, 260.1, 19.86, None, None, None, None, None, 2017-01-14 13:00:00
-7.86, None, None, None, None, 8.52, None, 263.3, 18.35, None, None, None, None, None, 2017-01-14 16:00:00
-7.93, None, None, None, None, 9.7, None, 264.2, 14.26, None, None, None, None, None, 2017-01-14 17:00:00
-6.615, None, None, None, None, 6.673, None, 264.9, 23.37, None, None, None, None, None, 2017-01-15 03:00:00
-6.373, None, None, None, None, 8.2, None, 264.9, 24.18, None, None, None, None, None, 2017-01-15 04:00:00
-6.856, None, None, None, None, 8.22, None, 264.2, 21.24, None, None, None, None, None, 2017-01-15 05:00:00
-10.18, None, None, None, None, 8.64, None, 266.2, 20.43, None, None, None, None, None, 2017-01-15 09:00:00
-10.23, None, None, None, None, 10.05, None, 263.4, 14.88, None, None, None, None, None, 2017-01-15 10:00:00
-9.57, None, None, None, None, 9.26, None, 264.7, 15.56, None, None, None, None, None, 2017-01-15 11:00:00
-8.22, None, None, None, None, 12.75, None, 261.5, 9.87, None, None, None, None, None, 2017-01-15 14:00:00
-9.37, None, None, None, None, 11.03, None, 263.9, 9.52, None, None, None, None, None, 2017-01-15 15:00:00
-9.73, None, None, None, None, 9.88, None, 262.8, 14.65, None, None, None, None, None, 2017-01-15 16:00:00
-9.85, None, None, None, None, 8.76, None, 265.7, 11.98, None, None, None, None, None, 2017-01-15 17:00:00
-9.46, None, None, None, None, 10.69, None, 267.5, 9.8, None, None, None, None, None, 2017-01-15 18:00:00
-9.69, None, None, None, None, 12.39, None, 269.7, 10.52, None, None, None, None, None, 2017-01-16 01:00:00
-8.77, None, None, None, None, 10.28, None, 268.6, 9.19, None, None, None, None, None, 2017-01-16 02:00:00
-7.22, None, None, None, None, 21.15, None, 284.3, 8.21, None, None, None, None, None, 2017-01-16 03:00:00
-7.13, None, None, None, None, 22.86, None, 290.3, 8.98, None, None, None, None, None, 2017-01-16 04:00:00
-7.76, None, None, None, None, 7.88, None, 266.5, 16.51, None, None, None, None, None, 2017-01-16 06:00:00
-5.053, None, None, None, None, 9.61, None, 268.9, 21.63, None, None, None, None, None, 2017-01-16 11:00:00
-4.581, None, None, None, None, 8.71, None, 265.9, 23.75, None, None, None, None, None, 2017-01-16 12:00:00
-4.534, None, None, None, None, 7.44, None, 265.9, 23.2, None, None, None, None, None, 2017-01-16 13:00:00
-4.63, None, None, None, None, 8.69, None, 265.3, 19.71, None, None, None, None, None, 2017-01-16 14:00:00
-4.047, None, None, None, None, 10.97, None, 260.8, 17.36, None, None, None, None, None, 2017-01-16 15:00:00
-4.039, None, None, None, None, 9.16, None, 254.4, 16.36, None, None, None, None, None, 2017-01-16 16:00:00
-4.571, None, None, None, None, 19.42, None, 251.9, 11.44, None, None, None, None, None, 2017-01-16 17:00:00
-3.883, None, None, None, None, 9.34, None, 255.8, 13.56, None, None, None, None, None, 2017-01-17 03:00:00
-3.652, None, None, None, None, 11.22, None, 257.3, 12.02, None, None, None, None, None, 2017-01-17 04:00:00
-3.508, None, None, None, None, 9.02, None, 267.4, 20.07, None, None, None, None, None, 2017-01-17 06:00:00
-7.3, None, None, None, None, 11.58, None, 145.4, 14.14, None, None, None, None, None, 2017-01-17 21:00:00
-7.4, None, None, None, None, 13.61, None, 149.1, 13.48, None, None, None, None, None, 2017-01-17 22:00:00
-6.384, None, None, None, None, 23.33, None, 177.9, 11.47, None, None, None, None, None, 2017-01-17 23:00:00
-6.916, None, None, None, None, 15.39, None, 170.0, 18.08, None, None, None, None, None, 2017-01-18 02:00:00
-8.07, None, None, None, None, 6.949, None, 145.0, 13.89, None, None, None, None, None, 2017-01-18 05:00:00
-8.06, None, None, None, None, 5.827, None, 145.8, 11.94, None, None, None, None, None, 2017-01-18 06:00:00
-6.626, None, None, None, None, 10.86, None, 146.7, 5.406, None, None, None, None, None, 2017-01-18 10:00:00
-5.429, None, None, None, None, 19.34, None, 164.2, 4.726, None, None, None, None, None, 2017-01-18 12:00:00
-5.332, None, None, None, None, 16.66, None, 156.1, 4.368, None, None, None, None, None, 2017-01-18 13:00:00
-5.284, None, None, None, None, 19.33, None, 203.1, 4.395, None, None, None, None, None, 2017-01-18 15:00:00
-5.622, None, None, None, None, 20.58, None, 197.8, 4.143, None, None, None, None, None, 2017-01-18 16:00:00
-5.709, None, None, None, None, 11.99, None, 148.9, 2.505, None, None, None, None, None, 2017-01-18 20:00:00
-5.377, None, None, None, None, 7.41, None, 144.6, 0.0, None, None, None, None, None, 2017-01-18 23:00:00
-5.331, None, None, None, None, 4.568, None, 152.2, 0.001, None, None, None, None, None, 2017-01-19 00:00:00
-5.236, None, None, None, None, 9.27, None, 156.1, 0.001, None, None, None, None, None, 2017-01-19 03:00:00
-5.284, None, None, None, None, 8.38, None, 159.9, 0.001, None, None, None, None, None, 2017-01-19 04:00:00
-6.009, None, None, None, None, 15.77, None, 232.2, 0.0, None, None, None, None, None, 2017-01-19 13:00:00
-5.091, None, None, None, None, 30.1, None, 227.4, 0.0, None, None, None, None, None, 2017-01-19 14:00:00
-6.97, None, None, None, None, 8.6, None, 235.6, 0.001, None, None, None, None, None, 2017-01-19 16:00:00
-8.08, None, None, None, None, 17.35, None, 230.1, 0.001, None, None, None, None, None, 2017-01-19 17:00:00
-15.93, None, None, None, None, 16.91, None, 281.7, 1.914, None, None, None, None, None, 2017-02-01 14:00:00
-16.13, None, None, None, None, 27.94, None, 306.5, 2.767, None, None, None, None, None, 2017-02-01 15:00:00
-16.84, None, None, None, None, 18.62, None, 293.7, 5.502, None, None, None, None, None, 2017-02-01 16:00:00
-18.65, None, None, None, None, 32.48, None, 322.5, 4.668, None, None, None, None, None, 2017-02-01 17:00:00
-19.58, None, None, None, None, 30.58, None, 359.1, 6.95, None, None, None, None, None, 2017-02-01 18:00:00
-18.18, None, None, None, None, 25.19, None, 127.9, 7.93, None, None, None, None, None, 2017-02-02 08:00:00
-17.06, None, None, None, None, 19.08, None, 131.4, 10.37, None, None, None, None, None, 2017-02-02 09:00:00
-16.61, None, None, None, None, 15.68, None, 132.5, 14.25, None, None, None, None, None, 2017-02-02 10:00:00
-17.57, None, None, None, None, 7.23, None, 143.7, 13.24, None, None, None, None, None, 2017-02-02 21:00:00
-17.23, None, None, None, None, 11.13, None, 149.5, 14.7, None, None, None, None, None, 2017-02-03 00:00:00
-16.31, None, None, None, None, 7.22, None, 142.8, 19.99, None, None, None, None, None, 2017-02-03 01:00:00
-15.61, None, None, None, None, 7.43, None, 148.5, 19.2, None, None, None, None, None, 2017-02-03 04:00:00
-14.78, None, None, None, None, 7.23, None, 142.5, 24.82, None, None, None, None, None, 2017-02-03 05:00:00
-14.98, None, None, None, None, 7.47, None, 143.4, 27.48, None, None, None, None, None, 2017-02-03 06:00:00
-14.8, None, None, None, None, 6.863, None, 139.9, 32.73, None, None, None, None, None, 2017-02-03 07:00:00
-14.71, None, None, None, None, 5.461, None, 140.3, 29.85, None, None, None, None, None, 2017-02-03 08:00:00
-14.66, None, None, None, None, 6.873, None, 140.6, 29.01, None, None, None, None, None, 2017-02-03 09:00:00
-12.99, None, None, None, None, 6.143, None, 136.2, 36.0, None, None, None, None, None, 2017-02-03 12:00:00
-12.56, None, None, None, None, 7.22, None, 140.4, 33.36, None, None, None, None, None, 2017-02-03 13:00:00
-12.42, None, None, None, None, 6.025, None, 145.0, 29.59, None, None, None, None, None, 2017-02-03 14:00:00
-12.51, None, None, None, None, 6.038, None, 144.0, 24.95, None, None, None, None, None, 2017-02-03 16:00:00
-12.51, None, None, None, None, 7.18, None, 140.5, 22.82, None, None, None, None, None, 2017-02-03 17:00:00
-12.03, None, None, None, None, 7.42, None, 140.9, 25.31, None, None, None, None, None, 2017-02-03 18:00:00
-11.93, None, None, None, None, 6.339, None, 139.0, 28.59, None, None, None, None, None, 2017-02-03 19:00:00
-11.26, None, None, None, None, 5.918, None, 140.3, 27.31, None, None, None, None, None, 2017-02-03 20:00:00
-11.69, None, None, None, None, 6.376, None, 145.4, 15.69, None, None, None, None, None, 2017-02-04 03:00:00
-11.69, None, None, None, None, 12.51, None, 159.2, 10.55, None, None, None, None, None, 2017-02-04 04:00:00
-11.11, None, None, None, None, 13.38, None, 193.5, 10.09, None, None, None, None, None, 2017-02-04 05:00:00
-11.11, None, None, None, None, 15.89, None, 158.3, 8.19, None, None, None, None, None, 2017-02-04 06:00:00
-11.4, None, None, None, None, 15.03, None, 164.5, 8.85, None, None, None, None, None, 2017-02-04 07:00:00
-11.35, None, None, None, None, 11.85, None, 146.8, 12.56, None, None, None, None, None, 2017-02-04 09:00:00
-10.78, None, None, None, None, 15.21, None, 188.7, 11.97, None, None, None, None, None, 2017-02-04 10:00:00
-10.65, None, None, None, None, 19.19, None, 218.7, 9.32, None, None, None, None, None, 2017-02-04 11:00:00
-11.0, None, None, None, None, 9.5, None, 265.3, 12.54, None, None, None, None, None, 2017-02-04 13:00:00
-10.7, None, None, None, None, 8.51, None, 268.3, 14.68, None, None, None, None, None, 2017-02-04 15:00:00
-10.22, None, None, None, None, 7.79, None, 266.1, 24.3, None, None, None, None, None, 2017-02-04 16:00:00
-10.26, None, None, None, None, 7.06, None, 268.6, 23.34, None, None, None, None, None, 2017-02-04 17:00:00
-10.02, None, None, None, None, 9.92, None, 264.2, 18.95, None, None, None, None, None, 2017-02-04 18:00:00
-9.59, None, None, None, None, 12.02, None, 257.4, 17.81, None, None, None, None, None, 2017-02-04 19:00:00
-9.93, None, None, None, None, 24.86, None, 186.7, 11.69, None, None, None, None, None, 2017-02-04 20:00:00
-9.78, None, None, None, None, 25.69, None, 180.9, 15.25, None, None, None, None, None, 2017-02-04 21:00:00
-10.41, None, None, None, None, 13.95, None, 219.6, 20.99, None, None, None, None, None, 2017-02-04 22:00:00
-10.3, None, None, None, None, 13.88, None, 212.7, 22.8, None, None, None, None, None, 2017-02-04 23:00:00
-9.82, None, None, None, None, 10.17, None, 209.4, 27.53, None, None, None, None, None, 2017-02-05 00:00:00
-9.63, None, None, None, None, 10.74, None, 213.6, 32.55, None, None, None, None, None, 2017-02-05 01:00:00
-10.4, None, None, None, None, 15.04, None, 227.3, 19.3, None, None, None, None, None, 2017-02-05 03:00:00
-10.83, None, None, None, None, 16.8, None, 261.6, 24.94, None, None, None, None, None, 2017-02-05 05:00:00
-11.02, None, None, None, None, 17.28, None, 256.6, 22.48, None, None, None, None, None, 2017-02-05 06:00:00
-11.21, None, None, None, None, 16.08, None, 247.3, 17.76, None, None, None, None, None, 2017-02-05 07:00:00
-11.35, None, None, None, None, 15.62, None, 255.7, 23.78, None, None, None, None, None, 2017-02-05 08:00:00
-10.82, None, None, None, None, 25.94, None, 229.1, 8.84, None, None, None, None, None, 2017-02-05 09:00:00
-11.56, None, None, None, None, 15.24, None, 266.0, 12.98, None, None, None, None, None, 2017-02-05 10:00:00
-12.57, None, None, None, None, 12.72, None, 269.5, 23.25, None, None, None, None, None, 2017-02-05 11:00:00
-12.72, None, None, None, None, 9.38, None, 268.2, 21.56, None, None, None, None, None, 2017-02-05 12:00:00
-12.53, None, None, None, None, 13.26, None, 262.8, 14.13, None, None, None, None, None, 2017-02-05 13:00:00
-12.92, None, None, None, None, 15.24, None, 257.6, 13.05, None, None, None, None, None, 2017-02-05 14:00:00
-13.92, None, None, None, None, 8.0, None, 262.8, 9.74, None, None, None, None, None, 2017-02-05 16:00:00
-14.29, None, None, None, None, 8.13, None, 329.7, 1.102, None, None, None, None, None, 2017-02-05 18:00:00
-14.25, None, None, None, None, 14.45, None, 131.6, 1.609, None, None, None, None, None, 2017-02-05 19:00:00
-14.15, None, None, None, None, 14.31, None, 134.1, 4.887, None, None, None, None, None, 2017-02-05 20:00:00
-13.71, None, None, None, None, 17.54, None, 133.8, 8.89, None, None, None, None, None, 2017-02-05 23:00:00
-13.38, None, None, None, None, 12.11, None, 135.0, 11.06, None, None, None, None, None, 2017-02-06 02:00:00
-13.57, None, None, None, None, 7.9, None, 138.4, 18.91, None, None, None, None, None, 2017-02-06 04:00:00
-13.62, None, None, None, None, 6.853, None, 137.2, 23.39, None, None, None, None, None, 2017-02-06 05:00:00
-14.05, None, None, None, None, 6.59, None, 137.7, 26.34, None, None, None, None, None, 2017-02-06 06:00:00
-15.31, None, None, None, None, 6.494, None, 133.8, 25.27, None, None, None, None, None, 2017-02-06 08:00:00
-14.35, None, None, None, None, 19.84, None, 248.6, 14.85, None, None, None, None, None, 2017-02-06 11:00:00
-15.07, None, None, None, None, 16.34, None, 268.7, 23.33, None, None, None, None, None, 2017-02-06 12:00:00
-15.79, None, None, None, None, 16.92, None, 264.3, 28.48, None, None, None, None, None, 2017-02-06 14:00:00
