station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
1.0, 885.0, None, -3.6, -3.6, 186.0, None, None, 0.0, 370.0, None, 2020-01-03 22:00:00, None
0.0, 885.0, None, -3.9, -3.9, 186.0, None, None, 0.0, 371.0, None, 2020-01-03 23:00:00, None
0.0, 885.0, None, -3.7, -3.7, 183.0, None, None, 0.0, 372.0, None, 2020-01-04 00:00:00, None
2.0, 886.0, None, -3.8, -3.8, 186.0, None, None, 1.0, 373.0, None, 2020-01-04 01:00:00, None
1.0, 885.0, None, -4.4, -4.4, 187.0, None, None, None, 375.0, None, 2020-01-04 02:00:00, None
2.0, 885.0, None, -5.0, -5.0, 187.0, None, None, 0.0, 376.0, None, 2020-01-04 03:00:00, None
2.0, 885.0, None, -5.3, -5.3, 186.0, None, None, 0.0, 377.0, None, 2020-01-04 04:00:00, None
2.0, 886.0, None, -6.2, -6.2, 192.0, None, None, 1.0, 382.0, None, 2020-01-04 05:00:00, None
2.0, 886.0, None, -6.2, -6.2, 197.0, None, None, 0.0, 384.0, None, 2020-01-04 06:00:00, None
2.0, 886.0, None, -6.3, -6.3, 200.0, None, None, 0.0, 388.0, None, 2020-01-04 07:00:00, None
2.0, 886.0, None, -6.2, -6.2, 199.0, None, None, 0.0, 389.0, None, 2020-01-04 08:00:00, None
2.0, 886.0, None, -6.2, -6.2, 198.0, None, None, 0.0, 389.0, None, 2020-01-04 09:00:00, None
2.0, 886.0, None, -5.8, -5.8, 196.0, None, None, 0.0, 389.0, None, 2020-01-04 10:00:00, None
2.0, 886.0, None, -5.4, -5.4, 195.0, None, None, 0.0, 390.0, None, 2020-01-04 11:00:00, None
1.0, 885.0, None, -5.3, -5.3, 195.0, None, None, None, 390.0, None, 2020-01-04 12:00:00, None
1.0, 885.0, None, -4.4, -4.4, 195.0, None, None, 0.0, 391.0, None, 2020-01-04 13:00:00, None
1.0, 885.0, None, -4.4, -4.4, 194.0, None, None, 0.0, 392.0, None, 2020-01-04 14:00:00, None
2.0, 886.0, None, -4.8, -4.8, 192.0, None, None, 1.0, 392.0, None, 2020-01-04 15:00:00, None
2.0, 886.0, None, -4.9, -4.9, 192.0, None, None, 0.0, 392.0, None, 2020-01-04 16:00:00, None
2.0, 886.0, None, -4.9, -4.9, 193.0, None, None, 0.0, 392.0, None, 2020-01-04 17:00:00, None
1.0, 886.0, None, -5.0, -5.0, 190.0, None, None, 0.0, 393.0, None, 2020-01-04 18:00:00, None
1.0, 886.0, None, -4.8, -4.8, 189.0, None, None, 0.0, 393.0, None, 2020-01-04 19:00:00, None
1.0, 886.0, None, -5.0, -5.0, 191.0, None, None, 0.0, 393.0, None, 2020-01-04 20:00:00, None
1.0, 886.0, None, -4.1, -4.1, 191.0, None, None, 0.0, 394.0, None, 2020-01-04 21:00:00, None
1.0, 886.0, None, -4.5, -4.5, 189.0, None, None, 0.0, 394.0, None, 2020-01-04 22:00:00, None
1.0, 886.0, None, -4.3, -4.3, 188.0, None, None, 0.0, 394.0, None, 2020-01-04 23:00:00, None
1.0, 886.0, None, -4.6, -4.6, 188.0, None, None, 0.0, 394.0, None, 2020-01-05 00:00:00, None
0.0, 886.0, None, -4.5, -4.5, 188.0, None, None, 0.0, 396.0, None, 2020-01-05 01:00:00, None
1.0, 886.0, None, -4.4, -4.4, 187.0, None, None, 0.0, 396.0, None, 2020-01-05 02:00:00, None
1.0, 886.0, None, -3.1, -3.1, 187.0, None, None, 0.0, 396.0, None, 2020-01-05 03:00:00, None
1.0, 886.0, None, -2.9, -2.9, 187.0, None, None, 0.0, 397.0, None, 2020-01-05 04:00:00, None
0.0, 886.0, None, -3.2, -3.2, 186.0, None, None, 0.0, 397.0, None, 2020-01-05 05:00:00, None
0.0, 886.0, None, -3.4, -3.4, 188.0, None, None, 0.0, 398.0, None, 2020-01-05 06:00:00, None
0.0, 886.0, None, -5.6, -5.6, 195.0, None, None, 0.0, 402.0, None, 2020-01-05 07:00:00, None
1.0, 887.0, None, -6.3, -6.3, 195.0, None, None, 1.0, 404.0, None, 2020-01-05 08:00:00, None
0.0, 886.0, None, -7.1, -7.1, 195.0, None, None, None, 405.0, None, 2020-01-05 09:00:00, None
0.0, 886.0, None, -6.9, -6.9, 194.0, None, None, 0.0, 406.0, None, 2020-01-05 10:00:00, None
0.0, 886.0, None, -6.0, -6.0, 193.0, None, None, 0.0, 406.0, None, 2020-01-05 11:00:00, None
1.0, 886.0, None, -5.5, -5.5, 192.0, None, None, 0.0, 406.0, None, 2020-01-05 12:00:00, None
1.0, 886.0, None, -5.7, -5.7, 191.0, None, None, 0.0, 406.0, None, 2020-01-05 13:00:00, None
1.0, 886.0, None, -5.9, -5.9, 191.0, None, None, 0.0, 406.0, None, 2020-01-05 14:00:00, None
0.0, 886.0, None, -5.8, -5.8, 190.0, None, None, 0.0, 406.0, None, 2020-01-05 15:00:00, None
0.0, 886.0, None, -6.1, -6.1, 189.0, None, None, 0.0, 407.0, None, 2020-01-05 16:00:00, None
0.0, 886.0, None, -6.3, -6.3, 190.0, None, None, 0.0, 407.0, None, 2020-01-05 17:00:00, None
0.0, 886.0, None, -6.5, -6.5, 191.0, None, None, 0.0, 408.0, None, 2020-01-05 18:00:00, None
0.0, 886.0, None, -6.3, -6.3, 189.0, None, None, 0.0, 408.0, None, 2020-01-05 19:00:00, None
0.0, 886.0, None, -6.2, -6.2, 190.0, None, None, 0.0, 410.0, None, 2020-01-05 20:00:00, None
0.0, 886.0, None, -6.0, -6.0, 530.0, None, None, 0.0, 410.0, None, 2020-01-05 21:00:00, None
0.0, 886.0, None, -6.1, -6.1, 191.0, None, None, 0.0, 410.0, None, 2020-01-05 22:00:00, None
0.0, 886.0, None, -6.0, -6.0, 190.0, None, None, 0.0, 411.0, None, 2020-01-05 23:00:00, None
0.0, 886.0, None, -6.1, -6.1, 190.0, None, None, 0.0, 411.0, None, 2020-01-06 00:00:00, None
0.0, 886.0, None, -6.1, -6.1, 188.0, None, None, 0.0, 411.0, None, 2020-01-06 01:00:00, None
0.0, 886.0, None, -5.7, -5.7, 190.0, None, None, 0.0, 411.0, None, 2020-01-06 02:00:00, None
0.0, 886.0, None, -6.4, -6.4, 184.0, None, None, 0.0, 412.0, None, 2020-01-06 03:00:00, None
0.0, 886.0, None, -6.6, -6.6, 188.0, None, None, 0.0, 412.0, None, 2020-01-06 04:00:00, None
0.0, 886.0, None, -6.6, -6.6, 187.0, None, None, 0.0, 413.0, None, 2020-01-06 05:00:00, None
0.0, 886.0, None, -6.7, -6.7, 190.0, None, None, 0.0, 413.0, None, 2020-01-06 06:00:00, None
0.0, 886.0, None, -6.6, -6.6, 192.0, None, None, 0.0, 413.0, None, 2020-01-06 07:00:00, None
None, 886.0, None, -6.8, -6.8, 193.0, None, None, 0.0, 413.0, None, 2020-01-06 08:00:00, None
0.0, 886.0, None, -6.8, -6.8, 192.0, None, None, 0.0, 413.0, None, 2020-01-06 09:00:00, None
0.0, 886.0, None, -5.5, -5.5, 190.0, None, None, 0.0, 413.0, None, 2020-01-06 10:00:00, None
0.0, 886.0, None, -5.2, -5.2, 191.0, None, None, 0.0, 414.0, None, 2020-01-06 11:00:00, None
0.0, 886.0, None, -4.2, -4.2, 189.0, None, None, 0.0, 414.0, None, 2020-01-06 12:00:00, None
0.0, 886.0, None, -4.2, -4.2, 190.0, None, None, 0.0, 414.0, None, 2020-01-06 13:00:00, None
0.0, 886.0, None, -5.1, -5.1, 189.0, None, None, 0.0, 414.0, None, 2020-01-06 14:00:00, None
0.0, 886.0, None, -5.4, -5.4, 190.0, None, None, 0.0, 414.0, None, 2020-01-06 15:00:00, None
0.0, 886.0, None, -6.0, -6.0, 189.0, None, None, 0.0, 414.0, None, 2020-01-06 16:00:00, None
0.0, 886.0, None, -6.7, -6.7, 189.0, None, None, 0.0, 414.0, None, 2020-01-06 17:00:00, None
0.0, 886.0, None, -7.8, -7.8, 188.0, None, None, 0.0, 414.0, None, 2020-01-06 18:00:00, None
1.0, 887.0, None, -7.9, -7.9, 187.0, None, None, 1.0, 414.0, None, 2020-01-06 19:00:00, None
1.0, 887.0, None, -6.8, -6.8, 186.0, None, None, 0.0, 414.0, None, 2020-01-06 20:00:00, None
1.0, 887.0, None, -7.6, -7.6, 186.0, None, None, 0.0, 414.0, None, 2020-01-06 21:00:00, None
1.0, 887.0, None, -9.1, -9.1, 185.0, None, None, 0.0, 414.0, None, 2020-01-06 22:00:00, None
1.0, 887.0, None, -9.5, -9.5, 185.0, None, None, 0.0, 414.0, None, 2020-01-06 23:00:00, None
1.0, 887.0, None, -8.0, -8.0, 184.0, None, None, 0.0, 415.0, None, 2020-01-07 00:00:00, None
1.0, 887.0, None, -8.5, -8.5, 184.0, None, None, 0.0, 415.0, None, 2020-01-07 01:00:00, None
1.0, 887.0, None, -8.6, -8.6, 183.0, None, None, 0.0, 415.0, None, 2020-01-07 02:00:00, None
1.0, 887.0, None, -8.4, -8.4, 182.0, None, None, 0.0, 415.0, None, 2020-01-07 03:00:00, None
1.0, 887.0, None, -8.0, -8.0, 182.0, None, None, 0.0, 416.0, None, 2020-01-07 04:00:00, None
1.0, 887.0, None, -7.2, -7.2, 181.0, None, None, 0.0, 417.0, None, 2020-01-07 05:00:00, None
1.0, 887.0, None, -7.3, -7.3, 184.0, None, None, 0.0, 417.0, None, 2020-01-07 06:00:00, None
0.0, 886.0, None, -6.2, -6.2, 185.0, None, None, None, 418.0, None, 2020-01-07 07:00:00, None
1.0, 887.0, None, -7.2, -7.2, 186.0, None, None, 1.0, 421.0, None, 2020-01-07 08:00:00, None
