station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, air_temperature_yesterday_high, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, total_cloud_cover
None, None, None, None, None, None, None, 2012-11-12 23:00:00, None, 8.7, None, None
None, None, None, None, None, None, None, 2012-11-13 23:00:00, None, 7.2, None, None
None, None, None, None, None, None, None, 2012-11-14 23:00:00, None, 4.2, None, None
None, None, None, None, None, None, None, 2012-11-15 23:00:00, None, 0.9, None, None
None, None, None, None, None, None, None, 2012-11-16 23:00:00, None, 1.4, None, None
None, None, None, None, None, None, None, 2012-11-17 23:00:00, None, 14.6, None, None
None, None, None, None, None, None, None, 2012-11-18 23:00:00, None, 3.8, None, None
None, None, None, None, None, None, None, 2012-11-19 23:00:00, None, 47.8, None, None
None, None, None, None, None, None, None, 2012-11-20 23:00:00, None, 11.5, None, None
None, None, None, None, None, None, None, 2012-11-21 23:00:00, None, 10.9, None, None
None, None, None, None, None, None, None, 2012-11-22 23:00:00, None, 1.0, None, None
None, None, None, None, None, None, None, 2012-11-23 23:00:00, None, 15.6, None, None
None, None, None, None, None, None, None, 2012-11-24 23:00:00, None, 5.8, None, None
None, None, None, None, None, None, None, 2012-11-25 23:00:00, None, 0.9, None, None
None, None, None, None, None, None, None, 2012-11-26 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-11-27 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-11-28 23:00:00, None, 0.4, None, None
None, None, None, None, None, None, None, 2012-11-29 23:00:00, None, 3.4, None, None
None, None, None, None, None, None, None, 2012-11-30 23:00:00, None, 9.9, None, None
None, None, None, None, None, None, None, 2012-12-01 23:00:00, None, 22.4, None, None
None, None, None, None, None, None, None, 2012-12-02 23:00:00, None, 16.2, None, None
None, None, None, None, None, None, None, 2012-12-03 23:00:00, None, 20.5, None, None
None, None, None, None, None, None, None, 2012-12-04 23:00:00, None, 33.8, None, None
None, None, None, None, None, None, None, 2012-12-05 23:00:00, None, 13.8, None, None
None, None, None, None, None, None, None, 2012-12-06 23:00:00, None, 23.9, None, None
None, None, None, None, None, None, None, 2012-12-07 23:00:00, None, 25.3, None, None
None, None, None, None, None, None, None, 2012-12-08 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-12-09 23:00:00, None, 5.2, None, None
None, None, None, None, None, None, None, 2012-12-10 23:00:00, None, 9.1, None, None
None, None, None, None, None, None, None, 2012-12-11 23:00:00, None, 3.5, None, None
