station_observations
wind_speed, dew_point, wind_direction, relative_humidity, air_temperature, time, total_cloud_cover
0.0, -10.3, 0.0, None, -8.5, 2012-02-15 15:00:00, 0.0
0.0, -12.1, 0.0, None, -10.4, 2012-02-15 16:00:00, 0.0
3.6, -9.2, 90.0, None, 0.0, 2012-02-15 19:00:00, 0.0
9.4, -5.1, 90.0, None, 3.0, 2012-02-15 23:00:00, 9.0
9.4, -10.2, 270.0, None, -7.7, 2012-02-16 15:00:00, 6.0
9.4, -9.3, 270.0, None, -6.7, 2012-02-16 16:00:00, 6.0
0.0, -6.2, 0.0, None, -2.3, 2012-02-16 19:00:00, 4.0
0.0, -6.2, 0.0, None, 3.3, 2012-02-16 23:00:00, 4.0
0.0, -11.2, 0.0, None, -9.3, 2012-02-17 15:00:00, 1.0
3.6, -11.8, 90.0, None, -9.4, 2012-02-17 16:00:00, 9.0
0.0, -6.9, 0.0, None, -2.0, 2012-02-17 18:00:00, 9.0
3.6, -3.5, 90.0, None, 3.7, 2012-02-17 23:00:00, 1.0
9.4, -13.3, 180.0, None, -11.1, 2012-02-18 15:00:00, 6.0
0.0, -13.2, 0.0, None, -11.0, 2012-02-18 16:00:00, 6.0
0.0, -6.4, 0.0, None, -4.0, 2012-02-18 19:00:00, 6.0
9.4, -2.3, 270.0, None, -0.6, 2012-02-18 23:00:00, 3.0
9.4, -14.7, 270.0, None, -12.3, 2012-02-19 15:00:00, 6.0
3.6, -14.6, 270.0, None, -11.8, 2012-02-19 16:00:00, 3.0
16.6, -17.4, 225.0, None, -14.6, 2012-02-20 15:00:00, 9.0
9.4, -17.0, 270.0, None, -14.2, 2012-02-20 16:00:00, 9.0
0.0, -8.7, 0.0, None, -6.8, 2012-02-20 19:00:00, 10.0
9.4, -7.2, 0.0, None, -2.0, 2012-02-20 23:00:00, 4.0
0.0, -15.6, 0.0, None, -13.0, 2012-02-21 15:00:00, 3.0
3.6, -15.0, 0.0, None, -12.5, 2012-02-21 16:00:00, 3.0
35.3, -3.4, 180.0, None, 4.0, 2012-02-21 19:00:00, 3.0
25.9, -8.0, 270.0, None, 4.0, 2012-02-21 23:00:00, 9.0
3.6, -14.0, 270.0, None, -11.7, 2012-02-22 15:00:00, 1.0
3.6, -14.9, 270.0, None, -12.0, 2012-02-22 16:00:00, 10.0
0.0, -1.9, 0.0, None, -0.5, 2012-02-22 19:00:00, 9.0
16.6, -3.3, 315.0, None, 2.0, 2012-02-22 23:00:00, 4.0
3.6, -19.1, 0.0, None, -16.0, 2012-02-23 15:00:00, 6.0
0.0, -18.5, 0.0, None, -15.5, 2012-02-23 16:00:00, 6.0
3.6, -13.4, 0.0, None, -10.8, 2012-02-23 19:00:00, 6.0
9.4, -7.8, 90.0, None, -6.3, 2012-02-23 23:00:00, 10.0
0.0, -18.6, 0.0, None, -16.1, 2012-02-24 15:00:00, 6.0
0.0, -19.4, 0.0, None, -16.3, 2012-02-24 16:00:00, 6.0
9.4, -13.8, 90.0, None, -11.5, 2012-02-24 19:00:00, 6.0
9.4, -12.7, 0.0, None, -10.9, 2012-02-24 23:00:00, 6.0
0.0, -19.8, 0.0, None, -17.2, 2012-02-25 15:00:00, 6.0
0.0, -20.2, 0.0, None, -17.5, 2012-02-25 16:00:00, 6.0
9.4, -17.9, 135.0, None, -15.5, 2012-02-25 19:00:00, 1.0
0.0, -15.2, 0.0, None, -12.7, 2012-02-25 22:00:00, 6.0
9.4, -27.8, 270.0, None, -24.1, 2012-02-26 15:00:00, 9.0
9.4, -28.0, 270.0, None, -24.3, 2012-02-26 16:00:00, 9.0
9.4, -14.3, 270.0, None, -11.9, 2012-02-27 15:00:00, 6.0
3.6, -13.3, 270.0, None, -11.5, 2012-02-27 16:00:00, 5.0
0.0, -4.8, 0.0, None, -2.2, 2012-02-27 19:00:00, 10.0
9.4, -4.0, 180.0, None, -0.3, 2012-02-27 23:00:00, 6.0
3.6, -17.5, 270.0, None, -14.7, 2012-02-28 15:00:00, 0.0
3.6, -17.8, 270.0, None, -14.9, 2012-02-28 16:00:00, 0.0
9.4, -11.3, 90.0, None, -8.0, 2012-02-28 19:00:00, 6.0
16.6, -13.4, 315.0, None, -10.0, 2012-02-28 23:00:00, 4.0
0.0, -23.5, 0.0, None, -19.7, 2012-02-29 15:00:00, 6.0
0.0, -23.3, 0.0, None, -19.5, 2012-02-29 16:00:00, 6.0
9.4, -23.0, 270.0, None, -20.0, 2012-02-29 19:00:00, 6.0
9.4, -20.9, 90.0, None, -17.5, 2012-02-29 23:00:00, 6.0
0.0, -28.7, 0.0, None, -23.8, 2012-03-01 15:00:00, 3.0
0.0, -27.8, 0.0, None, -23.1, 2012-03-01 16:00:00, 4.0
0.0, -22.2, 0.0, None, -18.6, 2012-03-01 19:00:00, 3.0
0.0, -20.6, 0.0, None, -17.3, 2012-03-02 15:00:00, 4.0
0.0, -20.3, 0.0, None, -17.0, 2012-03-02 16:00:00, 4.0
9.4, -14.9, 135.0, None, -10.4, 2012-03-02 19:00:00, 10.0
16.6, -7.6, 270.0, None, 0.5, 2012-03-02 23:00:00, 10.0
3.6, -12.8, 270.0, None, -9.9, 2012-03-03 15:00:00, 9.0
0.0, -15.1, 0.0, None, -12.6, 2012-03-03 16:00:00, 3.0
16.6, -4.9, 180.0, None, 0.4, 2012-03-03 19:00:00, 3.0
16.6, -12.6, 180.0, None, 1.0, 2012-03-03 23:00:00, 10.0
0.0, -18.4, 0.0, None, -15.4, 2012-03-04 15:00:00, 10.0
9.4, -17.4, 270.0, None, -14.1, 2012-03-04 16:00:00, 1.0
0.0, -24.0, 0.0, None, -20.1, 2012-03-05 15:00:00, 0.0
0.0, -25.0, 0.0, None, -20.9, 2012-03-05 16:00:00, 9.0
9.4, -17.9, 0.0, None, -15.0, 2012-03-05 19:00:00, 9.0
3.6, -12.2, 90.0, None, -10.1, 2012-03-05 23:00:00, 9.0
3.6, -26.0, 270.0, None, -21.7, 2012-03-06 15:00:00, 4.0
9.4, -23.8, 270.0, None, -19.9, 2012-03-06 16:00:00, 4.0
9.4, -14.7, 0.0, None, -12.3, 2012-03-06 19:00:00, 6.0
