pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None,8.95, None, None, None, None, None, None, None, None, None, None,2018-09-21 18:00:00, None, None,38
None,8.49, None, None, None, None, None, None, None, None, None, None,2018-09-21 19:00:00, None, None,38
None,8.07, None, None, None, None, None, None, None, None, None, None,2018-09-21 20:00:00, None, None,38
None,7.3, None, None, None, None, None, None, None, None, None, None,2018-09-21 21:00:00, None, None,38
None,6.925, None, None, None, None, None, None, None, None, None, None,2018-09-21 22:00:00, None, None,38
None,6.533, None, None, None, None, None, None, None, None, None, None,2018-09-22 00:00:00, None, None,38
None,6.186, None, None, None, None, None, None, None, None, None, None,2018-09-22 01:00:00, None, None,38
None,6.101, None, None, None, None, None, None, None, None, None, None,2018-09-22 02:00:00, None, None,38
None,6.121, None, None, None, None, None, None, None, None, None, None,2018-09-22 03:00:00, None, None,38
None,5.985, None, None, None, None, None, None, None, None, None, None,2018-09-22 04:00:00, None, None,38
None,5.996, None, None, None, None, None, None, None, None, None, None,2018-09-22 05:00:00, None, None,38
None,5.967, None, None, None, None, None, None, None, None, None, None,2018-09-22 06:00:00, None, None,38
None,5.948, None, None, None, None, None, None, None, None, None, None,2018-09-22 07:00:00, None, None,38
None,5.996, None, None, None, None, None, None, None, None, None, None,2018-09-22 08:00:00, None, None,38
None,6.226, None, None, None, None, None, None, None, None, None, None,2018-09-22 09:00:00, None, None,38
None,6.667, None, None, None, None, None, None, None, None, None, None,2018-09-22 10:00:00, None, None,38
None,7.2, None, None, None, None, None, None, None, None, None, None,2018-09-22 11:00:00, None, None,38
None,7.68, None, None, None, None, None, None, None, None, None, None,2018-09-22 12:00:00, None, None,38
None,8.37, None, None, None, None, None, None, None, None, None, None,2018-09-22 13:00:00, None, None,38
None,9.66, None, None, None, None, None, None, None, None, None, None,2018-09-22 15:00:00, None, None,38
None,9.44, None, None, None, None, None, None, None, None, None, None,2018-09-22 18:00:00, None, None,38
None,9.04, None, None, None, None, None, None, None, None, None, None,2018-09-22 19:00:00, None, None,38
None,8.77, None, None, None, None, None, None, None, None, None, None,2018-09-22 20:00:00, None, None,38
None,8.48, None, None, None, None, None, None, None, None, None, None,2018-09-22 21:00:00, None, None,38
None,8.43, None, None, None, None, None, None, None, None, None, None,2018-09-22 22:00:00, None, None,38
None,8.37, None, None, None, None, None, None, None, None, None, None,2018-09-22 23:00:00, None, None,38
None,8.35, None, None, None, None, None, None, None, None, None, None,2018-09-23 00:00:00, None, None,38
None,8.45, None, None, None, None, None, None, None, None, None, None,2018-09-23 01:00:00, None, None,38
None,8.44, None, None, None, None, None, None, None, None, None, None,2018-09-23 02:00:00, None, None,38
None,8.39, None, None, None, None, None, None, None, None, None, None,2018-09-23 03:00:00, None, None,38
None,8.31, None, None, None, None, None, None, None, None, None, None,2018-09-23 06:00:00, None, None,38
None,8.1, None, None, None, None, None, None, None, None, None, None,2018-09-23 07:00:00, None, None,38
None,8.05, None, None, None, None, None, None, None, None, None, None,2018-09-23 08:00:00, None, None,38
None,8.27, None, None, None, None, None, None, None, None, None, None,2018-09-23 09:00:00, None, None,38
None,8.4, None, None, None, None, None, None, None, None, None, None,2018-09-23 10:00:00, None, None,38
None,9.79, None, None, None, None, None, None, None, None, None, None,2018-09-23 11:00:00, None, None,38
None,10.17, None, None, None, None, None, None, None, None, None, None,2018-09-23 12:00:00, None, None,38
None,10.46, None, None, None, None, None, None, None, None, None, None,2018-09-23 13:00:00, None, None,38
None,11.16, None, None, None, None, None, None, None, None, None, None,2018-09-23 14:00:00, None, None,38
None,11.07, None, None, None, None, None, None, None, None, None, None,2018-09-23 15:00:00, None, None,38
None,12.2, None, None, None, None, None, None, None, None, None, None,2018-09-23 16:00:00, None, None,38
None,10.66, None, None, None, None, None, None, None, None, None, None,2018-09-23 17:00:00, None, None,38
None,9.98, None, None, None, None, None, None, None, None, None, None,2018-09-23 18:00:00, None, None,38
None,9.56, None, None, None, None, None, None, None, None, None, None,2018-09-23 19:00:00, None, None,38
None,8.85, None, None, None, None, None, None, None, None, None, None,2018-09-23 20:00:00, None, None,38
None,8.3, None, None, None, None, None, None, None, None, None, None,2018-09-23 21:00:00, None, None,38
None,7.88, None, None, None, None, None, None, None, None, None, None,2018-09-23 22:00:00, None, None,38
None,7.47, None, None, None, None, None, None, None, None, None, None,2018-09-23 23:00:00, None, None,38
