station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2012-06-13 00:00:00, 0.3, 18.7, 7.2
2012-06-14 00:00:00, 0.0, 15.0, 5.6
2012-06-15 00:00:00, 0.8, 20.7, 4.0
2012-06-16 00:00:00, 13.9, 19.9, 11.0
2012-06-17 00:00:00, 12.4, 14.7, 10.0
2012-06-18 00:00:00, 9.3, 17.6, 6.9
2012-06-19 00:00:00, 6.3, 21.2, 10.7
2012-06-20 00:00:00, 0.5, 23.5, 7.2
2012-06-21 00:00:00, 0.8, 25.2, 9.3
2012-06-22 00:00:00, 0.0, 28.5, 8.3
2012-06-23 00:00:00, 4.0, 25.5, 12.8
2012-06-24 00:00:00, 3.0, 22.3, 9.6
2012-06-25 00:00:00, 0.3, 21.8, 9.3
2012-06-26 00:00:00, 0.0, 19.8, 5.8
2012-06-27 00:00:00, 0.0, 19.2, 8.5
2012-06-28 00:00:00, 0.0, 21.1, 8.0
2012-06-29 00:00:00, 1.8, 21.5, 10.4
2012-06-30 00:00:00, 0.6, 21.0, 12.4
2012-07-01 00:00:00, 3.3, 20.4, 9.5
2012-07-02 00:00:00, 13.3, 15.4, 10.3
2012-07-03 00:00:00, 0.0, 17.4, 8.1
2012-07-04 00:00:00, 0.0, 19.2, 8.2
2012-07-05 00:00:00, 0.0, 22.7, 4.2
2012-07-06 00:00:00, 0.0, 26.4, 4.6
2012-07-07 00:00:00, 0.0, 26.3, 6.2
2012-07-08 00:00:00, 0.0, 30.7, 6.9
2012-07-09 00:00:00, 0.0, 32.1, 7.0
2012-07-10 00:00:00, 0.0, 27.0, 8.1
2012-07-11 00:00:00, 0.0, 27.5, 9.8
2012-07-12 00:00:00, 0.0, 28.3, 7.0
2012-07-13 00:00:00, 0.0, 29.6, 7.4
2012-07-14 00:00:00, 4.3, 30.4, 8.0
2012-07-15 00:00:00, 9.6, 26.3, 13.1
2012-07-16 00:00:00, 0.0, 29.5, 12.2
2012-07-17 00:00:00, 0.0, 30.0, 13.0
2012-07-20 00:00:00, 1.5, 30.2, 9.8
2012-07-21 00:00:00, 1.1, 26.8, 15.9
2012-07-22 00:00:00, 0.3, 25.6, 8.2
2012-07-23 00:00:00, 3.3, 21.4, 12.3
2012-07-24 00:00:00, 0.0, 27.0, 11.8
2012-07-25 00:00:00, 3.8, 28.1, 11.7
2012-07-26 00:00:00, 1.8, 27.8, 12.7
2012-07-27 00:00:00, 0.0, 24.8, 13.2
2012-07-28 00:00:00, 0.0, 22.9, 13.1
2012-07-29 00:00:00, 0.6, 25.3, 12.0
2012-07-30 00:00:00, 0.5, 23.1, 12.4
2012-07-31 00:00:00, 0.0, 23.6, 9.0
2012-08-01 00:00:00, 19.5, 17.4, 8.3
2012-08-03 00:00:00, 0.0, None, None
2012-08-04 00:00:00, 0.0, 30.9, 12.1
2012-08-05 00:00:00, 0.0, 31.2, 12.1
2012-08-06 00:00:00, 0.0, 30.5, 10.5
2012-08-07 00:00:00, 0.0, 27.0, 15.0
2012-08-08 00:00:00, 0.3, 30.2, 13.3
2012-08-09 00:00:00, 0.0, 22.4, 10.6
2012-08-10 00:00:00, 0.0, 23.3, 5.9
2012-08-11 00:00:00, 0.0, 25.7, 5.3
2012-08-12 00:00:00, 0.0, 29.2, 9.0
2012-08-13 00:00:00, 2.0, 25.2, 11.0
2012-08-14 00:00:00, 1.6, 22.3, 11.9
2012-08-15 00:00:00, 0.0, 24.7, 4.5
2012-08-16 00:00:00, 0.0, 29.0, 3.9
2012-08-19 00:00:00, 0.0, None, None
2012-08-20 00:00:00, 0.0, 29.7, 10.2
