station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, None, 0.0, 2012-02-12 00:00:00, 86.0, 2.6
0.0, None, -2.8, 2012-02-13 00:00:00, 84.0, 5.4
0.0, None, -3.5, 2012-02-14 00:00:00, 83.0, 4.3
0.0, None, -4.7, 2012-02-15 00:00:00, 83.0, 2.3
5.4, 0.0, -2.2, 2012-02-16 00:00:00, 83.0, 1.1
9.2, 0.0, -3.2, 2012-02-17 00:00:00, 87.0, 1.3
1.6, None, -1.7, 2012-02-18 00:00:00, 100.0, 2.1
0.3, None, -3.2, 2012-02-19 00:00:00, 95.0, -0.3
0.7, 0.0, -5.1, 2012-02-20 00:00:00, 97.0, -0.2
0.3, None, -2.1, 2012-02-21 00:00:00, 97.0, 1.3
0.0, None, -2.0, 2012-02-22 00:00:00, 95.0, 3.4
0.0, None, -3.9, 2012-02-23 00:00:00, 92.0, 0.7
18.3, 0.0, -3.3, 2012-02-24 00:00:00, 96.0, -1.3
1.7, None, -3.8, 2012-02-25 00:00:00, 119.0, 0.8
2.2, 0.0, -11.1, 2012-02-26 00:00:00, 123.0, -2.5
0.0, None, -13.7, 2012-02-27 00:00:00, 118.0, -2.3
0.5, None, -8.8, 2012-02-28 00:00:00, 114.0, -0.4
4.5, 0.0, -4.5, 2012-02-29 00:00:00, 116.0, 0.8
None, None, -6.4, 2012-03-01 00:00:00, 114.0, 1.1
0.0, None, -3.6, 2012-03-02 00:00:00, 111.0, 0.3
0.0, None, -1.6, 2012-03-03 00:00:00, 112.0, 2.7
4.8, None, -0.4, 2012-03-04 00:00:00, 106.0, 3.8
8.5, 0.0, -6.0, 2012-03-05 00:00:00, 110.0, 2.0
0.0, None, -11.0, 2012-03-06 00:00:00, 113.0, -1.1
0.0, None, -8.7, 2012-03-07 00:00:00, 111.0, -1.3
0.0, None, -5.4, 2012-03-08 00:00:00, 110.0, 5.7
6.4, 0.0, -0.1, 2012-03-09 00:00:00, 108.0, 4.3
4.4, None, -1.0, 2012-03-10 00:00:00, 117.0, 2.3
8.4, 0.0, -4.0, 2012-03-11 00:00:00, 127.0, 1.5
28.2, 0.0, -4.2, 2012-03-12 00:00:00, 125.0, -0.7
4.7, None, -6.4, 2012-03-13 00:00:00, 156.0, -0.6
5.3, 0.0, -7.1, 2012-03-14 00:00:00, 149.0, -1.2
17.7, 0.0, -2.3, 2012-03-15 00:00:00, 161.0, 3.9
4.0, None, -4.8, 2012-03-16 00:00:00, 156.0, 1.2
0.3, None, -5.6, 2012-03-17 00:00:00, 150.0, 1.2
2.1, 0.0, -5.9, 2012-03-18 00:00:00, 147.0, -0.4
0.0, None, -8.0, 2012-03-19 00:00:00, 150.0, 0.1
5.1, 0.0, -4.4, 2012-03-20 00:00:00, 156.0, 2.0
0.0, None, -6.3, 2012-03-21 00:00:00, 150.0, 1.2
0.0, None, -8.8, 2012-03-22 00:00:00, 148.0, 0.2
0.0, None, -5.1, 2012-03-23 00:00:00, 147.0, 5.2
0.0, None, -5.6, 2012-03-24 00:00:00, 144.0, 9.0
0.0, None, -2.3, 2012-03-25 00:00:00, 140.0, 11.1
0.0, None, -0.4, 2012-03-26 00:00:00, 135.0, 5.3
0.4, None, -0.9, 2012-03-27 00:00:00, 133.0, 5.1
19.6, 0.0, 0.0, 2012-03-28 00:00:00, 131.0, 2.2
15.9, 0.0, -0.8, 2012-03-29 00:00:00, 148.0, 3.0
4.3, None, -2.7, 2012-03-30 00:00:00, 149.0, 2.9
3.5, 0.0, -4.8, 2012-03-31 00:00:00, 142.0, 0.6
6.3, None, -2.5, 2012-04-01 00:00:00, 146.0, 3.6
2.7, None, -1.5, 2012-04-02 00:00:00, 140.0, 2.0
13.1, 0.0, -1.7, 2012-04-03 00:00:00, 140.0, 2.0
0.0, None, -5.3, 2012-04-04 00:00:00, 146.0, 4.8
0.0, None, -3.4, 2012-04-05 00:00:00, 139.0, 5.6
0.0, None, -4.9, 2012-04-06 00:00:00, 137.0, 5.8
0.0, None, -4.3, 2012-04-07 00:00:00, 134.0, 8.8
0.0, None, -1.7, 2012-04-08 00:00:00, 132.0, 10.8
0.0, None, 1.5, 2012-04-09 00:00:00, 129.0, 13.7
0.0, None, 2.5, 2012-04-10 00:00:00, 125.0, 14.0
0.7, None, 2.1, 2012-04-11 00:00:00, 121.0, 8.5
0.0, None, 1.3, 2012-04-12 00:00:00, 118.0, 9.4
0.0, None, 1.1, 2012-04-13 00:00:00, 113.0, 10.0
0.0, None, 0.6, 2012-04-14 00:00:00, 107.0, 9.6
0.0, None, -0.3, 2012-04-15 00:00:00, 103.0, 9.3
None, None, -0.4, 2012-04-16 00:00:00, 99.0, 5.0
0.0, None, -1.1, 2012-04-17 00:00:00, 98.0, 4.3
1.8, None, -1.2, 2012-04-18 00:00:00, 96.0, 4.9
10.6, 0.0, -0.1, 2012-04-19 00:00:00, 94.0, 5.3
2.6, None, 0.0, 2012-04-20 00:00:00, 100.0, 6.7
0.3, None, -1.7, 2012-04-21 00:00:00, 95.0, 12.0
2.7, None, 2.0, 2012-04-22 00:00:00, 90.0, 10.0
9.2, None, 4.0, 2012-04-23 00:00:00, 85.0, 9.0
1.6, None, 2.7, 2012-04-24 00:00:00, 81.0, 8.9
18.4, None, 2.4, 2012-04-25 00:00:00, 75.0, 6.1
10.4, None, 0.1, 2012-04-26 00:00:00, 71.0, 4.9
0.0, None, -0.6, 2012-04-27 00:00:00, 69.0, 5.8
0.0, None, 0.9, 2012-04-28 00:00:00, 66.0, 7.1
0.0, None, 2.7, 2012-04-29 00:00:00, 63.0, 10.7
1.2, None, 1.7, 2012-04-30 00:00:00, 55.0, 5.4
1.3, None, 0.1, 2012-05-01 00:00:00, 51.0, 4.1
0.0, None, -0.9, 2012-05-02 00:00:00, 48.0, 6.1
0.0, None, -0.1, 2012-05-03 00:00:00, 46.0, 6.1
2.5, None, 0.9, 2012-05-04 00:00:00, 43.0, 6.6
0.3, None, 0.7, 2012-05-05 00:00:00, 40.0, 7.4
0.0, None, -0.3, 2012-05-06 00:00:00, 35.0, 12.4
0.0, None, 2.9, 2012-05-07 00:00:00, None, 16.3
0.0, None, 4.0, 2012-05-08 00:00:00, None, 12.1
0.0, None, -0.1, 2012-05-09 00:00:00, None, 6.6
0.0, None, -2.0, 2012-05-10 00:00:00, None, 7.9
0.0, None, -1.3, 2012-05-11 00:00:00, None, 13.8
0.0, None, 2.5, 2012-05-12 00:00:00, None, 19.3
0.0, None, 6.6, 2012-05-14 00:00:00, None, 23.7
0.0, None, 6.3, 2012-05-15 00:00:00, None, 19.6
0.0, None, 4.4, 2012-05-16 00:00:00, None, 14.6
None, None, None, 2012-05-17 00:00:00, None, 12.7
0.0, None, 0.3, 2012-05-18 00:00:00, None, 11.3
0.0, None, 0.6, 2012-05-19 00:00:00, None, 14.7
7.7, None, 4.4, 2012-05-21 00:00:00, None, 9.4
None, None, 2.8, 2012-05-23 00:00:00, None, 8.3
0.0, None, 3.0, 2012-05-24 00:00:00, None, 12.7
0.0, None, 4.7, 2012-05-25 00:00:00, None, 18.8
0.0, None, 5.7, 2012-05-26 00:00:00, None, 20.5
0.0, None, 6.2, 2012-05-27 00:00:00, None, 14.5
1.6, None, 5.3, 2012-05-28 00:00:00, None, 8.7
3.1, None, 3.7, 2012-05-29 00:00:00, None, 10.2
2.4, None, 3.5, 2012-05-30 00:00:00, None, 8.6
3.5, None, 5.0, 2012-05-31 00:00:00, None, 14.3
6.6, None, 6.5, 2012-06-01 00:00:00, None, 11.5
3.3, None, 4.4, 2012-06-02 00:00:00, None, 10.1
0.0, None, 2.6, 2012-06-03 00:00:00, None, 9.0
0.0, None, 1.6, 2012-06-04 00:00:00, None, 9.5
3.3, None, 5.1, 2012-06-05 00:00:00, None, 8.4
0.0, None, 3.9, 2012-06-06 00:00:00, None, 9.6
1.9, None, 2.2, 2012-06-07 00:00:00, None, 7.5
0.3, None, 2.4, 2012-06-08 00:00:00, None, 11.2
0.0, None, 2.8, 2012-06-09 00:00:00, None, 14.3
0.0, None, 6.0, 2012-06-10 00:00:00, None, 14.7
0.0, None, 5.7, 2012-06-11 00:00:00, None, 16.5
8.1, None, 8.0, 2012-06-12 00:00:00, None, 10.3
0.0, None, 6.7, 2012-06-13 00:00:00, None, 14.1
3.7, None, 4.3, 2012-06-14 00:00:00, None, 9.9
0.0, None, 3.7, 2012-06-15 00:00:00, None, 15.1
1.2, None, 7.9, 2012-06-16 00:00:00, None, 11.5
3.5, None, 7.1, 2012-06-17 00:00:00, None, 10.3
2.8, None, 4.8, 2012-06-18 00:00:00, None, 10.8
0.0, None, 5.6, 2012-06-19 00:00:00, None, 11.9
0.0, None, 4.9, 2012-06-20 00:00:00, None, 19.4
0.0, None, 9.0, 2012-06-21 00:00:00, None, 22.3
2.5, None, 9.5, 2012-06-22 00:00:00, None, 18.1
7.1, None, 7.7, 2012-06-23 00:00:00, None, 17.6
0.0, None, 4.7, 2012-06-24 00:00:00, None, 14.9
0.0, None, 4.6, 2012-06-25 00:00:00, None, 17.9
0.0, None, 5.9, 2012-06-26 00:00:00, None, 16.2
0.0, None, 7.4, 2012-06-27 00:00:00, None, 15.2
0.5, None, 7.0, 2012-06-28 00:00:00, None, 17.9
0.5, None, 8.4, 2012-06-29 00:00:00, None, 15.0
20.7, None, 9.4, 2012-06-30 00:00:00, None, 11.6
0.0, None, 8.3, 2012-07-01 00:00:00, None, 12.5
1.0, None, 7.2, 2012-07-02 00:00:00, None, 9.2
0.6, None, 5.9, 2012-07-03 00:00:00, None, 10.3
0.0, None, 6.6, 2012-07-04 00:00:00, None, 16.2
0.0, None, 5.9, 2012-07-05 00:00:00, None, 19.9
0.0, None, 8.0, 2012-07-06 00:00:00, None, 23.6
0.0, None, 9.8, 2012-07-07 00:00:00, None, 25.5
0.0, None, 12.1, 2012-07-08 00:00:00, None, 29.6
0.0, None, 14.6, 2012-07-09 00:00:00, None, 27.7
0.0, None, 12.1, 2012-07-10 00:00:00, None, 24.6
0.0, None, 11.5, 2012-07-11 00:00:00, None, 25.6
0.0, None, 12.1, 2012-07-12 00:00:00, None, 27.0
0.0, None, 14.0, 2012-07-13 00:00:00, None, 30.9
0.0, None, 15.7, 2012-07-14 00:00:00, None, 30.1
1.8, None, 12.2, 2012-07-15 00:00:00, None, 18.9
0.0, None, 12.9, 2012-07-16 00:00:00, None, 29.3
0.0, None, 14.8, 2012-07-17 00:00:00, None, 27.0
0.0, None, 13.0, 2012-07-18 00:00:00, None, 21.4
0.0, None, 12.0, 2012-07-19 00:00:00, None, 25.2
3.6, None, 10.8, 2012-07-20 00:00:00, None, 16.9
0.0, None, 9.8, 2012-07-21 00:00:00, None, 15.8
4.9, None, 7.8, 2012-07-22 00:00:00, None, 12.9
10.6, None, 7.6, 2012-07-23 00:00:00, None, 9.8
0.0, None, 8.6, 2012-07-24 00:00:00, None, 19.9
5.4, None, 11.7, 2012-07-25 00:00:00, None, 25.3
0.0, None, 11.8, 2012-07-26 00:00:00, None, 25.2
0.0, None, 12.3, 2012-07-27 00:00:00, None, 21.3
0.0, None, 11.1, 2012-07-28 00:00:00, None, 20.0
0.0, None, 10.3, 2012-07-29 00:00:00, None, 21.6
0.0, None, 9.8, 2012-07-30 00:00:00, None, 18.4
0.0, None, 9.9, 2012-07-31 00:00:00, None, 21.0
0.0, None, 9.1, 2012-08-01 00:00:00, None, 19.7
0.0, None, 10.3, 2012-08-02 00:00:00, None, 27.6
0.0, None, 10.3, 2012-08-03 00:00:00, None, 27.7
0.0, None, 15.3, 2012-08-04 00:00:00, None, 31.1
0.0, None, 16.4, 2012-08-05 00:00:00, None, 31.0
4.8, None, 13.5, 2012-08-06 00:00:00, None, 25.9
1.2, None, 11.2, 2012-08-07 00:00:00, None, 27.3
6.8, None, 10.3, 2012-08-08 00:00:00, None, 17.1
0.0, None, 10.3, 2012-08-09 00:00:00, None, 22.2
0.0, None, 10.2, 2012-08-10 00:00:00, None, 23.6
0.0, None, 11.5, 2012-08-11 00:00:00, None, 26.6
0.0, None, 13.2, 2012-08-12 00:00:00, None, 27.9
0.0, None, 13.3, 2012-08-13 00:00:00, None, 25.7
0.0, None, 15.0, 2012-08-14 00:00:00, None, 24.7
0.0, None, 13.3, 2012-08-15 00:00:00, None, 27.7
0.0, None, 13.8, 2012-08-16 00:00:00, None, 29.6
0.0, None, 15.2, 2012-08-17 00:00:00, None, 29.3
0.0, None, 16.0, 2012-08-18 00:00:00, None, 31.7
0.0, None, 12.8, 2012-08-19 00:00:00, None, 22.2
0.0, None, 11.8, 2012-08-20 00:00:00, None, 20.8
0.0, None, 9.3, 2012-08-21 00:00:00, None, 19.3
0.0, None, 9.5, 2012-08-22 00:00:00, None, 17.1
1.1, None, 6.3, 2012-08-23 00:00:00, None, 13.0
0.0, None, 5.1, 2012-08-24 00:00:00, None, 15.7
0.0, None, 6.7, 2012-08-25 00:00:00, None, 23.3
0.0, None, 12.0, 2012-08-26 00:00:00, None, 24.6
1.0, None, 8.5, 2012-08-27 00:00:00, None, 18.2
1.5, None, 7.9, 2012-08-28 00:00:00, None, 13.8
0.6, None, 7.2, 2012-08-29 00:00:00, None, 11.3
0.0, None, 7.6, 2012-08-30 00:00:00, None, 12.1
0.0, None, 6.6, 2012-08-31 00:00:00, None, 15.6
0.0, None, 5.1, 2012-09-01 00:00:00, None, 16.6
0.0, None, 7.4, 2012-09-02 00:00:00, None, 17.7
0.0, None, 6.6, 2012-09-03 00:00:00, None, 20.2
0.0, None, 10.1, 2012-09-05 00:00:00, None, 22.1
0.0, None, 9.6, 2012-09-06 00:00:00, None, 24.8
0.0, None, 12.4, 2012-09-07 00:00:00, None, 28.5
None, None, None, 2012-09-14 00:00:00, None, 23.5
0.0, None, 9.8, 2012-09-15 00:00:00, None, 21.8
0.0, None, 9.9, 2012-09-16 00:00:00, None, 24.0
0.0, None, 11.6, 2012-09-17 00:00:00, None, 27.2
0.0, None, 12.2, 2012-09-18 00:00:00, None, 25.4
0.0, None, 11.9, 2012-09-19 00:00:00, None, 25.3
0.0, None, 14.0, 2012-09-20 00:00:00, None, 27.4
0.0, None, 9.4, 2012-09-21 00:00:00, None, 22.1
0.0, None, 9.1, 2012-09-22 00:00:00, None, 12.7
0.0, None, 8.2, 2012-09-23 00:00:00, None, 21.4
0.0, None, 7.8, 2012-09-24 00:00:00, None, 12.0
0.0, None, 6.0, 2012-09-25 00:00:00, None, 18.0
0.0, None, 6.9, 2012-09-26 00:00:00, None, 19.5
0.0, None, 7.8, 2012-09-27 00:00:00, None, 21.8
2.9, None, 9.9, 2012-09-28 00:00:00, None, 15.8
0.0, None, 6.7, 2012-09-29 00:00:00, None, 14.1
0.0, None, 4.6, 2012-09-30 00:00:00, None, 15.9
0.0, None, 7.4, 2012-10-01 00:00:00, None, 14.5
0.0, None, 2.4, 2012-10-04 00:00:00, None, 14.8
0.0, None, 4.0, 2012-10-05 00:00:00, None, 17.0
0.0, None, 6.5, 2012-10-06 00:00:00, None, 19.6
0.0, None, 8.4, 2012-10-07 00:00:00, None, 21.5
0.0, None, 9.4, 2012-10-08 00:00:00, None, 22.0
0.0, None, 7.8, 2012-10-09 00:00:00, None, 18.1
0.0, None, 5.5, 2012-10-10 00:00:00, None, 16.1
0.0, None, 5.7, 2012-10-11 00:00:00, None, 15.1
0.9, None, 5.5, 2012-10-12 00:00:00, None, 9.5
6.2, None, 6.2, 2012-10-13 00:00:00, None, 9.3
57.0, None, 7.3, 2012-10-14 00:00:00, None, 10.0
9.7, None, 3.8, 2012-10-15 00:00:00, None, 7.9
8.8, None, 1.7, 2012-10-16 00:00:00, None, 9.3
0.0, None, 1.1, 2012-10-17 00:00:00, None, 6.4
38.2, None, 2.9, 2012-10-18 00:00:00, None, 4.9
15.5, None, 0.5, 2012-10-19 00:00:00, None, 9.4
None, None, -1.5, 2012-10-20 00:00:00, 2.0, 1.7
2.6, 0.0, -1.9, 2012-10-21 00:00:00, 5.0, 1.1
0.0, None, -3.0, 2012-10-22 00:00:00, 3.0, 2.4
0.0, None, -1.6, 2012-10-23 00:00:00, None, 1.5
0.0, None, -2.4, 2012-10-24 00:00:00, None, 1.6
0.0, None, -3.4, 2012-10-25 00:00:00, None, 2.6
3.7, None, -0.9, 2012-10-26 00:00:00, 1.0, 1.9
3.3, None, 0.1, 2012-10-27 00:00:00, None, 2.4
0.0, None, 1.0, 2012-10-28 00:00:00, None, 7.1
13.2, None, 0.6, 2012-10-29 00:00:00, None, 7.5
8.9, None, 3.6, 2012-10-30 00:00:00, None, 7.4
21.9, None, 2.4, 2012-10-31 00:00:00, None, 4.3
0.7, None, 2.7, 2012-11-01 00:00:00, None, 6.6
0.0, None, 4.9, 2012-11-02 00:00:00, None, 7.6
17.5, None, 4.2, 2012-11-03 00:00:00, None, 6.7
14.6, None, 4.6, 2012-11-04 00:00:00, None, 9.9
0.0, None, 2.1, 2012-11-05 00:00:00, None, 10.5
1.4, None, 2.0, 2012-11-06 00:00:00, None, 6.0
1.7, None, -1.6, 2012-11-07 00:00:00, None, 4.3
0.0, None, -2.9, 2012-11-08 00:00:00, None, 3.0
0.0, None, -6.0, 2012-11-09 00:00:00, None, -1.2
0.0, None, -8.8, 2012-11-10 00:00:00, None, -2.3
3.0, 0.0, -7.0, 2012-11-11 00:00:00, None, -2.2
0.0, None, -3.5, 2012-11-12 00:00:00, 4.0, 1.1
0.5, None, 0.4, 2012-11-13 00:00:00, 1.0, 3.5
0.0, None, 0.1, 2012-11-14 00:00:00, None, 3.2
0.0, None, -1.0, 2012-11-15 00:00:00, None, 3.8
0.0, None, -1.1, 2012-11-16 00:00:00, None, 3.1
21.2, None, -0.3, 2012-11-17 00:00:00, 1.0, 3.6
12.5, 0.0, -0.7, 2012-11-18 00:00:00, 2.0, 0.7
12.7, 0.0, -0.3, 2012-11-19 00:00:00, 20.0, 1.5
8.2, None, -0.1, 2012-11-20 00:00:00, 18.0, 2.1
6.8, 0.0, -1.5, 2012-11-21 00:00:00, 18.0, 0.1
2.6, 0.0, -3.0, 2012-11-22 00:00:00, 22.0, -0.4
25.9, 0.0, -1.3, 2012-11-23 00:00:00, 43.0, 1.6
2.3, None, -3.1, 2012-11-24 00:00:00, 41.0, 1.2
0.0, None, -5.5, 2012-11-25 00:00:00, 39.0, -0.2
0.0, None, -6.0, 2012-11-26 00:00:00, 37.0, 0.6
0.0, None, -4.5, 2012-11-27 00:00:00, 36.0, -0.4
2.4, None, -1.6, 2012-11-28 00:00:00, 35.0, 1.7
8.9, None, 0.2, 2012-11-29 00:00:00, 32.0, 2.6
10.2, None, 0.1, 2012-11-30 00:00:00, 28.0, 1.8
17.4, 0.0, -0.5, 2012-12-01 00:00:00, 26.0, 1.9
14.8, 0.0, -0.5, 2012-12-02 00:00:00, 44.0, 1.0
11.3, None, -0.5, 2012-12-03 00:00:00, 51.0, 1.7
12.1, None, -0.7, 2012-12-04 00:00:00, 58.0, 3.9
1.5, None, -2.6, 2012-12-05 00:00:00, 50.0, 1.4
0.8, 0.0, -2.4, 2012-12-06 00:00:00, 47.0, -0.4
1.5, 0.0, -6.3, 2012-12-07 00:00:00, 50.0, -0.4
0.0, None, -7.3, 2012-12-08 00:00:00, 50.0, -1.8
0.0, None, -5.9, 2012-12-09 00:00:00, 45.0, -2.6
0.0, None, -4.1, 2012-12-10 00:00:00, 48.0, -0.7
2.9, 0.0, -3.1, 2012-12-11 00:00:00, 46.0, -0.5
1.4, 0.0, -5.1, 2012-12-12 00:00:00, 52.0, 0.6
1.0, None, -5.3, 2012-12-13 00:00:00, 52.0, -1.2
0.9, 0.0, -5.9, 2012-12-14 00:00:00, 56.0, 0.9
5.5, 0.0, -6.1, 2012-12-15 00:00:00, 53.0, -3.0
1.9, 0.0, -4.8, 2012-12-16 00:00:00, 61.0, -1.8
7.1, 0.0, -7.0, 2012-12-17 00:00:00, 64.0, -1.4
0.4, None, -7.5, 2012-12-18 00:00:00, 67.0, -4.5
17.3, 0.0, -5.9, 2012-12-19 00:00:00, 66.0, -2.7
16.2, 0.0, -4.2, 2012-12-20 00:00:00, 90.0, -1.4
1.9, None, -6.9, 2012-12-21 00:00:00, 100.0, -3.0
4.7, 0.0, -7.5, 2012-12-22 00:00:00, 93.0, -3.2
5.8, 0.0, -6.0, 2012-12-23 00:00:00, 104.0, -3.4
0.0, None, -8.1, 2012-12-24 00:00:00, 97.0, -2.1
0.7, None, -8.2, 2012-12-25 00:00:00, 94.0, -4.9
0.6, 0.0, -6.4, 2012-12-26 00:00:00, 93.0, -0.2
0.0, None, -6.8, 2012-12-27 00:00:00, 91.0, -1.2
0.0, None, -4.5, 2012-12-28 00:00:00, 86.0, 0.0
0.0, None, -5.5, 2012-12-29 00:00:00, 86.0, 0.5
0.0, None, -9.1, 2012-12-30 00:00:00, 85.0, -3.5
0.0, None, -7.2, 2012-12-31 00:00:00, 83.0, -2.0
