station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
5.8, 0.337998, 98.8, 98.8, 2018-01-05 22:00:00, 5.753
5.3, 0.456, 98.8, 98.8, 2018-01-05 23:00:00, 5.265
5.1, 0.555, 98.8, 98.8, 2018-01-06 00:00:00, 5.057
5.0, 0.423999, 98.9, 98.9, 2018-01-06 01:00:00, 5.006
4.8, 0.518, 98.9, 98.9, 2018-01-06 02:00:00, 4.791
4.5, 0.441, 98.8, 98.8, 2018-01-06 03:00:00, 4.546
4.2, 0.649999, 98.9, 98.9, 2018-01-06 04:00:00, 4.245
4.2, 0.768, 98.9, 98.9, 2018-01-06 05:00:00, 4.176
3.9, 1.068, 98.9, 98.9, 2018-01-06 06:00:00, 3.938
4.0, 0.518, 98.5, 98.5, 2018-01-06 07:00:00, 4.009
2.8, 0.791, 98.2, 98.2, 2018-01-06 08:00:00, 2.816
2.8, 1.094, 98.4, 98.4, 2018-01-06 09:00:00, 2.764
4.3, 0.91, 96.1, 96.1, 2018-01-06 10:00:00, 4.268
5.7, 0.97, 91.2, 91.2, 2018-01-06 11:00:00, 5.683
7.0, 1.164, 86.2, 86.2, 2018-01-06 12:00:00, 6.989
7.5, 1.202, 82.5, 82.5, 2018-01-06 13:00:00, 7.463
8.1, 1.168, 78.5, 78.51, 2018-01-06 14:00:00, 8.1
7.8, 1.093, 79.3, 79.27, 2018-01-06 15:00:00, 7.825
7.2, 0.799, 81.5, 81.5, 2018-01-06 16:00:00, 7.152
6.5, 0.955999, 82.8, 82.8, 2018-01-06 17:00:00, 6.537
5.9, 1.067, 86.2, 86.2, 2018-01-06 18:00:00, 5.867
5.5, 1.153, 87.8, 87.8, 2018-01-06 19:00:00, 5.505
5.2, 0.822, 89.7, 89.7, 2018-01-06 20:00:00, 5.218
4.6, 0.370999, 92.9, 92.9, 2018-01-06 21:00:00, 4.627
3.8, 0.453999, 95.5, 95.5, 2018-01-06 22:00:00, 3.77
3.3, 0.583998, 96.8, 96.8, 2018-01-06 23:00:00, 3.336
3.3, 0.338999, 96.7, 96.7, 2018-01-07 00:00:00, 3.322
3.4, 0.035, 96.5, 96.5, 2018-01-07 01:00:00, 3.389
3.3, 0.041999, 97.1, 97.1, 2018-01-07 02:00:00, 3.337
3.3, 0.193, 97.6, 97.6, 2018-01-07 03:00:00, 3.307
3.2, 0.252, 97.9, 97.9, 2018-01-07 04:00:00, 3.173
3.1, 0.143998, 98.0, 98.0, 2018-01-07 05:00:00, 3.121
3.1, 0.14, 98.1, 98.1, 2018-01-07 06:00:00, 3.087
3.1, 0.300998, 98.2, 98.2, 2018-01-07 07:00:00, 3.139
3.2, 0.192, 98.3, 98.3, 2018-01-07 08:00:00, 3.169
3.2, 0.246998, 98.4, 98.4, 2018-01-07 09:00:00, 3.194
3.5, 0.433999, 98.5, 98.5, 2018-01-07 10:00:00, 3.502
3.8, 0.448, 98.5, 98.5, 2018-01-07 11:00:00, 3.778
4.2, 0.37, 98.3, 98.3, 2018-01-07 12:00:00, 4.2
4.6, 0.222, 97.8, 97.8, 2018-01-07 13:00:00, 4.587
4.7, 0.386999, 97.5, 97.5, 2018-01-07 14:00:00, 4.743
5.0, 0.523, 97.7, 97.7, 2018-01-07 15:00:00, 4.997
5.0, 0.308999, 98.0, 98.0, 2018-01-07 16:00:00, 4.988
4.9, 0.365999, 98.2, 98.2, 2018-01-07 17:00:00, 4.903
4.9, 0.287, 98.4, 98.4, 2018-01-07 18:00:00, 4.863
5.4, 0.314, 98.6, 98.6, 2018-01-07 19:00:00, 5.417
5.7, 0.437, 98.7, 98.7, 2018-01-07 20:00:00, 5.684
5.2, 0.6, 98.6, 98.6, 2018-01-07 21:00:00, 5.157
4.6, 0.537998, 98.6, 98.6, 2018-01-07 22:00:00, 4.623
4.5, 0.763998, 98.7, 98.7, 2018-01-07 23:00:00, 4.542
4.6, 0.592998, 98.7, 98.7, 2018-01-08 00:00:00, 4.622
