station_observations
time, tasmin, tasmax, pcp
2015-06-06 00:00:00, 5.1, 19.3, 0.0
2015-06-07 00:00:00, 7.8, 15.1, 1.6
2015-06-08 00:00:00, 6.9, 17.1, 0.1
2015-06-09 00:00:00, 0.6, 19.4, 0.0
2015-06-10 00:00:00, 2.8, 16.1, 0.3
2015-06-11 00:00:00, 3.7, 9.2, 8.7
2015-06-12 00:00:00, 3.4, 12.0, 0.0
2015-06-13 00:00:00, 2.5, 16.5, 0.0
2015-06-14 00:00:00, 3.9, 16.6, 0.7
2015-06-15 00:00:00, 5.3, 21.8, 0.0
2015-06-16 00:00:00, 4.7, 17.3, 0.0
2015-06-17 00:00:00, 2.2, 16.2, 0.0
2015-06-18 00:00:00, 5.4, 13.0, 2.3
2015-06-19 00:00:00, 5.8, 14.3, 0.0
2015-06-20 00:00:00, 6.2, 14.0, 0.1
2015-06-21 00:00:00, 1.9, 21.5, 0.0
2015-06-22 00:00:00, 5.1, 22.3, 0.0
2015-06-23 00:00:00, 5.3, 21.2, 0.0
2015-06-24 00:00:00, 8.5, 18.3, 0.1
2015-06-25 00:00:00, 9.9, 18.1, 5.3
2015-06-26 00:00:00, 9.8, 20.4, 0.0
2015-06-27 00:00:00, 5.0, 22.6, 0.0
2015-06-28 00:00:00, 7.2, 27.8, 0.0
2015-06-29 00:00:00, 8.8, 24.4, 0.1
2015-06-30 00:00:00, 12.8, 20.9, 0.0
2015-07-01 00:00:00, 5.6, 25.1, 0.1
2015-07-02 00:00:00, 8.3, 23.2, 0.1
2015-07-03 00:00:00, 5.9, 23.2, 0.0
2015-07-04 00:00:00, 5.0, 24.8, 0.0
2015-07-05 00:00:00, 8.7, 26.0, 0.0
2015-07-06 00:00:00, 7.0, 30.3, 0.1
2015-07-07 00:00:00, 9.7, 29.1, 0.0
2015-07-08 00:00:00, 14.4, 28.3, 0.0
2015-07-09 00:00:00, 10.1, 26.5, 0.0
2015-07-10 00:00:00, 8.5, 24.4, 0.0
2015-07-11 00:00:00, 11.8, 17.3, 0.2
2015-07-12 00:00:00, 11.0, 18.4, 2.7
2015-07-13 00:00:00, 9.7, 15.1, 4.5
2015-07-14 00:00:00, 8.7, 14.5, 0.3
2015-07-15 00:00:00, 6.5, 14.1, 10.5
2015-07-16 00:00:00, 7.3, 14.5, 0.1
2015-07-17 00:00:00, 9.8, 23.0, 0.0
2015-07-18 00:00:00, 10.0, 24.4, 0.0
2015-07-19 00:00:00, 9.1, 26.4, 0.0
2015-07-20 00:00:00, 9.3, 19.2, 19.9
2015-07-21 00:00:00, 8.5, 10.9, 4.0
2015-07-22 00:00:00, 9.2, 15.7, 1.0
2015-07-23 00:00:00, 7.9, 14.1, 0.4
2015-07-24 00:00:00, 7.7, 10.0, 6.3
2015-07-25 00:00:00, 6.7, 10.9, 6.1
2015-07-26 00:00:00, 7.0, 11.6, 0.1
2015-07-27 00:00:00, 8.5, 13.3, 2.6
2015-07-28 00:00:00, 8.7, 13.9, 11.2
2015-07-29 00:00:00, 8.1, 15.0, 0.7
2015-07-30 00:00:00, 6.5, 19.4, 0.1
2015-07-31 00:00:00, 10.2, 16.5, 0.4
2015-08-01 00:00:00, 6.4, 20.3, 0.0
2015-08-02 00:00:00, 10.0, 17.7, 0.8
2015-08-03 00:00:00, 8.5, 13.5, 20.8
2015-08-04 00:00:00, 8.2, 11.4, 7.4
2015-08-05 00:00:00, 4.4, 19.4, 0.0
2015-08-06 00:00:00, 9.1, 17.7, 0.3
2015-08-07 00:00:00, 9.4, 18.3, 3.2
2015-08-08 00:00:00, 5.9, 14.7, 4.9
2015-08-09 00:00:00, 5.6, 17.5, 0.8
2015-08-10 00:00:00, 5.1, 21.1, 0.0
2015-08-11 00:00:00, 8.8, 18.3, 0.0
2015-08-12 00:00:00, 10.4, 16.0, 0.4
2015-08-13 00:00:00, 7.3, 21.1, 0.0
2015-08-14 00:00:00, 5.4, 22.2, 0.1
2015-08-15 00:00:00, 7.6, 21.8, 0.0
2015-08-16 00:00:00, 5.9, 14.9, 0.0
2015-08-17 00:00:00, 6.4, 21.0, 0.0
2015-08-18 00:00:00, 7.2, 24.5, 0.1
2015-08-19 00:00:00, 7.5, 20.2, 0.0
2015-08-20 00:00:00, 6.1, 16.0, 0.7
2015-08-21 00:00:00, 4.2, 18.5, 0.0
2015-08-22 00:00:00, 5.3, 12.1, 6.0
2015-08-23 00:00:00, 5.2, 13.8, 1.5
2015-08-24 00:00:00, 3.0, 13.3, 0.8
2015-08-25 00:00:00, 4.3, 14.4, 4.9
2015-08-26 00:00:00, 6.1, 18.5, 0.4
2015-08-27 00:00:00, 6.5, 17.5, 0.6
2015-08-28 00:00:00, 6.5, 12.8, 13.5
2015-08-29 00:00:00, 5.1, 10.3, 10.5
2015-08-30 00:00:00, 2.4, 7.1, 44.4
2015-08-31 00:00:00, 2.5, 9.1, 8.3
2015-09-01 00:00:00, 1.0, 5.2, 22.6
2015-09-02 00:00:00, 0.3, 11.5, 1.6
2015-09-03 00:00:00, 1.3, 10.9, 0.0
2015-09-04 00:00:00, 1.8, 13.8, 0.2
2015-09-05 00:00:00, 2.0, 9.4, 3.1
2015-09-06 00:00:00, 4.0, 9.6, 0.9
2015-09-07 00:00:00, 5.3, 10.5, 11.9
2015-09-08 00:00:00, 5.0, 10.1, 20.1
2015-09-09 00:00:00, 5.3, 12.2, 9.3
2015-09-10 00:00:00, 5.9, 17.0, 0.0
2015-09-11 00:00:00, 6.4, 18.2, 0.1
2015-09-12 00:00:00, 7.1, 13.9, 8.5
2015-09-13 00:00:00, 3.0, 8.6, 1.9
2015-09-14 00:00:00, 1.4, 9.1, 0.3
2015-09-15 00:00:00, -0.7, 10.9, 0.0
2015-09-16 00:00:00, 1.5, 9.4, 0.1
2015-09-17 00:00:00, 3.7, 11.2, 5.1
2015-09-18 00:00:00, 6.4, 10.6, 8.3
2015-09-19 00:00:00, 5.6, 14.0, 0.0
2015-09-20 00:00:00, 2.9, 8.7, 0.3
2015-09-21 00:00:00, 1.5, 7.8, 4.3
2015-09-22 00:00:00, -0.9, 8.7, 33.6
2015-09-23 00:00:00, 1.5, 8.1, 12.8
2015-09-24 00:00:00, -0.1, 9.1, 22.5
2015-09-25 00:00:00, 1.9, 8.8, 8.0
2015-09-26 00:00:00, 1.6, 7.3, 0.6
2015-09-27 00:00:00, 4.3, 9.8, 0.7
2015-09-28 00:00:00, 3.1, 13.6, 0.4
2015-09-29 00:00:00, 5.1, 14.4, 0.5
2015-09-30 00:00:00, 7.3, 15.2, 1.2
2015-10-01 00:00:00, 5.4, 14.6, 1.9
2015-10-02 00:00:00, 1.0, 10.1, 2.1
2015-10-03 00:00:00, -2.5, 9.3, 0.0
2015-10-04 00:00:00, -2.5, 11.1, 0.0
2015-10-05 00:00:00, -1.7, 11.1, 0.0
2015-10-06 00:00:00, 1.8, 9.6, 0.2
2015-10-07 00:00:00, 5.1, 11.6, 0.8
2015-10-08 00:00:00, 5.2, 10.4, 18.2
2015-10-09 00:00:00, 3.9, 15.0, 50.2
2015-10-10 00:00:00, 3.6, 9.3, 49.2
2015-10-11 00:00:00, 3.5, 7.5, 24.0
2015-10-12 00:00:00, 3.5, 9.3, 11.6
2015-10-13 00:00:00, 3.1, 8.5, 4.5
2015-10-14 00:00:00, 0.6, 9.1, 3.5
2015-10-15 00:00:00, -1.3, 7.7, 0.0
2015-10-16 00:00:00, 0.6, 12.5, 3.0
2015-10-17 00:00:00, 4.1, 10.7, 11.4
2015-10-18 00:00:00, 1.1, 8.4, 2.3
2015-10-19 00:00:00, 3.7, 8.8, 2.9
2015-10-20 00:00:00, 2.0, 6.1, 3.3
2015-10-21 00:00:00, 0.6, 8.8, 22.0
2015-10-22 00:00:00, 2.2, 6.8, 2.1
2015-10-23 00:00:00, 0.2, 4.1, 8.3
2015-10-24 00:00:00, -1.7, 1.5, 0.0
2015-10-25 00:00:00, -0.3, 1.2, 0.0
2015-10-26 00:00:00, -1.0, 3.6, 0.1
2015-10-27 00:00:00, -3.1, -0.6, 0.0
2015-10-28 00:00:00, -2.1, 2.8, 7.3
2015-10-29 00:00:00, 0.4, 7.1, 23.2
2015-10-30 00:00:00, 1.9, 6.4, 5.8
2015-10-31 00:00:00, -0.4, 3.3, 20.5
2015-11-01 00:00:00, 0.0, 2.1, 0.6
2015-11-02 00:00:00, 0.8, 3.5, 1.2
2015-11-03 00:00:00, 0.2, 4.8, 0.4
2015-11-04 00:00:00, 1.9, 5.3, 4.5
2015-11-05 00:00:00, -0.5, 3.8, 0.6
2015-11-06 00:00:00, -0.5, 8.7, 14.1
2015-11-07 00:00:00, 0.6, 5.3, 3.1
2015-11-08 00:00:00, -1.9, 4.5, 0.2
2015-11-09 00:00:00, -2.7, -1.3, 0.0
2015-11-10 00:00:00, -1.0, 6.1, 22.9
2015-11-11 00:00:00, -0.1, 2.8, 6.9
2015-11-12 00:00:00, 0.2, 5.1, 22.6
2015-11-13 00:00:00, -0.2, 2.7, 41.5
2015-11-14 00:00:00, -3.3, 2.2, 9.8
2015-11-15 00:00:00, -5.6, 0.5, 0.5
2015-11-16 00:00:00, -6.0, 3.0, 54.8
2015-11-17 00:00:00, -2.1, 0.6, 3.9
2015-11-18 00:00:00, -4.0, -0.2, 3.5
2015-11-19 00:00:00, -3.5, 0.0, 1.6
2015-11-20 00:00:00, -3.8, 0.5, 0.2
2015-11-21 00:00:00, 0.5, 4.5, 7.2
2015-11-22 00:00:00, -3.1, 3.0, 0.1
2015-11-23 00:00:00, -4.8, -2.3, 0.0
2015-11-24 00:00:00, -9.4, -3.0, 0.0
2015-11-25 00:00:00, -9.1, -2.7, 0.0
2015-11-26 00:00:00, -10.4, -3.3, 0.0
2015-11-27 00:00:00, -11.5, -5.5, 0.0
2015-11-28 00:00:00, -12.7, -6.7, 0.0
2015-11-29 00:00:00, -13.2, -7.8, 0.0
2015-11-30 00:00:00, -15.3, -8.4, 0.0
2015-12-01 00:00:00, -10.3, -3.5, 31.3
2015-12-02 00:00:00, -1.3, 3.1, 18.8
2015-12-03 00:00:00, 0.0, 1.0, 11.1
2015-12-04 00:00:00, -3.7, 2.4, 2.7
2015-12-05 00:00:00, -4.5, 2.4, 3.3
2015-12-06 00:00:00, -3.7, 4.2, 3.0
2015-12-07 00:00:00, 0.5, 4.4, 4.6
2015-12-08 00:00:00, -2.9, 3.2, 22.4
2015-12-09 00:00:00, -3.2, 0.8, 4.6
2015-12-10 00:00:00, -7.3, -1.8, 0.2
2015-12-11 00:00:00, -2.6, -1.2, 15.3
2015-12-12 00:00:00, -4.6, -1.4, 0.3
2015-12-13 00:00:00, -2.5, -1.2, 2.1
2015-12-14 00:00:00, -4.2, -0.6, 2.6
2015-12-15 00:00:00, -2.1, 0.6, 5.2
2015-12-16 00:00:00, -10.1, -3.8, 0.0
2015-12-17 00:00:00, -10.1, -7.1, 8.3
2015-12-18 00:00:00, -6.1, -5.2, 1.6
2015-12-19 00:00:00, -10.1, -7.5, 29.0
2015-12-20 00:00:00, -7.3, 0.2, 21.2
2015-12-21 00:00:00, -6.7, -3.3, 13.7
2015-12-22 00:00:00, -6.7, -4.9, 0.3
2015-12-23 00:00:00, -5.9, -5.3, 0.0
2015-12-24 00:00:00, -7.0, -5.9, 0.0
2015-12-25 00:00:00, -9.5, -7.0, 0.0
2015-12-26 00:00:00, -9.3, -5.2, 51.2
2015-12-27 00:00:00, -4.7, -2.9, 8.2
2015-12-28 00:00:00, -5.5, -4.1, 0.0
2015-12-29 00:00:00, -8.3, -7.4, 0.0
2015-12-30 00:00:00, -10.6, -9.1, 0.0
2015-12-31 00:00:00, -12.4, -10.1, 0.0
