station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
60.13, None, None, None, 2.37, None, None, None, -13.0, None, None, None, None, None, None, 44.15, None, -7.79, None, None, None, None, None, None, None, None, None, 2016-01-04 22:00:00, None
58.15, None, None, None, 2.057, None, None, None, -14.0, None, None, None, None, None, None, 43.95, None, -8.35, None, None, None, None, None, None, None, None, None, 2016-01-04 23:00:00, None
64.18, None, None, None, 1.291, None, None, None, -14.0, None, None, None, None, None, None, 43.99, None, -8.91, None, None, None, None, None, None, None, None, None, 2016-01-05 00:00:00, None
60.87, None, None, None, 2.438, None, None, None, -14.0, None, None, None, None, None, None, 43.93, None, -8.53, None, None, None, None, None, None, None, None, None, 2016-01-05 01:00:00, None
64.64, None, None, None, 1.613, None, None, None, -14.0, None, None, None, None, None, None, 44.08, None, -9.0, None, None, None, None, None, None, None, None, None, 2016-01-05 02:00:00, None
61.73, None, None, None, 0.922, None, None, None, -14.0, None, None, None, None, None, None, 44.14, None, -8.72, None, None, None, None, None, None, None, None, None, 2016-01-05 03:00:00, None
62.92, None, None, None, 1.666, None, None, None, -14.0, None, None, None, None, None, None, 43.98, None, -8.96, None, None, None, None, None, None, None, None, None, 2016-01-05 04:00:00, None
61.67, None, None, None, 0.936, None, None, None, -14.0, None, None, None, None, None, None, 43.76, None, -8.96, None, None, None, None, None, None, None, None, None, 2016-01-05 05:00:00, None
61.47, None, None, None, 3.362, None, None, None, -14.0, None, None, None, None, None, None, 44.04, None, -9.0, None, None, None, None, None, None, None, None, None, 2016-01-05 06:00:00, None
59.29, None, None, None, 1.09, None, None, None, -14.0, None, None, None, None, None, None, 43.99, None, -8.67, None, None, None, None, None, None, None, None, None, 2016-01-05 07:00:00, None
