RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,38.32,128.5, None, None, None, None, None, None, None, None, None, None, None, 11.44, None, None, None, None,4.642, None, None, None, None,2017-06-08 11:00:00, None,23
None, None, None, None,34.91,123.5, None, None, None, None, None, None, None, None, None, None, None, 12.1, None, None, None, None,5.995, None, None, None, None,2017-06-08 12:00:00, None,23
None, None, None, None,39.02,118.3, None, None, None, None, None, None, None, None, None, None, None, 12.92, None, None, None, None,5.832, None, None, None, None,2017-06-08 13:00:00, None,23
None, None, None, None,40.1,117.6, None, None, None, None, None, None, None, None, None, None, None, 13.71, None, None, None, None,6.152, None, None, None, None,2017-06-08 14:00:00, None,23
None, None, None, None,25.89,106.9, None, None, None, None, None, None, None, None, None, None, None, 14.12, None, None, None, None,13.0, None, None, None, None,2017-06-08 15:00:00, None,23
None, None, None, None,21.38,98.2, None, None, None, None, None, None, None, None, None, None, None, 11.71, None, None, None, None,18.13, None, None, None, None,2017-06-08 16:00:00, None,23
None, None, None, None,34.05,168.9, None, None, None, None, None, None, None, None, None, None, None, 8.67, None, None, None, None,12.01, None, None, None, None,2017-06-08 17:00:00, None,23
None, None, None, None,32.51,162.0, None, None, None, None, None, None, None, None, None, None, None, 6.87, None, None, None, None,15.62, None, None, None, None,2017-06-08 18:00:00, None,23
None, None, None, None,29.03,140.8, None, None, None, None, None, None, None, None, None, None, None, 6.633, None, None, None, None,10.02, None, None, None, None,2017-06-08 19:00:00, None,23
None, None, None, None,30.29,129.6, None, None, None, None, None, None, None, None, None, None, None, 6.52, None, None, None, None,9.82, None, None, None, None,2017-06-08 20:00:00, None,23
None, None, None, None,25.58,114.4, None, None, None, None, None, None, None, None, None, None, None, 5.914, None, None, None, None,12.66, None, None, None, None,2017-06-08 21:00:00, None,23
None, None, None, None,6.004,149.0, None, None, None, None, None, None, None, None, None, None, None, 3.408, None, None, None, None,55.52, None, None, None, None,2017-06-08 22:00:00, None,23
None, None, None, None,13.31,252.4, None, None, None, None, None, None, None, None, None, None, None, 2.789, None, None, None, None,22.07, None, None, None, None,2017-06-08 23:00:00, None,23
None, None, None, None,23.74,247.5, None, None, None, None, None, None, None, None, None, None, None, 2.069, None, None, None, None,16.58, None, None, None, None,2017-06-09 00:00:00, None,23
None, None, None, None,40.18,237.4, None, None, None, None, None, None, None, None, None, None, None, 1.228, None, None, None, None,9.67, None, None, None, None,2017-06-09 01:00:00, None,23
None, None, None, None,31.39,256.2, None, None, None, None, None, None, None, None, None, None, None, 0.695, None, None, None, None,12.61, None, None, None, None,2017-06-09 02:00:00, None,23
None, None, None, None,19.72,282.3, None, None, None, None, None, None, None, None, None, None, None, 0.425, None, None, None, None,24.69, None, None, None, None,2017-06-09 03:00:00, None,23
None, None, None, None,23.31,267.8, None, None, None, None, None, None, None, None, None, None, None, -0.388, None, None, None, None,21.85, None, None, None, None,2017-06-09 04:00:00, None,23
None, None, None, None,19.71,277.9, None, None, None, None, None, None, None, None, None, None, None, -2.006, None, None, None, None,26.06, None, None, None, None,2017-06-09 05:00:00, None,23
None, None, None, None,24.34,266.6, None, None, None, None, None, None, None, None, None, None, None, -2.785, None, None, None, None,13.21, None, None, None, None,2017-06-09 06:00:00, None,23
None, None, None, None,21.72,274.1, None, None, None, None, None, None, None, None, None, None, None, -2.945, None, None, None, None,14.99, None, None, None, None,2017-06-09 07:00:00, None,23
None, None, None, None,21.3,282.7, None, None, None, None, None, None, None, None, None, None, None, -2.975, None, None, None, None,19.0, None, None, None, None,2017-06-09 08:00:00, None,23
None, None, None, None,21.75,293.6, None, None, None, None, None, None, None, None, None, None, None, -2.814, None, None, None, None,18.09, None, None, None, None,2017-06-09 09:00:00, None,23
None, None, None, None,22.72,288.0, None, None, None, None, None, None, None, None, None, None, None, -3.17, None, None, None, None,17.94, None, None, None, None,2017-06-09 10:00:00, None,23
None, None, None, None,23.6,265.3, None, None, None, None, None, None, None, None, None, None, None, -2.898, None, None, None, None,13.51, None, None, None, None,2017-06-09 11:00:00, None,23
None, None, None, None,18.15,272.4, None, None, None, None, None, None, None, None, None, None, None, -2.945, None, None, None, None,17.53, None, None, None, None,2017-06-09 12:00:00, None,23
None, None, None, None,20.05,267.5, None, None, None, None, None, None, None, None, None, None, None, -2.71, None, None, None, None,12.67, None, None, None, None,2017-06-09 13:00:00, None,23
None, None, None, None,14.74,294.5, None, None, None, None, None, None, None, None, None, None, None, -1.435, None, None, None, None,14.07, None, None, None, None,2017-06-09 14:00:00, None,23
None, None, None, None,11.35,284.5, None, None, None, None, None, None, None, None, None, None, None, -1.548, None, None, None, None,17.67, None, None, None, None,2017-06-09 15:00:00, None,23
None, None, None, None,13.82,264.0, None, None, None, None, None, None, None, None, None, None, None, -1.763, None, None, None, None,13.14, None, None, None, None,2017-06-09 16:00:00, None,23
None, None, None, None,8.57,288.2, None, None, None, None, None, None, None, None, None, None, None, -0.799, None, None, None, None,18.45, None, None, None, None,2017-06-09 17:00:00, None,23
None, None, None, None,9.03,291.2, None, None, None, None, None, None, None, None, None, None, None, -1.118, None, None, None, None,11.91, None, None, None, None,2017-06-09 18:00:00, None,23
None, None, None, None,8.05,289.1, None, None, None, None, None, None, None, None, None, None, None, -1.005, None, None, None, None,12.38, None, None, None, None,2017-06-09 19:00:00, None,23
None, None, None, None,7.9,283.3, None, None, None, None, None, None, None, None, None, None, None, -1.341, None, None, None, None,12.96, None, None, None, None,2017-06-09 20:00:00, None,23
None, None, None, None,8.57,290.3, None, None, None, None, None, None, None, None, None, None, None, -1.276, None, None, None, None,13.04, None, None, None, None,2017-06-09 21:00:00, None,23
None, None, None, None,7.26,291.0, None, None, None, None, None, None, None, None, None, None, None, -1.706, None, None, None, None,16.65, None, None, None, None,2017-06-09 22:00:00, None,23
