AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
15.5, None, None, -17.0,2021-07-10 11:35:00, 0.0, None,28
15.5, None, None, -17.0,2021-07-10 11:50:00, 0.0, None,28
16.1, None, None, -16.0,2021-07-10 12:05:00, 0.0, None,28
13.3, None, None, -16.0,2021-07-10 12:20:00, 0.0, None,28
13.6, None, None, -17.0,2021-07-10 12:35:00, 0.0, None,28
15.2, None, None, -17.0,2021-07-10 12:50:00, 0.0, None,28
14.3, None, None, -17.0,2021-07-10 13:05:00, 0.0, None,28
15.3, None, None, -17.0,2021-07-10 13:20:00, 0.0, None,28
14.9, None, None, -17.0,2021-07-10 13:35:00, 0.0, None,28
13.8, None, None, -17.0,2021-07-10 13:50:00, 0.0, None,28
9.7, None, None, -17.0,2021-07-10 14:05:00, 0.0, None,28
8.4, None, None, -17.0,2021-07-10 14:20:00, 0.0, None,28
7.8, None, None, -17.0,2021-07-10 14:35:00, 0.0, None,28
8.4, None, None, -17.0,2021-07-10 14:50:00, 0.0, None,28
8.3, None, None, -18.0,2021-07-10 15:05:00, 0.0, None,28
8.7, None, None, -18.0,2021-07-10 15:20:00, 0.0, None,28
9.4, None, None, -18.0,2021-07-10 15:35:00, 0.0, None,28
11.2, None, None, -18.0,2021-07-10 15:50:00, 0.0, None,28
11.2, None, None, -18.0,2021-07-10 16:05:00, 0.0, None,28
12.4, None, None, -18.0,2021-07-10 16:20:00, 0.0, None,28
11.1, None, None, -17.0,2021-07-10 16:35:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-10 16:50:00, 0.0, None,28
10.7, None, None, -17.0,2021-07-10 17:05:00, 0.0, None,28
8.8, None, None, -16.0,2021-07-10 17:20:00, 0.0, None,28
8.2, None, None, -17.0,2021-07-10 17:35:00, 0.0, None,28
9.6, None, None, -17.0,2021-07-10 17:50:00, 0.0, None,28
9.2, None, None, -17.0,2021-07-10 18:05:00, 0.0, None,28
10.0, None, None, -17.0,2021-07-10 18:20:00, 0.0, None,28
9.8, None, None, -17.0,2021-07-10 18:35:00, 0.0, None,28
10.1, None, None, -17.0,2021-07-10 18:50:00, 0.0, None,28
9.0, None, None, -17.0,2021-07-10 19:05:00, 0.0, None,28
8.8, None, None, -18.0,2021-07-10 19:20:00, 0.0, None,28
8.1, None, None, -17.0,2021-07-10 19:35:00, 0.0, None,28
8.1, None, None, -17.0,2021-07-10 19:50:00, 0.0, None,28
8.1, None, None, -17.0,2021-07-10 20:05:00, 0.0, None,28
7.9, None, None, -17.0,2021-07-10 20:20:00, 0.0, None,28
7.6, None, None, -18.0,2021-07-10 20:35:00, 0.0, None,28
7.5, None, None, -17.0,2021-07-10 20:50:00, 0.0, None,28
5.7, None, None, -17.0,2021-07-10 21:05:00, 0.0, None,28
5.5, None, None, -18.0,2021-07-10 21:20:00, 0.0, None,28
5.9, None, None, -17.0,2021-07-10 21:35:00, 0.0, None,28
5.7, None, None, -18.0,2021-07-10 21:50:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-10 22:05:00, 0.0, None,28
5.3, None, None, -18.0,2021-07-10 22:20:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-10 22:35:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-10 22:50:00, 0.0, None,28
5.8, None, None, -18.0,2021-07-10 23:05:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-10 23:20:00, 0.0, None,28
5.8, None, None, -18.0,2021-07-10 23:35:00, 0.0, None,28
5.9, None, None, -18.0,2021-07-10 23:50:00, 0.0, None,28
None, 0.1, 5.0, None,2021-07-11 00:00:00, None, 15.6,28
5.6, None, None, -18.0,2021-07-11 00:05:00, 0.0, None,28
5.9, None, None, -18.0,2021-07-11 00:20:00, 0.0, None,28
5.9, None, None, -18.0,2021-07-11 00:35:00, 0.0, None,28
5.8, None, None, -18.0,2021-07-11 00:50:00, 0.0, None,28
5.6, None, None, -18.0,2021-07-11 01:05:00, 0.0, None,28
5.5, None, None, -18.0,2021-07-11 01:20:00, 0.0, None,28
5.7, None, None, -18.0,2021-07-11 01:35:00, 0.0, None,28
5.5, None, None, -18.0,2021-07-11 01:50:00, 0.0, None,28
5.7, None, None, -18.0,2021-07-11 02:05:00, 0.0, None,28
5.7, None, None, -18.0,2021-07-11 02:20:00, 0.0, None,28
5.5, None, None, -18.0,2021-07-11 02:35:00, 0.0, None,28
5.6, None, None, -18.0,2021-07-11 02:50:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-11 03:05:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-11 03:20:00, 0.0, None,28
5.2, None, None, -18.0,2021-07-11 03:35:00, 0.0, None,28
5.1, None, None, -18.0,2021-07-11 03:50:00, 0.0, None,28
None, None, None, -18.0,2021-07-11 03:57:00, None, None,28
5.0, None, None, -18.0,2021-07-11 04:05:00, 0.0, None,28
5.2, None, None, -18.0,2021-07-11 04:20:00, 0.0, None,28
5.1, None, None, -18.0,2021-07-11 04:35:00, 0.0, None,28
5.1, None, None, -18.0,2021-07-11 04:50:00, 0.0, None,28
5.0, None, None, -18.0,2021-07-11 05:05:00, 0.0, None,28
5.1, None, None, -18.0,2021-07-11 05:20:00, 0.0, None,28
5.7, None, None, -18.0,2021-07-11 05:35:00, 0.0, None,28
5.5, None, None, -18.0,2021-07-11 05:50:00, 0.0, None,28
5.4, None, None, -18.0,2021-07-11 06:05:00, 0.0, None,28
