station_observations
max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
-10.6, -6999.0, 22.7, 10.2, -6999.0, -10.8, -12.3, 0.0, 11.0, 2.0, 2020-01-09 21:00:00, 219.0, -6999.0
-10.4, -6999.0, 27.5, 9.9, -6999.0, -11.8, -12.3, 0.0, 17.0, 1.0, 2020-01-09 22:00:00, 220.0, -6999.0
-10.4, -6999.0, 21.2, 10.3, -6999.0, -12.8, -12.9, 0.0, 24.0, 2.0, 2020-01-09 23:00:00, 222.0, -6999.0
-10.4, -6999.0, 21.7, 9.4, -6999.0, -12.1, -13.0, 0.0, 29.0, 2.0, 2020-01-10 00:00:00, 224.0, -6999.0
-10.1, -6999.0, 23.1, 9.8, -6999.0, -10.1, -13.0, 0.0, 360.0, 0.0, 2020-01-10 01:00:00, 224.0, -6999.0
-10.0, -6999.0, 16.7, 9.1, -6999.0, -10.4, -13.0, 0.0, 16.0, 0.0, 2020-01-10 02:00:00, 224.0, -6999.0
-10.0, -6999.0, 17.6, 10.4, -6999.0, -10.9, -13.0, 0.0, 33.0, 2.0, 2020-01-10 03:00:00, 226.0, -6999.0
-10.0, -6999.0, 15.6, 9.3, -6999.0, -10.6, -13.0, 0.0, 37.0, 1.0, 2020-01-10 04:00:00, 226.0, -6999.0
-10.0, -6999.0, 15.7, 9.6, -6999.0, -10.3, -13.0, 0.0, 40.0, 0.0, 2020-01-10 05:00:00, 227.0, -6999.0
-10.0, -6999.0, 16.9, 9.7, -6999.0, -10.1, -13.0, 0.0, 49.0, 2.0, 2020-01-10 06:00:00, 229.0, -6999.0
-9.9, -6999.0, 17.9, 10.1, -6999.0, -9.9, -10.2, 0.0, 54.0, 3.0, 2020-01-10 07:00:00, 232.0, -6999.0
-9.5, -6999.0, 19.6, 9.3, -6999.0, -9.6, -10.2, 0.0, 37.0, 0.0, 2020-01-10 08:00:00, 232.0, -6999.0
-9.2, -6999.0, 19.2, 8.9, -6999.0, -9.3, -10.2, 0.0, 24.0, 1.0, 2020-01-10 09:00:00, 233.0, -6999.0
-9.1, -6999.0, 18.3, 9.8, -6999.0, -9.2, -10.2, 0.0, 15.0, -1.0, 2020-01-10 10:00:00, 233.0, -6999.0
-9.1, -6999.0, 18.9, 11.7, -6999.0, -9.7, -10.2, 0.0, 42.0, 0.0, 2020-01-10 11:00:00, 233.0, -6999.0
-9.0, -6999.0, 19.6, 11.2, -6999.0, -9.0, -10.2, 0.0, 43.0, 1.0, 2020-01-10 12:00:00, 234.0, -6999.0
-8.2, -6999.0, 18.7, 9.1, -6999.0, -8.3, -10.2, 0.0, 22.0, 0.0, 2020-01-10 13:00:00, 233.0, -6999.0
-8.2, -6999.0, 19.2, 10.5, -6999.0, -9.8, -10.2, 0.0, 10.0, 0.0, 2020-01-10 14:00:00, 233.0, -6999.0
-8.2, -6999.0, 19.2, 10.7, -6999.0, -10.2, -10.6, 0.0, 31.0, 0.0, 2020-01-10 15:00:00, 234.0, -6999.0
-8.2, -6999.0, 17.3, 10.3, -6999.0, -10.4, -10.6, 0.0, 34.0, 1.0, 2020-01-10 16:00:00, 234.0, -6999.0
-8.2, -6999.0, 17.4, 11.1, -6999.0, -10.6, -10.6, 0.0, 45.0, 0.0, 2020-01-10 17:00:00, 235.0, -6999.0
-8.2, -6999.0, 15.2, 9.8, -6999.0, -10.6, -10.7, 0.0, 40.0, -3.0, 2020-01-10 18:00:00, 232.0, -6999.0
-10.5, -6999.0, 17.8, 9.9, -6999.0, -10.7, -10.8, 0.0, 46.0, 5.0, 2020-01-10 19:00:00, 236.0, -6999.0
-10.4, -6999.0, 14.6, 9.5, -6999.0, -10.5, -10.8, 0.0, 41.0, 1.0, 2020-01-10 20:00:00, 238.0, -6999.0
-10.4, -6999.0, 18.7, 10.9, -6999.0, -10.7, -10.8, 0.0, 45.0, 0.0, 2020-01-10 21:00:00, 237.0, -6999.0
-10.3, -6999.0, 21.1, 12.3, -6999.0, -10.4, -10.8, 0.0, 60.0, 1.0, 2020-01-10 22:00:00, 239.0, -6999.0
-10.3, -6999.0, 17.9, 9.6, -6999.0, -10.8, -10.8, 0.0, 57.0, 1.0, 2020-01-10 23:00:00, 239.0, -6999.0
-10.3, -6999.0, 13.9, 7.4, -6999.0, -10.8, -10.9, 0.0, 45.0, 0.0, 2020-01-11 00:00:00, 240.0, -6999.0
-10.3, -6999.0, 10.6, 5.9, -6999.0, -10.9, -11.0, 0.0, 36.0, 0.0, 2020-01-11 01:00:00, 239.0, -6999.0
-10.3, -6999.0, 11.4, 4.6, -6999.0, -11.1, -11.2, 0.0, 27.0, -1.0, 2020-01-11 02:00:00, 238.0, -6999.0
-10.3, -6999.0, 9.0, 4.2, -6999.0, -11.3, -11.4, 0.0, 40.0, 1.0, 2020-01-11 03:00:00, 239.0, -6999.0
-10.3, -6999.0, 10.0, 3.6, -6999.0, -11.6, -11.7, 0.0, 36.0, 0.0, 2020-01-11 04:00:00, 239.0, -6999.0
-10.3, -6999.0, 6.1, 1.4, -6999.0, -12.0, -12.1, 0.0, 270.0, 0.0, 2020-01-11 05:00:00, 239.0, -6999.0
-10.3, -6999.0, 6.4, 1.8, -6999.0, -12.3, -12.3, 0.0, 253.0, 0.0, 2020-01-11 06:00:00, 239.0, -6999.0
-12.3, -6999.0, 8.0, 1.6, -6999.0, -12.6, -12.6, 0.0, 250.0, 1.0, 2020-01-11 07:00:00, 240.0, -6999.0
-12.3, -6999.0, 12.4, 4.8, -6999.0, -13.2, -13.3, 0.0, 259.0, 0.0, 2020-01-11 08:00:00, 240.0, -6999.0
-12.3, -6999.0, 9.7, 5.1, -6999.0, -14.2, -14.2, 0.0, 261.0, 0.0, 2020-01-11 09:00:00, 240.0, -6999.0
-12.3, -6999.0, 8.0, 3.7, -6999.0, -14.4, -14.5, 0.0, 264.0, 0.0, 2020-01-11 10:00:00, 239.0, -6999.0
-12.3, -6999.0, 7.8, 3.5, -6999.0, -13.9, -14.5, 0.0, 265.0, -1.0, 2020-01-11 11:00:00, 239.0, -6999.0
-12.3, -6999.0, 5.6, 0.4, -6999.0, -12.6, -14.5, 0.0, 136.0, -1.0, 2020-01-11 12:00:00, 238.0, -6999.0
-12.3, -6999.0, 7.5, 2.2, -6999.0, -12.6, -14.5, 0.0, 68.0, 0.0, 2020-01-11 13:00:00, 238.0, -6999.0
-12.3, -6999.0, 9.2, 4.3, -6999.0, -13.4, -14.5, 0.0, 51.0, 0.0, 2020-01-11 14:00:00, 237.0, -6999.0
-12.3, -6999.0, 10.9, 6.6, -6999.0, -14.7, -14.7, 0.0, 51.0, 0.0, 2020-01-11 15:00:00, 237.0, -6999.0
-12.3, -6999.0, 9.7, 5.0, -6999.0, -15.7, -15.7, 0.0, 15.0, 0.0, 2020-01-11 16:00:00, 237.0, -6999.0
-12.3, -6999.0, 12.3, 5.2, -6999.0, -16.2, -16.2, 0.0, 12.0, 0.0, 2020-01-11 17:00:00, 237.0, -6999.0
-12.3, -6999.0, 11.2, 4.8, -6999.0, -16.8, -16.8, 0.0, 14.0, 0.0, 2020-01-11 18:00:00, 237.0, -6999.0
-16.8, -6999.0, 13.4, 4.9, -6999.0, -17.2, -17.2, 0.0, 357.0, 0.0, 2020-01-11 19:00:00, 236.0, -6999.0
-16.8, -6999.0, 18.1, 7.5, -6999.0, -17.8, -17.8, 0.0, 9.0, 0.0, 2020-01-11 20:00:00, 236.0, -6999.0
-16.8, -6999.0, 15.3, 5.7, -6999.0, -18.2, -18.3, 0.0, 8.0, 0.0, 2020-01-11 21:00:00, 236.0, -6999.0
-16.8, -6999.0, 16.0, 4.6, -6999.0, -18.5, -18.5, 0.0, 341.0, 0.0, 2020-01-11 22:00:00, 235.0, -6999.0
-16.8, -6999.0, 13.6, 4.3, -6999.0, -19.3, -19.3, 0.0, 37.0, -1.0, 2020-01-11 23:00:00, 234.0, -6999.0
-16.8, -6999.0, 23.9, 6.6, -6999.0, -20.1, -20.2, 0.0, 310.0, 0.0, 2020-01-12 00:00:00, 234.0, -6999.0
-16.8, -6999.0, 24.3, 4.2, -6999.0, -20.7, -20.8, 0.0, 326.0, 0.0, 2020-01-12 01:00:00, 234.0, -6999.0
-16.8, -6999.0, 20.7, 2.6, -6999.0, -21.3, -21.4, 0.0, 320.0, -1.0, 2020-01-12 02:00:00, 233.0, -6999.0
-16.8, -6999.0, 27.9, 1.3, -6999.0, -21.9, -22.0, 0.0, 70.0, 0.0, 2020-01-12 03:00:00, 233.0, -6999.0
-16.8, -6999.0, 30.6, 6.6, -6999.0, -22.1, -22.1, 0.0, 39.0, 0.0, 2020-01-12 04:00:00, 233.0, -6999.0
-16.8, -6999.0, 20.5, 4.8, -6999.0, -22.5, -22.6, 0.0, 26.0, 0.0, 2020-01-12 05:00:00, 233.0, -6999.0
-16.8, -6999.0, 23.4, 5.5, -6999.0, -22.4, -22.6, 0.0, 357.0, 0.0, 2020-01-12 06:00:00, 232.0, -6999.0
-22.1, -6999.0, 21.4, 3.2, -6999.0, -22.3, -22.9, 0.0, 291.0, 0.0, 2020-01-12 07:00:00, 232.0, -6999.0
-22.1, -6999.0, 23.7, 6.2, -6999.0, -22.7, -22.9, 0.0, 324.0, -1.0, 2020-01-12 08:00:00, 232.0, -6999.0
-22.1, -6999.0, 23.7, 6.1, -6999.0, -22.4, -22.9, 0.0, 291.0, -1.0, 2020-01-12 09:00:00, 231.0, -6999.0
-21.4, -6999.0, 18.7, 2.1, -6999.0, -21.4, -22.9, 0.0, 308.0, 0.0, 2020-01-12 10:00:00, 231.0, -6999.0
-19.7, -6999.0, 21.0, 4.0, -6999.0, -19.7, -22.9, 0.0, 6.0, -1.0, 2020-01-12 11:00:00, 230.0, -6999.0
-16.5, -6999.0, 14.3, 2.6, -6999.0, -16.6, -22.9, 0.0, 99.0, -1.0, 2020-01-12 12:00:00, 228.0, -6999.0
-16.0, -6999.0, 12.6, 4.7, -6999.0, -16.0, -22.9, 0.0, 91.0, 0.0, 2020-01-12 13:00:00, 229.0, -6999.0
-15.4, -6999.0, 9.3, 3.8, -6999.0, -15.6, -22.9, 0.0, 80.0, 0.0, 2020-01-12 14:00:00, 228.0, -6999.0
-15.4, -6999.0, 8.6, 2.6, -6999.0, -20.4, -22.9, 0.0, 34.0, 0.0, 2020-01-12 15:00:00, 228.0, -6999.0
-15.4, -6999.0, 9.2, 3.4, -6999.0, -20.9, -22.9, 0.0, 8.0, 0.0, 2020-01-12 16:00:00, 228.0, -6999.0
-15.4, -6999.0, 11.9, 4.7, -6999.0, -20.7, -22.9, 0.0, 8.0, 1.0, 2020-01-12 17:00:00, 229.0, -6999.0
-15.4, -6999.0, 13.6, 4.9, -6999.0, -20.7, -22.9, 0.0, 29.0, -1.0, 2020-01-12 18:00:00, 228.0, -6999.0
-20.6, -6999.0, 13.4, 6.3, -6999.0, -20.8, -20.9, 0.0, 40.0, 0.0, 2020-01-12 19:00:00, 228.0, -6999.0
-20.6, -6999.0, 9.6, 5.4, -6999.0, -20.6, -21.2, 0.0, 24.0, 0.0, 2020-01-12 20:00:00, 228.0, -6999.0
-20.2, -6999.0, 15.6, 9.1, -6999.0, -21.6, -22.0, 0.0, 29.0, 0.0, 2020-01-13 03:00:00, 226.0, -6999.0
-20.2, -6999.0, 12.6, 6.8, -6999.0, -20.9, -22.0, 0.0, 24.0, 0.0, 2020-01-13 04:00:00, 225.0, -6999.0
-20.2, -6999.0, 9.7, 6.3, -6999.0, -21.2, -22.0, 0.0, 24.0, 0.0, 2020-01-13 05:00:00, 225.0, -6999.0
-20.2, -6999.0, 11.9, 7.1, -6999.0, -22.0, -22.0, 0.0, 22.0, 0.0, 2020-01-13 06:00:00, 225.0, -6999.0
-21.4, -6999.0, 12.1, 7.2, -6999.0, -21.5, -22.6, 0.0, 32.0, 0.0, 2020-01-13 07:00:00, 225.0, -6999.0
-21.4, -6999.0, 11.9, 5.7, -6999.0, -21.9, -22.6, 0.0, 28.0, -1.0, 2020-01-13 08:00:00, 225.0, -6999.0
-21.4, -6999.0, 15.2, 6.9, -6999.0, -21.9, -22.8, 0.0, 29.0, 0.0, 2020-01-13 09:00:00, 224.0, -6999.0
-21.3, -6999.0, 14.9, 7.2, -6999.0, -21.4, -22.8, 0.0, 32.0, -1.0, 2020-01-13 10:00:00, 224.0, -6999.0
-20.9, -6999.0, 16.1, 8.9, -6999.0, -21.0, -22.8, 0.0, 35.0, 0.0, 2020-01-13 11:00:00, 224.0, -6999.0
-18.9, -6999.0, 14.3, 7.2, -6999.0, -19.1, -22.8, 0.0, 34.0, -1.0, 2020-01-13 12:00:00, 223.0, -6999.0
-18.0, -6999.0, 11.6, 6.5, -6999.0, -18.2, -22.8, 0.0, 40.0, 0.0, 2020-01-13 13:00:00, 222.0, -6999.0
-17.7, -6999.0, 10.7, 5.6, -6999.0, -18.3, -22.8, 0.0, 44.0, 0.0, 2020-01-13 14:00:00, 222.0, -6999.0
-17.7, -6999.0, 10.9, 6.0, -6999.0, -21.1, -22.8, 0.0, 36.0, 1.0, 2020-01-13 15:00:00, 223.0, -6999.0
-17.7, -6999.0, 12.0, 5.9, -6999.0, -21.6, -22.8, 0.0, 33.0, 0.0, 2020-01-13 16:00:00, 223.0, -6999.0
-17.7, -6999.0, 11.5, 5.7, -6999.0, -21.8, -22.8, 0.0, 26.0, 0.0, 2020-01-13 17:00:00, 222.0, -6999.0
-17.7, -6999.0, 10.1, 5.3, -6999.0, -22.0, -22.8, 0.0, 31.0, -1.0, 2020-01-13 18:00:00, 222.0, -6999.0
-21.7, -6999.0, 12.9, 6.0, -6999.0, -22.2, -22.2, 0.0, 35.0, 0.0, 2020-01-13 19:00:00, 222.0, -6999.0
-21.7, -6999.0, 12.6, 6.3, -6999.0, -22.3, -22.6, 0.0, 38.0, 0.0, 2020-01-13 20:00:00, 222.0, -6999.0
-21.7, -6999.0, 12.1, 6.1, -6999.0, -22.4, -22.6, 0.0, 28.0, -1.0, 2020-01-13 21:00:00, 221.0, -6999.0
-21.7, -6999.0, 11.8, 6.2, -6999.0, -22.5, -22.7, 0.0, 22.0, 0.0, 2020-01-13 22:00:00, 221.0, -6999.0
-21.7, -6999.0, 10.0, 5.5, -6999.0, -22.8, -22.8, 0.0, 25.0, 0.0, 2020-01-13 23:00:00, 221.0, -6999.0
-21.7, -6999.0, 11.3, 5.2, -6999.0, -22.8, -23.0, 0.0, 39.0, 0.0, 2020-01-14 00:00:00, 221.0, -6999.0
-21.7, -6999.0, 8.8, 4.9, -6999.0, -22.5, -23.0, 0.0, 34.0, 0.0, 2020-01-14 01:00:00, 221.0, -6999.0
-21.7, -6999.0, 9.6, 5.6, -6999.0, -22.6, -23.0, 0.0, 22.0, 0.0, 2020-01-14 02:00:00, 220.0, -6999.0
-21.7, -6999.0, 8.8, 4.5, -6999.0, -22.9, -23.2, 0.0, 35.0, 0.0, 2020-01-14 03:00:00, 221.0, -6999.0
-21.7, -6999.0, 9.3, 3.7, -6999.0, -22.8, -23.2, 0.0, 28.0, -1.0, 2020-01-14 04:00:00, 220.0, -6999.0
-21.7, -6999.0, 12.6, 6.1, -6999.0, -22.6, -23.2, 0.0, 27.0, 0.0, 2020-01-14 05:00:00, 220.0, -6999.0
-21.7, -6999.0, 11.9, 6.3, -6999.0, -22.4, -23.2, 0.0, 18.0, 0.0, 2020-01-14 06:00:00, 220.0, -6999.0
-22.4, -6999.0, 11.6, 6.8, -6999.0, -22.6, -22.8, 0.0, 11.0, 0.0, 2020-01-14 07:00:00, 219.0, -6999.0
-22.4, -6999.0, 10.1, 5.7, -6999.0, -22.5, -23.0, 0.0, 14.0, 0.0, 2020-01-14 08:00:00, 220.0, -6999.0
-22.3, -6999.0, 13.1, 6.7, -6999.0, -24.4, -24.4, 0.0, 18.0, -1.0, 2020-01-14 09:00:00, 219.0, -6999.0
-22.3, -6999.0, 12.6, 6.7, -6999.0, -22.8, -25.2, 0.0, 22.0, 0.0, 2020-01-14 10:00:00, 218.0, -6999.0
-21.4, -6999.0, 13.6, 6.6, -6999.0, -22.7, -25.2, 0.0, 35.0, 0.0, 2020-01-14 11:00:00, 218.0, -6999.0
-21.4, -6999.0, 14.0, 8.7, -6999.0, -22.5, -25.2, 0.0, 39.0, 0.0, 2020-01-14 12:00:00, 218.0, -6999.0
-19.3, -6999.0, 12.4, 6.2, -6999.0, -19.7, -25.2, 0.0, 36.0, -1.0, 2020-01-14 13:00:00, 217.0, -6999.0
-18.9, -6999.0, 11.9, 6.4, -6999.0, -18.9, -25.2, 0.0, 37.0, 0.0, 2020-01-14 14:00:00, 217.0, -6999.0
-18.7, -6999.0, 10.2, 5.1, -6999.0, -21.3, -25.2, 0.0, 27.0, 0.0, 2020-01-14 15:00:00, 218.0, -6999.0
-18.7, -6999.0, 12.1, 6.0, -6999.0, -23.9, -25.2, 0.0, 16.0, -1.0, 2020-01-14 16:00:00, 217.0, -6999.0
-18.7, -6999.0, 14.8, 8.3, -6999.0, -23.0, -25.2, 0.0, 26.0, 0.0, 2020-01-14 17:00:00, 217.0, -6999.0
-18.7, -6999.0, 13.5, 8.5, -6999.0, -24.5, -25.2, 0.0, 27.0, 0.0, 2020-01-14 18:00:00, 217.0, -6999.0
-23.6, -6999.0, 14.0, 8.0, -6999.0, -23.6, -24.9, 0.0, 26.0, 0.0, 2020-01-14 19:00:00, 217.0, -6999.0
-23.2, -6999.0, 13.8, 7.7, -6999.0, -24.2, -24.9, 0.0, 26.0, 1.0, 2020-01-14 20:00:00, 217.0, -6999.0
-23.2, -6999.0, 13.9, 9.3, -6999.0, -25.3, -25.3, 0.0, 30.0, -1.0, 2020-01-14 21:00:00, 217.0, -6999.0
-23.2, -6999.0, 15.8, 10.7, -6999.0, -25.3, -25.4, 0.0, 28.0, 0.0, 2020-01-14 22:00:00, 217.0, -6999.0
-23.2, -6999.0, 17.3, 11.1, -6999.0, -25.5, -25.5, 0.0, 26.0, 0.0, 2020-01-14 23:00:00, 216.0, -6999.0
-23.2, -6999.0, 16.7, 10.5, -6999.0, -25.5, -26.0, 0.0, 28.0, 0.0, 2020-01-15 00:00:00, 217.0, -6999.0
-23.2, -6999.0, 16.5, 9.7, -6999.0, -25.2, -26.0, 0.0, 34.0, 0.0, 2020-01-15 01:00:00, 216.0, -6999.0
-23.2, -6999.0, 15.1, 9.0, -6999.0, -24.6, -26.0, 0.0, 26.0, 0.0, 2020-01-15 02:00:00, 216.0, -6999.0
-23.2, -6999.0, 15.6, 8.2, -6999.0, -24.3, -26.0, 0.0, 30.0, 0.0, 2020-01-15 03:00:00, 216.0, -6999.0
-23.2, -6999.0, 17.9, 9.0, -6999.0, -24.3, -26.0, 0.0, 29.0, 0.0, 2020-01-15 04:00:00, 216.0, -6999.0
-23.2, -6999.0, 15.3, 8.2, -6999.0, -24.2, -26.0, 0.0, 27.0, 0.0, 2020-01-15 05:00:00, 216.0, -6999.0
-23.2, -6999.0, 14.7, 7.2, -6999.0, -24.0, -26.0, 0.0, 25.0, 0.0, 2020-01-15 06:00:00, 215.0, -6999.0
-23.8, -6999.0, 15.3, 8.1, -6999.0, -24.4, -24.7, 0.0, 26.0, 0.0, 2020-01-15 07:00:00, 216.0, -6999.0
-23.8, -6999.0, 17.0, 7.9, -6999.0, -24.8, -24.9, 0.0, 34.0, 0.0, 2020-01-15 08:00:00, 215.0, -6999.0
-23.8, -6999.0, 18.5, 8.2, -6999.0, -24.6, -24.9, 0.0, 39.0, 0.0, 2020-01-15 09:00:00, 215.0, -6999.0
-23.3, -6999.0, 15.0, 7.5, -6999.0, -23.3, -24.9, 0.0, 38.0, 0.0, 2020-01-15 10:00:00, 214.0, -6999.0
-21.1, -6999.0, 15.1, 7.1, -6999.0, -21.3, -24.9, 0.0, 56.0, -1.0, 2020-01-15 11:00:00, 214.0, -6999.0
-21.1, -6999.0, 15.2, 7.5, -6999.0, -21.7, -24.9, 0.0, 61.0, 0.0, 2020-01-15 12:00:00, 213.0, -6999.0
-20.7, -6999.0, 18.9, 8.1, -6999.0, -22.3, -24.9, 0.0, 67.0, 0.0, 2020-01-15 13:00:00, 213.0, -6999.0
-20.7, -6999.0, 18.6, 8.2, -6999.0, -23.1, -24.9, 0.0, 58.0, 1.0, 2020-01-15 14:00:00, 214.0, -6999.0
-20.7, -6999.0, 15.5, 7.9, -6999.0, -23.5, -24.9, 0.0, 56.0, 0.0, 2020-01-15 15:00:00, 214.0, -6999.0
-20.7, -6999.0, 15.7, 6.1, -6999.0, -23.8, -24.9, 0.0, 63.0, 0.0, 2020-01-15 16:00:00, 214.0, -6999.0
-20.7, -6999.0, 15.5, 7.8, -6999.0, -23.8, -24.9, 0.0, 54.0, -1.0, 2020-01-15 17:00:00, 213.0, -6999.0
-20.7, -6999.0, 21.0, 10.1, -6999.0, -24.1, -24.9, 0.0, 61.0, 0.0, 2020-01-15 18:00:00, 213.0, -6999.0
-23.7, -6999.0, 23.6, 10.1, -6999.0, -23.8, -24.3, 0.0, 60.0, 0.0, 2020-01-15 19:00:00, 214.0, -6999.0
-22.2, -6999.0, 24.3, 12.2, -6999.0, -24.3, -24.3, 0.0, 53.0, -1.0, 2020-01-15 20:00:00, 213.0, -6999.0
-22.2, -6999.0, 21.7, 10.8, -6999.0, -23.9, -24.4, 0.0, 60.0, 0.0, 2020-01-15 21:00:00, 213.0, -6999.0
-22.2, -6999.0, 24.3, 9.1, -6999.0, -22.8, -24.4, 0.0, 65.0, 0.0, 2020-01-15 22:00:00, 213.0, -6999.0
-22.2, -6999.0, 18.1, 7.8, -6999.0, -22.5, -24.4, 0.0, 70.0, 0.0, 2020-01-15 23:00:00, 213.0, -6999.0
-22.0, -6999.0, 19.3, 8.6, -6999.0, -22.0, -24.4, 0.0, 69.0, 0.0, 2020-01-16 00:00:00, 213.0, -6999.0
-20.9, -6999.0, 22.4, 9.0, -6999.0, -20.9, -24.4, 0.0, 73.0, 0.0, 2020-01-16 01:00:00, 213.0, -6999.0
-20.6, -6999.0, 22.1, 9.8, -6999.0, -20.7, -24.4, 0.0, 65.0, 0.0, 2020-01-16 02:00:00, 212.0, -6999.0
