RelativeHumidity,AirTemperature,time,Rain,week_of_year
77.0,17.3,2020-10-01 18:30:00,0.0,40
76.0,17.4,2020-10-01 18:45:00,0.0,40
75.0,17.8,2020-10-01 19:00:00,0.0,40
77.0,17.5,2020-10-01 19:15:00,0.0,40
80.0,17.2,2020-10-01 19:30:00,0.0,40
82.0,16.8,2020-10-01 19:45:00,0.0,40
79.0,16.6,2020-10-01 20:00:00,0.0,40
77.0,17.0,2020-10-01 20:15:00,0.0,40
78.0,16.7,2020-10-01 20:30:00,0.0,40
80.0,16.6,2020-10-01 20:45:00,0.0,40
82.0,16.3,2020-10-01 21:00:00,0.0,40
84.0,16.0,2020-10-01 21:15:00,0.0,40
86.0,15.7,2020-10-01 21:30:00,0.0,40
86.0,15.5,2020-10-01 21:45:00,0.0,40
85.0,15.7,2020-10-01 22:00:00,0.0,40
78.0,16.0,2020-10-01 22:15:00,0.0,40
73.0,16.7,2020-10-01 22:30:00,0.0,40
72.0,16.8,2020-10-01 22:45:00,0.0,40
71.0,16.7,2020-10-01 23:00:00,0.0,40
71.0,16.8,2020-10-01 23:15:00,0.0,40
72.0,16.7,2020-10-01 23:30:00,0.0,40
73.0,16.5,2020-10-01 23:45:00,0.0,40
75.0,16.5,2020-10-02 00:00:00,0.0,40
75.0,16.5,2020-10-02 00:15:00,0.0,40
75.0,16.4,2020-10-02 00:30:00,0.0,40
75.0,16.6,2020-10-02 00:45:00,0.0,40
78.0,16.5,2020-10-02 01:00:00,0.0,40
81.0,16.2,2020-10-02 01:15:00,0.0,40
82.0,16.1,2020-10-02 01:30:00,0.0,40
82.0,16.2,2020-10-02 01:45:00,0.0,40
84.0,16.0,2020-10-02 02:00:00,0.0,40
87.0,15.4,2020-10-02 02:15:00,0.0,40
88.0,15.1,2020-10-02 02:30:00,0.0,40
85.0,15.4,2020-10-02 02:45:00,0.0,40
84.0,15.6,2020-10-02 03:00:00,0.0,40
84.0,15.5,2020-10-02 03:15:00,0.0,40
85.0,15.5,2020-10-02 03:30:00,0.0,40
87.0,15.1,2020-10-02 03:45:00,0.0,40
88.0,14.9,2020-10-02 04:00:00,0.0,40
85.0,15.2,2020-10-02 04:15:00,0.0,40
84.0,15.4,2020-10-02 04:30:00,0.0,40
85.0,15.1,2020-10-02 04:45:00,0.0,40
83.0,15.2,2020-10-02 05:00:00,0.0,40
83.0,15.2,2020-10-02 05:15:00,0.0,40
83.0,15.1,2020-10-02 05:30:00,0.0,40
78.0,15.3,2020-10-02 05:45:00,0.0,40
77.0,15.6,2020-10-02 06:00:00,0.0,40
78.0,15.5,2020-10-02 06:15:00,0.0,40
78.0,15.4,2020-10-02 06:30:00,0.0,40
80.0,15.1,2020-10-02 06:45:00,0.0,40
82.0,14.9,2020-10-02 07:00:00,0.0,40
78.0,14.9,2020-10-02 07:15:00,0.0,40
77.0,15.5,2020-10-02 07:30:00,0.0,40
75.0,15.7,2020-10-02 07:45:00,0.0,40
74.0,16.2,2020-10-02 08:00:00,0.0,40
76.0,16.2,2020-10-02 08:15:00,0.0,40
74.0,16.6,2020-10-02 08:30:00,0.0,40
73.0,17.1,2020-10-02 08:45:00,0.0,40
73.0,17.1,2020-10-02 09:00:00,0.0,40
73.0,17.4,2020-10-02 09:15:00,0.0,40
72.0,17.6,2020-10-02 09:30:00,0.0,40
71.0,18.0,2020-10-02 09:45:00,0.0,40
72.0,18.3,2020-10-02 10:00:00,0.0,40
70.0,18.9,2020-10-02 10:15:00,0.0,40
70.0,19.1,2020-10-02 10:30:00,0.0,40
74.0,19.2,2020-10-02 10:45:00,0.0,40
71.0,19.3,2020-10-02 11:00:00,0.0,40
74.0,19.6,2020-10-02 11:15:00,0.0,40
71.0,19.6,2020-10-02 11:30:00,0.0,40
71.0,19.9,2020-10-02 11:45:00,0.0,40
70.0,19.5,2020-10-02 12:00:00,0.0,40
69.0,20.3,2020-10-02 12:15:00,0.0,40
68.0,20.2,2020-10-02 12:30:00,0.0,40
65.0,20.5,2020-10-02 12:45:00,0.0,40
65.0,21.1,2020-10-02 13:00:00,0.0,40
60.0,21.5,2020-10-02 13:15:00,0.0,40
63.0,21.9,2020-10-02 13:30:00,0.0,40
65.0,21.3,2020-10-02 13:45:00,0.0,40
66.0,21.5,2020-10-02 14:00:00,0.0,40
61.0,22.3,2020-10-02 14:15:00,0.0,40
61.0,22.0,2020-10-02 14:30:00,0.0,40
63.0,22.4,2020-10-02 14:45:00,0.0,40
64.0,22.3,2020-10-02 15:00:00,0.0,40
65.0,21.7,2020-10-02 15:15:00,0.0,40
63.0,22.3,2020-10-02 15:30:00,0.0,40
62.0,22.6,2020-10-02 15:45:00,0.0,40
64.0,22.2,2020-10-02 16:00:00,0.0,40
65.0,21.7,2020-10-02 16:15:00,0.0,40
69.0,21.0,2020-10-02 16:30:00,0.0,40
70.0,20.6,2020-10-02 16:45:00,0.0,40
70.0,20.1,2020-10-02 17:00:00,0.0,40
76.0,19.1,2020-10-02 17:15:00,0.0,40
77.0,18.3,2020-10-02 17:30:00,0.0,40
72.0,18.1,2020-10-02 17:45:00,0.0,40
67.0,18.2,2020-10-02 18:00:00,0.0,40
65.0,18.3,2020-10-02 18:15:00,0.0,40
62.0,18.3,2020-10-02 18:30:00,0.0,40
61.0,18.7,2020-10-02 18:45:00,0.0,40
59.0,19.3,2020-10-02 19:00:00,0.0,40
61.0,19.0,2020-10-02 19:15:00,0.0,40
65.0,19.4,2020-10-02 19:30:00,0.0,40
62.0,19.4,2020-10-02 19:45:00,0.0,40
62.0,19.5,2020-10-02 20:00:00,0.0,40
64.0,19.4,2020-10-02 20:15:00,0.0,40
70.0,18.8,2020-10-02 20:30:00,0.0,40
70.0,18.8,2020-10-02 20:45:00,0.0,40
74.0,18.9,2020-10-02 21:00:00,0.0,40
75.0,18.7,2020-10-02 21:15:00,0.0,40
71.0,18.4,2020-10-02 21:30:00,0.0,40
75.0,18.2,2020-10-02 21:45:00,0.0,40
75.0,18.1,2020-10-02 22:00:00,0.0,40
76.0,17.9,2020-10-02 22:15:00,0.0,40
73.0,17.9,2020-10-02 22:30:00,0.0,40
71.0,18.0,2020-10-02 22:45:00,0.0,40
69.0,18.3,2020-10-02 23:00:00,0.0,40
69.0,18.3,2020-10-02 23:15:00,0.0,40
70.0,18.1,2020-10-02 23:30:00,0.0,40
71.0,18.0,2020-10-02 23:45:00,0.0,40
71.0,17.9,2020-10-03 00:00:00,0.0,40
70.0,17.7,2020-10-03 00:15:00,0.0,40
78.0,17.0,2020-10-03 00:30:00,0.0,40
81.0,16.3,2020-10-03 00:45:00,0.0,40
83.0,16.1,2020-10-03 01:00:00,0.0,40
83.0,16.1,2020-10-03 01:15:00,0.0,40
83.0,16.1,2020-10-03 01:30:00,0.0,40
84.0,15.9,2020-10-03 01:45:00,0.0,40
84.0,15.8,2020-10-03 02:00:00,0.0,40
84.0,15.8,2020-10-03 02:15:00,0.0,40
85.0,15.5,2020-10-03 02:30:00,0.0,40
86.0,15.5,2020-10-03 02:45:00,0.0,40
87.0,15.4,2020-10-03 03:00:00,0.0,40
88.0,15.4,2020-10-03 03:15:00,0.0,40
88.0,15.5,2020-10-03 03:30:00,0.0,40
88.0,15.5,2020-10-03 03:45:00,0.0,40
88.0,15.7,2020-10-03 04:00:00,0.0,40
88.0,15.7,2020-10-03 04:15:00,0.0,40
87.0,15.7,2020-10-03 04:30:00,0.0,40
88.0,15.6,2020-10-03 04:45:00,0.0,40
84.0,15.6,2020-10-03 05:00:00,0.0,40
85.0,15.5,2020-10-03 05:15:00,0.0,40
88.0,15.2,2020-10-03 05:30:00,0.0,40
91.0,14.8,2020-10-03 05:45:00,0.0,40
92.0,14.6,2020-10-03 06:00:00,0.0,40
94.0,14.5,2020-10-03 06:15:00,0.0,40
92.0,14.6,2020-10-03 06:30:00,0.0,40
89.0,14.7,2020-10-03 06:45:00,0.0,40
90.0,14.7,2020-10-03 07:00:00,0.0,40
91.0,14.7,2020-10-03 07:15:00,0.0,40
87.0,14.8,2020-10-03 07:30:00,0.0,40
87.0,15.0,2020-10-03 07:45:00,0.0,40
86.0,15.2,2020-10-03 08:00:00,0.0,40
83.0,16.0,2020-10-03 08:15:00,0.0,40
82.0,16.2,2020-10-03 08:30:00,0.0,40
83.0,16.4,2020-10-03 08:45:00,0.0,40
82.0,16.5,2020-10-03 09:00:00,0.0,40
83.0,16.6,2020-10-03 09:15:00,0.0,40
79.0,16.8,2020-10-03 09:30:00,0.0,40
77.0,17.5,2020-10-03 09:45:00,0.0,40
74.0,18.2,2020-10-03 10:00:00,0.0,40
74.0,18.3,2020-10-03 10:15:00,0.0,40
73.0,18.5,2020-10-03 10:30:00,0.0,40
71.0,18.8,2020-10-03 10:45:00,0.0,40
71.0,19.0,2020-10-03 11:00:00,0.0,40
71.0,18.6,2020-10-03 11:15:00,0.0,40
73.0,18.1,2020-10-03 11:30:00,0.0,40
77.0,17.7,2020-10-03 11:45:00,0.0,40
75.0,17.3,2020-10-03 12:00:00,0.0,40
72.0,18.3,2020-10-03 12:15:00,0.0,40
72.0,18.7,2020-10-03 12:30:00,0.0,40
72.0,18.7,2020-10-03 12:45:00,0.0,40
70.0,18.6,2020-10-03 13:00:00,0.0,40
71.0,18.5,2020-10-03 13:15:00,0.0,40
69.0,18.5,2020-10-03 13:30:00,0.0,40
70.0,18.4,2020-10-03 13:45:00,0.0,40
68.0,18.6,2020-10-03 14:00:00,0.0,40
69.0,19.1,2020-10-03 14:15:00,0.0,40
71.0,18.4,2020-10-03 14:30:00,0.0,40
75.0,18.1,2020-10-03 14:45:00,0.0,40
74.0,17.9,2020-10-03 15:00:00,0.0,40
73.0,18.0,2020-10-03 15:15:00,0.0,40
71.0,17.9,2020-10-03 15:30:00,0.0,40
72.0,17.8,2020-10-03 15:45:00,0.0,40
64.0,18.0,2020-10-03 16:00:00,0.0,40
62.0,18.4,2020-10-03 16:15:00,0.0,40
66.0,18.3,2020-10-03 16:30:00,0.0,40
69.0,17.8,2020-10-03 16:45:00,0.0,40
70.0,17.3,2020-10-03 17:00:00,0.0,40
62.0,17.4,2020-10-03 17:15:00,0.0,40
59.0,17.9,2020-10-03 17:30:00,0.0,40
60.0,17.9,2020-10-03 17:45:00,0.0,40
67.0,16.7,2020-10-03 18:00:00,0.0,40
70.0,16.0,2020-10-03 18:15:00,0.0,40
73.0,15.5,2020-10-03 18:30:00,0.0,40
74.0,14.8,2020-10-03 18:45:00,0.0,40
71.0,14.9,2020-10-03 19:00:00,0.0,40
71.0,15.6,2020-10-03 19:15:00,0.0,40
70.0,15.4,2020-10-03 19:30:00,0.0,40
82.0,14.0,2020-10-03 19:45:00,0.0,40
90.0,12.4,2020-10-03 20:00:00,0.0,40
95.0,11.4,2020-10-03 20:15:00,0.0,40
97.0,11.0,2020-10-03 20:30:00,0.0,40
97.0,11.0,2020-10-03 20:45:00,0.0,40
94.0,11.1,2020-10-03 21:00:00,0.0,40
76.0,12.5,2020-10-03 21:15:00,0.0,40
90.0,12.1,2020-10-03 21:30:00,0.0,40
81.0,12.2,2020-10-03 21:45:00,0.0,40
82.0,12.6,2020-10-03 22:00:00,0.0,40
82.0,12.5,2020-10-03 22:15:00,0.0,40
83.0,12.2,2020-10-03 22:30:00,0.0,40
87.0,12.1,2020-10-03 22:45:00,0.0,40
96.0,11.0,2020-10-03 23:00:00,0.0,40
98.0,10.5,2020-10-03 23:15:00,0.0,40
98.0,10.5,2020-10-03 23:30:00,0.0,40
97.0,10.7,2020-10-03 23:45:00,0.0,40
95.0,10.8,2020-10-04 00:00:00,0.0,40
89.0,11.6,2020-10-04 00:15:00,0.0,40
88.0,11.8,2020-10-04 00:30:00,0.0,40
93.0,11.1,2020-10-04 00:45:00,0.0,40
93.0,10.9,2020-10-04 01:00:00,0.0,40
93.0,11.0,2020-10-04 01:15:00,0.0,40
