station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-03-24 16:00:00, None
None, 213.0, None, None, None, None, None, None, None, None, None, 2012-03-25 16:00:00, None
None, 213.0, None, None, None, None, None, None, None, None, None, 2012-03-26 16:00:00, None
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-03-27 16:00:00, None
None, 213.0, None, None, None, None, None, None, None, None, None, 2012-03-28 16:00:00, None
None, 213.0, None, None, None, None, None, None, None, None, None, 2012-03-29 16:00:00, None
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-03-30 16:00:00, None
None, 223.0, None, None, None, None, None, None, None, None, None, 2012-03-31 16:00:00, None
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-04-01 16:00:00, None
None, 219.0, None, None, None, None, None, None, None, None, None, 2012-04-02 16:00:00, None
None, 223.0, None, None, None, None, None, None, None, None, None, 2012-04-03 16:00:00, None
None, 219.0, None, None, None, None, None, None, None, None, None, 2012-04-04 16:00:00, None
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-04-05 16:00:00, None
None, 219.0, None, None, None, None, None, None, None, None, None, 2012-04-06 16:00:00, None
None, 226.0, None, None, None, None, None, None, None, None, None, 2012-04-07 16:00:00, None
None, 241.0, None, None, None, None, None, None, None, None, None, 2012-04-08 16:00:00, None
None, 253.0, None, None, None, None, None, None, None, None, None, 2012-04-09 16:00:00, None
None, 265.0, None, None, None, None, None, None, None, None, None, 2012-04-10 16:00:00, None
None, 265.0, None, None, None, None, None, None, None, None, None, 2012-04-11 16:00:00, None
None, 265.0, None, None, None, None, None, None, None, None, None, 2012-04-12 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-04-13 16:00:00, None
None, 274.0, None, None, None, None, None, None, None, None, None, 2012-04-14 16:00:00, None
None, 268.0, None, None, None, None, None, None, None, None, None, 2012-04-15 16:00:00, None
None, 271.0, None, None, None, None, None, None, None, None, None, 2012-04-16 16:00:00, None
None, 271.0, None, None, None, None, None, None, None, None, None, 2012-04-17 16:00:00, None
None, 271.0, None, None, None, None, None, None, None, None, None, 2012-04-18 16:00:00, None
None, 274.0, None, None, None, None, None, None, None, None, None, 2012-04-19 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-04-20 16:00:00, None
None, 271.0, None, None, None, None, None, None, None, None, None, 2012-04-21 16:00:00, None
None, 274.0, None, None, None, None, None, None, None, None, None, 2012-04-22 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-04-23 16:00:00, None
None, 274.0, None, None, None, None, None, None, None, None, None, 2012-04-24 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-04-25 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-04-26 16:00:00, None
