WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
None, 2.6, 1.219,2018-01-07 04:00:00, 2.585,1
None, 2.9, 1.823,2018-01-07 05:00:00, 2.944,1
None, 3.0, 1.492,2018-01-07 06:00:00, 2.956,1
None, 2.4, 1.269,2018-01-07 07:00:00, 2.389,1
None, 1.9, 0.876999,2018-01-07 08:00:00, 1.892,1
None, 1.9, 1.213,2018-01-07 09:00:00, 1.883,1
None, 2.2, 1.508,2018-01-07 10:00:00, 2.218,1
None, 2.5, 0.978999,2018-01-07 11:00:00, 2.514,1
None, 2.7, 1.793,2018-01-07 12:00:00, 2.671,1
None, 2.4, 2.617,2018-01-07 13:00:00, 2.359,1
None, 1.9, 1.51,2018-01-07 14:00:00, 1.926,1
None, 2.1, 1.731,2018-01-07 15:00:00, 2.057,1
None, 2.2, 1.486,2018-01-07 16:00:00, 2.157,1
None, 2.3, 1.858,2018-01-07 17:00:00, 2.253,1
None, 2.2, 2.041,2018-01-07 18:00:00, 2.182,1
None, 2.3, 2.01,2018-01-07 19:00:00, 2.339,1
None, 2.2, 1.363,2018-01-07 20:00:00, 2.158,1
None, 2.2, 1.829,2018-01-07 21:00:00, 2.2,1
None, 2.1, 1.731,2018-01-07 22:00:00, 2.113,1
None, 2.1, 1.397,2018-01-07 23:00:00, 2.103,1
