wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,relative_humidity,time,snw_dpth,week_of_year
352.0, None, None,0.0, None,1.6, None,15.7, None, None,99.0,2016-07-19 20:00:00, None,29
31.0, None, None,0.0, None,0.0, None,15.4, None, None,99.0,2016-07-19 21:00:00, None,29
67.0, None, None,0.0, None,0.0, None,15.2, None, None,99.0,2016-07-19 22:00:00, None,29
11.0, None, None,0.0, None,0.0, None,14.8, None, None,99.0,2016-07-19 23:00:00, None,29
28.0, None, None,0.0, None,2.1, None,14.6, None, None,99.0,2016-07-20 00:00:00, None,29
125.0, None, None,0.0, None,0.0, None,14.4, None, None,100.0,2016-07-20 01:00:00, None,29
43.0, None, None,0.0, None,1.6, None,14.3, None, None,100.0,2016-07-20 02:00:00, None,29
61.0, None, None,0.0, None,0.0, None,14.4, None, None,100.0,2016-07-20 03:00:00, None,29
38.0, None, None,0.0, None,0.0, None,14.5, None, None,100.0,2016-07-20 04:00:00, None,29
46.0, None, None,0.0, None,1.8, None,14.4, None, None,100.0,2016-07-20 05:00:00, None,29
46.0, None, None,0.0, None,0.0, None,14.6, None, None,99.0,2016-07-20 06:00:00, None,29
44.0, None, None,0.0, None,0.0, None,15.3, None, None,99.0,2016-07-20 07:00:00, None,29
341.0, None, None,0.0, None,0.0, None,16.4, None, None,96.0,2016-07-20 08:00:00, None,29
28.0, None, None,0.0, None,0.0, None,17.5, None, None,93.0,2016-07-20 09:00:00, None,29
332.0, None, None,0.0, None,0.0, None,18.2, None, None,89.0,2016-07-20 10:00:00, None,29
294.0, None, None,0.0, None,0.0, None,18.1, None, None,90.0,2016-07-20 11:00:00, None,29
301.0, None, None,0.0, None,0.0, None,18.3, None, None,87.0,2016-07-20 12:00:00, None,29
336.0, None, None,0.0, None,0.0, None,17.9, None, None,91.0,2016-07-20 13:00:00, None,29
293.0, None, None,0.0, None,0.0, None,18.8, None, None,86.0,2016-07-20 14:00:00, None,29
293.0, None, None,0.0, None,0.0, None,19.1, None, None,82.0,2016-07-20 15:00:00, None,29
300.0, None, None,0.0, None,1.6, None,20.7, None, None,73.0,2016-07-20 16:00:00, None,29
292.0, None, None,0.0, None,2.2, None,19.3, None, None,82.0,2016-07-20 17:00:00, None,29
339.0, None, None,0.0, None,1.6, None,18.5, None, None,86.0,2016-07-20 18:00:00, None,29
6.0, None, None,0.0, None,0.0, None,17.8, None, None,91.0,2016-07-20 19:00:00, None,29
13.0, None, None,0.0, None,1.6, None,16.7, None, None,93.0,2016-07-20 20:00:00, None,29
18.0, None, None,0.0, None,1.7, None,15.2, None, None,96.0,2016-07-20 21:00:00, None,29
11.0, None, None,0.0, None,0.0, None,14.3, None, None,97.0,2016-07-20 22:00:00, None,29
13.0, None, None,0.0, None,2.5, None,13.6, None, None,98.0,2016-07-20 23:00:00, None,29
26.0, None, None,0.0, None,1.6, None,13.1, None, None,99.0,2016-07-21 00:00:00, None,29
90.0, None, None,0.0, None,2.1, None,12.6, None, None,98.0,2016-07-21 01:00:00, None,29
0.0, None, None,0.0, None,0.0, None,12.3, None, None,99.0,2016-07-21 02:00:00, None,29
21.0, None, None,0.0, None,2.2, None,12.0, None, None,99.0,2016-07-21 03:00:00, None,29
353.0, None, None,0.0, None,2.0, None,11.7, None, None,99.0,2016-07-21 04:00:00, None,29
355.0, None, None,0.0, None,1.6, None,11.6, None, None,99.0,2016-07-21 05:00:00, None,29
352.0, None, None,0.0, None,1.6, None,11.6, None, None,99.0,2016-07-21 06:00:00, None,29
75.0, None, None,0.0, None,2.1, None,12.3, None, None,98.0,2016-07-21 07:00:00, None,29
61.0, None, None,0.0, None,2.0, None,15.9, None, None,87.0,2016-07-21 08:00:00, None,29
52.0, None, None,0.0, None,2.4, None,18.3, None, None,84.0,2016-07-21 09:00:00, None,29
86.0, None, None,0.0, None,2.6, None,21.0, None, None,73.0,2016-07-21 10:00:00, None,29
244.0, None, None,0.0, None,3.6, None,23.9, None, None,68.0,2016-07-21 11:00:00, None,29
244.0, None, None,0.0, None,3.1, None,25.2, None, None,55.0,2016-07-21 12:00:00, None,29
239.0, None, None,0.0, None,4.1, None,26.2, None, None,53.0,2016-07-21 13:00:00, None,29
283.0, None, None,0.0, None,3.0, None,26.6, None, None,49.0,2016-07-21 14:00:00, None,29
283.0, None, None,0.0, None,4.0, None,24.8, None, None,53.0,2016-07-21 15:00:00, None,29
307.0, None, None,0.0, None,3.9, None,23.3, None, None,54.0,2016-07-21 16:00:00, None,29
323.0, None, None,0.0, None,3.4, None,22.0, None, None,62.0,2016-07-21 17:00:00, None,29
7.0, None, None,0.0, None,2.6, None,21.2, None, None,69.0,2016-07-21 18:00:00, None,29
15.0, None, None,0.0, None,2.3, None,20.6, None, None,73.0,2016-07-21 19:00:00, None,29
14.0, None, None,0.0, None,1.6, None,19.0, None, None,85.0,2016-07-21 20:00:00, None,29
27.0, None, None,0.0, None,1.8, None,17.5, None, None,91.0,2016-07-21 21:00:00, None,29
17.0, None, None,0.0, None,2.0, None,16.4, None, None,93.0,2016-07-21 22:00:00, None,29
22.0, None, None,0.0, None,0.0, None,15.5, None, None,94.0,2016-07-21 23:00:00, None,29
