station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
267.9, 12.4, None, None, None, 2020-04-27 19:00:00, 53.3, None
277.6, 11.5, None, None, None, 2020-04-27 20:00:00, 54.4, None
277.1, 10.9, None, None, None, 2020-04-27 21:00:00, 58.8, None
305.5, 10.3, None, None, None, 2020-04-27 22:00:00, 62.2, None
317.8, 9.6, None, None, None, 2020-04-27 23:00:00, 60.4, None
49.2, 8.7, None, None, None, 2020-04-28 00:00:00, 60.4, None
76.7, 8.2, None, None, None, 2020-04-28 01:00:00, 61.2, None
106.7, 8.1, None, None, None, 2020-04-28 02:00:00, 63.2, None
9.7, 7.8, None, None, None, 2020-04-28 03:00:00, 73.2, None
328.0, 6.7, None, None, None, 2020-04-28 04:00:00, 73.8, None
331.6, 6.6, None, None, None, 2020-04-28 05:00:00, 73.4, None
353.7, 6.8, None, None, None, 2020-04-28 06:00:00, 73.1, None
94.4, 8.0, None, None, None, 2020-04-28 07:00:00, 79.3, None
88.6, 9.5, None, None, None, 2020-04-28 08:00:00, 80.0, None
85.6, 10.4, None, None, None, 2020-04-28 09:00:00, 72.8, None
73.6, 10.5, None, None, None, 2020-04-28 10:00:00, 76.6, None
36.7, 10.4, None, None, None, 2020-04-28 11:00:00, 77.4, None
29.7, 10.9, None, None, None, 2020-04-28 12:00:00, 74.3, None
39.0, 11.3, None, None, None, 2020-04-28 13:00:00, 75.4, None
22.5, 11.5, None, None, None, 2020-04-28 14:00:00, 76.6, None
210.0, 11.3, None, None, None, 2020-04-28 15:00:00, 76.8, None
233.4, 10.6, None, None, None, 2020-04-28 16:00:00, 82.5, None
80.2, 10.9, None, None, None, 2020-04-28 17:00:00, 83.9, None
115.3, 10.7, None, None, None, 2020-04-28 18:00:00, 87.0, None
5.6, 10.4, None, None, None, 2020-04-28 19:00:00, 89.2, None
355.0, 10.2, None, None, None, 2020-04-28 20:00:00, 89.4, None
2.1, 10.0, None, None, None, 2020-04-28 21:00:00, 87.8, None
5.0, 9.8, None, None, None, 2020-04-28 22:00:00, 83.0, None
9.9, 9.6, None, None, None, 2020-04-28 23:00:00, 82.7, None
0.2, 9.6, None, None, None, 2020-04-29 00:00:00, 80.3, None
0.3, 9.6, None, None, None, 2020-04-29 01:00:00, 78.8, None
332.5, 9.6, None, None, None, 2020-04-29 02:00:00, 79.1, None
348.9, 9.6, None, None, None, 2020-04-29 03:00:00, 77.9, None
357.7, 9.4, None, None, None, 2020-04-29 04:00:00, 76.2, None
12.5, 9.5, None, None, None, 2020-04-29 05:00:00, 75.8, None
7.1, 9.4, None, None, None, 2020-04-29 06:00:00, 76.5, None
16.1, 10.0, None, None, None, 2020-04-29 07:00:00, 72.3, None
15.9, 10.3, None, None, None, 2020-04-29 08:00:00, 70.5, None
11.8, 10.5, None, None, None, 2020-04-29 09:00:00, 71.3, None
18.8, 10.9, None, None, None, 2020-04-29 10:00:00, 68.6, None
27.0, 11.9, None, None, None, 2020-04-29 11:00:00, 63.0, None
31.1, 13.0, None, None, None, 2020-04-29 12:00:00, 60.7, None
63.9, 14.1, None, None, None, 2020-04-29 13:00:00, 55.5, None
79.8, 14.6, None, None, None, 2020-04-29 14:00:00, 54.9, None
102.9, 14.9, None, None, None, 2020-04-29 15:00:00, 54.9, None
162.2, 15.0, None, None, None, 2020-04-29 16:00:00, 57.3, None
236.2, 13.1, None, None, None, 2020-04-29 17:00:00, 63.0, None
235.6, 12.9, None, None, None, 2020-04-29 18:00:00, 65.2, None
234.6, 12.7, None, None, None, 2020-04-29 19:00:00, 70.9, None
284.4, 13.1, None, None, None, 2020-04-29 20:00:00, 73.3, None
288.8, 12.0, None, None, None, 2020-04-29 21:00:00, 73.8, None
290.1, 11.5, None, None, None, 2020-04-29 22:00:00, 72.3, None
289.1, 11.6, None, None, None, 2020-04-29 23:00:00, 70.1, None
287.0, 11.4, None, None, None, 2020-04-30 00:00:00, 71.2, None
285.7, 11.0, None, None, None, 2020-04-30 01:00:00, 72.1, None
291.2, 10.9, None, None, None, 2020-04-30 02:00:00, 70.8, None
277.1, 11.2, None, None, None, 2020-04-30 03:00:00, 65.8, None
281.0, 10.6, None, None, None, 2020-04-30 04:00:00, 68.9, None
282.4, 10.3, None, None, None, 2020-04-30 05:00:00, 62.7, None
286.1, 10.0, None, None, None, 2020-04-30 06:00:00, 61.7, None
290.8, 10.1, None, None, None, 2020-04-30 07:00:00, 65.2, None
275.1, 11.2, None, None, None, 2020-04-30 08:00:00, 59.8, None
280.0, 12.2, None, None, None, 2020-04-30 09:00:00, 53.4, None
259.9, 12.9, None, None, None, 2020-04-30 10:00:00, 52.4, None
208.3, 13.2, None, None, None, 2020-04-30 11:00:00, 53.1, None
178.3, 12.9, None, None, None, 2020-04-30 12:00:00, 56.7, None
161.3, 12.6, None, None, None, 2020-04-30 13:00:00, 59.8, None
203.2, 12.3, None, None, None, 2020-04-30 14:00:00, 62.5, None
207.4, 12.5, None, None, None, 2020-04-30 15:00:00, 60.8, None
213.5, 12.6, None, None, None, 2020-04-30 16:00:00, 62.1, None
227.8, 12.6, None, None, None, 2020-04-30 17:00:00, 65.1, None
243.2, 12.3, None, None, None, 2020-04-30 18:00:00, 65.5, None
281.0, 12.5, None, None, None, 2020-04-30 19:00:00, 63.8, None
267.9, 11.7, None, None, None, 2020-04-30 20:00:00, 67.8, None
270.4, 11.2, None, None, None, 2020-04-30 21:00:00, 69.0, None
260.2, 10.8, None, None, None, 2020-04-30 22:00:00, 67.1, None
241.0, 10.4, None, None, None, 2020-04-30 23:00:00, 67.1, None
215.3, 10.0, None, None, None, 2020-05-01 00:00:00, 69.8, None
214.0, 9.7, None, None, None, 2020-05-01 01:00:00, 72.5, None
274.5, 9.6, None, None, None, 2020-05-01 02:00:00, 75.0, None
353.7, 9.3, None, None, None, 2020-05-01 03:00:00, 79.9, None
11.7, 9.1, None, None, None, 2020-05-01 04:00:00, 83.2, None
92.2, 9.0, None, None, None, 2020-05-01 05:00:00, 83.4, None
110.1, 8.8, None, None, None, 2020-05-01 06:00:00, 86.7, None
123.3, 9.1, None, None, None, 2020-05-01 07:00:00, 85.9, None
108.2, 9.3, None, None, None, 2020-05-01 08:00:00, 83.9, None
101.9, 9.3, None, None, None, 2020-05-01 09:00:00, 83.2, None
104.1, 10.2, None, None, None, 2020-05-01 10:00:00, 76.8, None
111.2, 11.9, None, None, None, 2020-05-01 11:00:00, 68.6, None
102.0, 12.7, None, None, None, 2020-05-01 12:00:00, 60.1, None
98.9, 13.4, None, None, None, 2020-05-01 13:00:00, 53.4, None
91.9, 13.8, None, None, None, 2020-05-01 14:00:00, 47.9, None
63.8, 14.3, None, None, None, 2020-05-01 15:00:00, 43.9, None
46.0, 14.5, None, None, None, 2020-05-01 16:00:00, 43.7, None
32.9, 14.9, None, None, None, 2020-05-01 17:00:00, 41.6, None
17.2, 14.2, None, None, None, 2020-05-01 18:00:00, 46.2, None
19.9, 13.7, None, None, None, 2020-05-01 19:00:00, 48.6, None
341.4, 12.9, None, None, None, 2020-05-01 20:00:00, 53.9, None
0.9, 12.1, None, None, None, 2020-05-01 21:00:00, 59.5, None
8.6, 11.6, None, None, None, 2020-05-01 22:00:00, 62.0, None
34.8, 11.2, None, None, None, 2020-05-01 23:00:00, 65.0, None
24.4, 10.5, None, None, None, 2020-05-02 00:00:00, 72.9, None
23.8, 9.8, None, None, None, 2020-05-02 01:00:00, 76.5, None
45.6, 10.6, None, None, None, 2020-05-02 02:00:00, 70.9, None
59.0, 11.0, None, None, None, 2020-05-02 03:00:00, 71.3, None
87.4, 11.2, None, None, None, 2020-05-02 04:00:00, 72.8, None
93.8, 10.7, None, None, None, 2020-05-02 05:00:00, 78.1, None
98.3, 10.4, None, None, None, 2020-05-02 06:00:00, 83.1, None
98.1, 10.2, None, None, None, 2020-05-02 07:00:00, 84.6, None
110.2, 10.3, None, None, None, 2020-05-02 08:00:00, 86.6, None
110.5, 10.3, None, None, None, 2020-05-02 09:00:00, 91.2, None
102.5, 10.5, None, None, None, 2020-05-02 10:00:00, 90.5, None
86.1, 11.1, None, None, None, 2020-05-02 11:00:00, 89.9, None
53.4, 11.1, None, None, None, 2020-05-02 12:00:00, 88.8, None
44.6, 11.8, None, None, None, 2020-05-02 13:00:00, 86.6, None
136.6, 13.4, None, None, None, 2020-05-02 14:00:00, 77.5, None
263.2, 12.2, None, None, None, 2020-05-02 15:00:00, 76.5, None
280.2, 11.4, None, None, None, 2020-05-02 16:00:00, 70.5, None
275.6, 12.9, None, None, None, 2020-05-02 17:00:00, 59.7, None
268.6, 12.3, None, None, None, 2020-05-02 18:00:00, 63.6, None
274.6, 10.8, None, None, None, 2020-05-02 19:00:00, 65.0, None
274.4, 9.9, None, None, None, 2020-05-02 20:00:00, 68.1, None
277.9, 9.5, None, None, None, 2020-05-02 21:00:00, 70.3, None
271.7, 9.2, None, None, None, 2020-05-02 22:00:00, 71.1, None
262.2, 8.9, None, None, None, 2020-05-02 23:00:00, 72.5, None
272.4, 8.6, None, None, None, 2020-05-03 00:00:00, 76.4, None
264.2, 8.4, None, None, None, 2020-05-03 01:00:00, 73.4, None
269.3, 8.3, None, None, None, 2020-05-03 02:00:00, 71.5, None
239.1, 8.3, None, None, None, 2020-05-03 03:00:00, 73.8, None
192.0, 8.0, None, None, None, 2020-05-03 04:00:00, 77.8, None
171.0, 7.9, None, None, None, 2020-05-03 05:00:00, 83.4, None
312.7, 7.1, None, None, None, 2020-05-03 06:00:00, 82.6, None
127.0, 7.9, None, None, None, 2020-05-03 07:00:00, 86.9, None
235.7, 8.4, None, None, None, 2020-05-03 08:00:00, 82.1, None
100.3, 9.1, None, None, None, 2020-05-03 09:00:00, 73.5, None
