ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
,,,,2019-07-24 21:00:00,,,30,250.0, None, None,0.0, None,8.1, None,18.4, None, None, None,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-24 22:00:00,,,30,296.0, None, None,0.0, None,5.2, None,17.2, None, None, None,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-24 23:00:00,,,30,22.0, None, None,0.0, None,4.1, None,15.6, None, None, None,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 00:00:00,,,30,339.0, None, None,0.0, None,3.5, None,15.1, None, None, None,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 01:00:00,,,30,233.0, None, None,0.0, None,5.0, None,14.1, None, None, None,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 02:00:00,,,30,267.0, None, None,0.0, None,5.9, None,13.2, None, None, None,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 03:00:00,,,30,267.0, None, None,0.0, None,3.4, None,12.6, None, None, None,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 04:00:00,,,30,352.0, None, None,0.0, None,2.0, None,11.4, None, None, None,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 05:00:00,,,30,273.0, None, None,0.0, None,1.7, None,11.2, None, None, None,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 06:00:00,,,30,62.0, None, None,0.0, None,3.6, None,15.1, None, None, None,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 07:00:00,,,30,101.0, None, None,0.0, None,6.7, None,17.3, None, None, None,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 08:00:00,,,30,101.0, None, None,0.0, None,6.4, None,18.9, None, None, None,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 09:00:00,,,30,154.0, None, None,0.0, None,6.6, None,21.1, None, None, None,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 10:00:00,,,30,147.0, None, None,0.0, None,5.4, None,21.4, None, None, None,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 11:00:00,,,30,168.0, None, None,0.0, None,4.3, None,20.5, None, None, None,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 12:00:00,,,30,107.0, None, None,0.0, None,6.7, None,23.5, None, None, None,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 13:00:00,,,30,138.0, None, None,0.0, None,6.8, None,25.6, None, None, None,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 14:00:00,,,30,120.0, None, None,0.0, None,6.8, None,25.9, None, None, None,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 15:00:00,,,30,117.0, None, None,0.0, None,7.4, None,26.9, None, None, None,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 16:00:00,,,30,112.0, None, None,0.0, None,3.9, None,26.3, None, None, None,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 17:00:00,,,30,105.0, None, None,0.0, None,4.6, None,27.1, None, None, None,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 18:00:00,,,30,60.0, None, None,0.0, None,4.4, None,25.2, None, None, None,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 19:00:00,,,30,341.0, None, None,0.0, None,4.9, None,21.2, None, None, None,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 20:00:00,,,30,325.0, None, None,0.0, None,8.6, None,21.6, None, None, None,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
