station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, ACTUAL_WIND_DIRECTION, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
None, 6.709, None, None, None, None, 2012-09-19 06:00:00, 8.13, None, 23.15, None, 297.7
None, 5.788, None, None, None, None, 2012-09-19 07:00:00, 6.731, None, 17.27, None, 298.5
None, 5.382, None, None, None, None, 2012-09-19 08:00:00, 7.53, None, 16.43, None, 291.5
None, 6.072, None, None, None, None, 2012-09-19 09:00:00, 4.778, None, 22.75, None, 292.8
None, 7.82, None, None, None, None, 2012-09-19 10:00:00, 5.755, None, 14.39, None, 297.2
None, 8.53, None, None, None, None, 2012-09-19 11:00:00, 4.641, None, 13.06, None, 303.2
None, 9.67, None, None, None, None, 2012-09-19 12:00:00, 6.106, None, 13.6, None, 294.3
None, 6.713, None, None, None, None, 2012-09-19 13:00:00, 3.417, None, 15.7, None, 283.4
None, 9.77, None, None, None, None, 2012-09-19 14:00:00, 10.76, None, 16.41, None, 280.8
None, 7.52, None, None, None, None, 2012-09-19 15:00:00, 19.61, None, 11.88, None, 306.2
None, 8.49, None, None, None, None, 2012-09-19 16:00:00, 16.28, None, 13.58, None, 323.2
None, 9.64, None, None, None, None, 2012-09-19 17:00:00, 8.55, None, 12.95, None, 339.9
None, 9.82, None, None, None, None, 2012-09-19 18:00:00, 7.57, None, 19.65, None, 338.8
None, 8.37, None, None, None, None, 2012-09-19 19:00:00, 9.55, None, 14.64, None, 336.1
None, 8.4, None, None, None, None, 2012-09-19 20:00:00, 9.49, None, 14.17, None, 332.5
None, 10.33, None, None, None, None, 2012-09-19 21:00:00, 11.66, None, 14.98, None, 329.8
None, 10.09, None, None, None, None, 2012-09-19 22:00:00, 14.21, None, 10.29, None, 335.1
None, 10.73, None, None, None, None, 2012-09-19 23:00:00, 7.25, None, 13.71, None, 332.6
None, 10.61, None, None, None, None, 2012-09-20 00:00:00, 3.007, None, 25.85, None, 333.5
None, 12.44, None, None, None, None, 2012-09-20 01:00:00, 14.4, None, 19.07, None, 346.1
None, 12.76, None, None, None, None, 2012-09-20 02:00:00, 7.86, None, 18.38, None, 358.9
None, 12.52, None, None, None, None, 2012-09-20 03:00:00, 14.46, None, 15.35, None, 24.15
None, 12.15, None, None, None, None, 2012-09-20 04:00:00, 11.4, None, 9.07, None, 101.2
None, 13.35, None, None, None, None, 2012-09-20 05:00:00, 9.77, None, 15.79, None, 69.89
None, 11.93, None, None, None, None, 2012-09-20 06:00:00, 6.665, None, 20.42, None, 72.5
None, 12.55, None, None, None, None, 2012-09-20 07:00:00, 8.21, None, 27.9, None, 86.6
None, 11.75, None, None, None, None, 2012-09-20 08:00:00, 3.023, None, 30.25, None, 91.7
None, 11.9, None, None, None, None, 2012-09-20 09:00:00, 3.235, None, 33.07, None, 94.7
None, 11.9, None, None, None, None, 2012-09-20 10:00:00, 4.242, None, 36.7, None, 93.0
None, 11.36, None, None, None, None, 2012-09-20 11:00:00, 5.181, None, 32.54, None, 92.9
None, 11.98, None, None, None, None, 2012-09-20 12:00:00, 4.911, None, 23.6, None, 86.7
None, 12.65, None, None, None, None, 2012-09-20 13:00:00, 6.767, None, 15.44, None, 85.4
None, 13.09, None, None, None, None, 2012-09-20 14:00:00, 9.97, None, 7.52, None, 81.3
None, 16.27, None, None, None, None, 2012-09-20 15:00:00, 34.4, None, 3.273, None, 115.9
None, 14.92, None, None, None, None, 2012-09-20 16:00:00, 11.86, None, 3.815, None, 163.4
None, 14.14, None, None, None, None, 2012-09-20 17:00:00, 12.07, None, 7.31, None, 187.2
None, 13.9, None, None, None, None, 2012-09-20 18:00:00, 6.37, None, 8.41, None, 172.9
None, 13.62, None, None, None, None, 2012-09-20 19:00:00, 5.635, None, 7.14, None, 173.3
None, 13.37, None, None, None, None, 2012-09-20 20:00:00, 4.894, None, 8.38, None, 164.1
None, 12.14, None, None, None, None, 2012-09-20 21:00:00, 5.355, None, 8.97, None, 166.3
None, 11.76, None, None, None, None, 2012-09-20 22:00:00, 3.004, None, 16.61, None, 179.6
None, 11.89, None, None, None, None, 2012-09-20 23:00:00, 20.79, None, 14.42, None, 208.9
None, 11.34, None, None, None, None, 2012-09-21 00:00:00, 10.45, None, 14.64, None, 224.2
None, 11.03, None, None, None, None, 2012-09-21 01:00:00, 5.072, None, 22.44, None, 249.7
None, 10.12, None, None, None, None, 2012-09-21 02:00:00, 2.726, None, 26.17, None, 249.8
None, 10.0, None, None, None, None, 2012-09-21 03:00:00, 4.145, None, 26.74, None, 247.6
None, 9.61, None, None, None, None, 2012-09-21 04:00:00, 7.02, None, 25.66, None, 241.9
None, 9.24, None, None, None, None, 2012-09-21 05:00:00, 3.967, None, 26.55, None, 244.7
None, 8.98, None, None, None, None, 2012-09-21 06:00:00, 4.879, None, 28.64, None, 238.5
None, 8.74, None, None, None, None, 2012-09-21 07:00:00, 7.79, None, 26.46, None, 231.7
None, 8.51, None, None, None, None, 2012-09-21 08:00:00, 6.097, None, 23.0, None, 236.8
None, 8.79, None, None, None, None, 2012-09-21 09:00:00, 8.47, None, 19.83, None, 233.8
None, 9.02, None, None, None, None, 2012-09-21 10:00:00, 9.18, None, 16.87, None, 227.9
None, 9.37, None, None, None, None, 2012-09-21 11:00:00, 10.72, None, 16.52, None, 230.2
None, 10.09, None, None, None, None, 2012-09-21 12:00:00, 9.81, None, 15.72, None, 223.4
None, 10.83, None, None, None, None, 2012-09-21 13:00:00, 8.7, None, 15.62, None, 226.1
None, 11.35, None, None, None, None, 2012-09-21 14:00:00, 8.3, None, 15.71, None, 230.6
None, 12.06, None, None, None, None, 2012-09-21 15:00:00, 15.68, None, 10.98, None, 236.8
None, 11.28, None, None, None, None, 2012-09-21 16:00:00, 12.69, None, 9.96, None, 255.4
None, 11.34, None, None, None, None, 2012-09-21 17:00:00, 13.31, None, 8.15, None, 226.6
None, 10.49, None, None, None, None, 2012-09-21 18:00:00, 12.87, None, 8.83, None, 213.4
None, 11.48, None, None, None, None, 2012-09-21 19:00:00, 17.57, None, 9.2, None, 213.0
None, 11.76, None, None, None, None, 2012-09-21 20:00:00, 14.49, None, 9.43, None, 250.3
None, 12.18, None, None, None, None, 2012-09-21 21:00:00, 34.02, None, 9.26, None, 201.9
None, 12.29, None, None, None, None, 2012-09-21 22:00:00, 3.314, None, 15.23, None, 164.0
None, 12.17, None, None, None, None, 2012-09-21 23:00:00, 1.537, None, 19.75, None, 158.7
None, 11.83, None, None, None, None, 2012-09-22 00:00:00, 3.529, None, 20.68, None, 157.2
None, 11.94, None, None, None, None, 2012-09-22 01:00:00, 2.063, None, 18.62, None, 152.4
None, 12.32, None, None, None, None, 2012-09-22 02:00:00, 2.817, None, 21.3, None, 149.2
None, 11.76, None, None, None, None, 2012-09-22 03:00:00, 3.121, None, 24.75, None, 156.2
None, 12.16, None, None, None, None, 2012-09-22 04:00:00, 4.496, None, 18.27, None, 151.5
None, 11.43, None, None, None, None, 2012-09-22 05:00:00, 5.374, None, 22.65, None, 146.1
None, 11.52, None, None, None, None, 2012-09-22 06:00:00, 4.975, None, 26.61, None, 155.0
None, 11.77, None, None, None, None, 2012-09-22 07:00:00, 3.263, None, 24.37, None, 161.4
None, 11.53, None, None, None, None, 2012-09-22 08:00:00, 3.736, None, 24.0, None, 161.0
None, 10.94, None, None, None, None, 2012-09-22 09:00:00, 2.707, None, 24.46, None, 166.8
None, 11.0, None, None, None, None, 2012-09-22 10:00:00, 7.01, None, 27.37, None, 162.8
None, 11.13, None, None, None, None, 2012-09-22 11:00:00, 3.592, None, 30.65, None, 155.4
None, 11.24, None, None, None, None, 2012-09-22 12:00:00, 3.588, None, 21.17, None, 162.7
None, 11.48, None, None, None, None, 2012-09-22 13:00:00, 7.07, None, 18.51, None, 166.6
None, 10.78, None, None, None, None, 2012-09-22 14:00:00, 7.05, None, 20.31, None, 163.0
None, 11.34, None, None, None, None, 2012-09-22 15:00:00, 7.64, None, 26.81, None, 164.5
None, 11.16, None, None, None, None, 2012-09-22 16:00:00, 5.566, None, 28.81, None, 175.9
None, 10.43, None, None, None, None, 2012-09-22 17:00:00, 8.56, None, 24.98, None, 184.9
None, 10.8, None, None, None, None, 2012-09-22 18:00:00, 4.452, None, 29.02, None, 178.8
None, 10.43, None, None, None, None, 2012-09-22 19:00:00, 3.163, None, 31.96, None, 175.6
None, 10.52, None, None, None, None, 2012-09-22 20:00:00, None, None, None, None, None
None, 10.01, None, None, None, None, 2012-09-22 21:00:00, None, None, None, None, None
None, 9.94, None, None, None, None, 2012-09-22 22:00:00, None, None, None, None, None
None, 9.31, None, None, None, None, 2012-09-22 23:00:00, None, None, None, None, None
None, 8.65, None, None, None, None, 2012-09-23 00:00:00, None, None, None, None, None
None, 7.31, None, None, None, None, 2012-09-23 01:00:00, None, None, None, None, None
None, 6.861, None, None, None, None, 2012-09-23 02:00:00, None, None, None, None, None
None, 4.392, None, None, None, None, 2012-09-23 03:00:00, None, None, None, None, None
None, 2.917, None, None, None, None, 2012-09-23 04:00:00, None, None, None, None, None
None, 4.119, None, None, None, None, 2012-09-23 05:00:00, None, None, None, None, None
None, 3.264, None, None, None, None, 2012-09-23 06:00:00, None, None, None, None, None
None, 3.001, None, None, None, None, 2012-09-23 07:00:00, None, None, None, None, None
None, 2.551, None, None, None, None, 2012-09-23 08:00:00, None, None, None, None, None
None, 2.457, None, None, None, None, 2012-09-23 09:00:00, None, None, None, None, None
None, 2.383, None, None, None, None, 2012-09-23 10:00:00, None, None, None, None, None
None, 2.56, None, None, None, None, 2012-09-23 11:00:00, None, None, None, None, None
None, 2.654, None, None, None, None, 2012-09-23 12:00:00, None, None, None, None, None
None, 2.485, None, None, None, None, 2012-09-23 13:00:00, None, None, None, None, None
None, 2.485, None, None, None, None, 2012-09-23 14:00:00, None, None, None, None, None
None, 2.654, None, None, None, None, 2012-09-23 15:00:00, None, None, None, None, None
None, 2.56, None, None, None, None, 2012-09-23 16:00:00, None, None, None, None, None
None, 2.27, None, None, None, None, 2012-09-23 17:00:00, None, None, None, None, None
None, 2.139, None, None, None, None, 2012-09-23 18:00:00, None, None, None, None, None
None, 1.933, None, None, None, None, 2012-09-23 19:00:00, None, None, None, None, None
None, 1.764, None, None, None, None, 2012-09-23 20:00:00, None, None, None, None, None
None, 1.623, None, None, None, None, 2012-09-23 21:00:00, None, None, None, None, None
None, 1.577, None, None, None, None, 2012-09-23 22:00:00, None, None, None, None, None
None, 1.492, None, None, None, None, 2012-09-23 23:00:00, None, None, None, None, None
None, 1.502, None, None, None, None, 2012-09-24 00:00:00, None, None, None, None, None
None, 0.108, None, None, None, None, 2012-09-24 01:00:00, None, None, None, None, None
None, -0.396, None, None, None, None, 2012-09-24 02:00:00, None, None, None, None, None
None, -0.21, None, None, None, None, 2012-09-24 03:00:00, None, None, None, None, None
None, -0.387, None, None, None, None, 2012-09-24 04:00:00, None, None, None, None, None
None, -0.621, None, None, None, None, 2012-09-24 05:00:00, None, None, None, None, None
None, -0.825, None, None, None, None, 2012-09-24 06:00:00, None, None, None, None, None
None, -1.08, None, None, None, None, 2012-09-24 07:00:00, None, None, None, None, None
None, -1.004, None, None, None, None, 2012-09-24 08:00:00, None, None, None, None, None
None, -1.052, None, None, None, None, 2012-09-24 09:00:00, None, None, None, None, None
None, -0.949, None, None, None, None, 2012-09-24 10:00:00, None, None, None, None, None
None, -1.173, None, None, None, None, 2012-09-24 11:00:00, None, None, None, None, None
None, -1.333, None, None, None, None, 2012-09-24 12:00:00, None, None, None, None, None
None, -0.912, None, None, None, None, 2012-09-24 13:00:00, None, None, None, None, None
None, -0.697, None, None, None, None, 2012-09-24 14:00:00, None, None, None, None, None
None, -0.556, None, None, None, None, 2012-09-24 15:00:00, None, None, None, None, None
None, -0.659, None, None, None, None, 2012-09-24 16:00:00, None, None, None, None, None
None, -1.623, None, None, None, None, 2012-09-24 17:00:00, None, None, None, None, None
None, -1.614, None, None, None, None, 2012-09-24 18:00:00, None, None, None, None, None
None, -1.764, None, None, None, None, 2012-09-24 19:00:00, None, None, None, None, None
None, -2.195, None, None, None, None, 2012-09-24 20:00:00, None, None, None, None, None
None, -2.326, None, None, None, None, 2012-09-24 21:00:00, None, None, None, None, None
None, -2.682, None, None, None, None, 2012-09-24 22:00:00, None, None, None, None, None
None, -2.993, None, None, None, None, 2012-09-24 23:00:00, None, None, None, None, None
None, -3.134, None, None, None, None, 2012-09-25 00:00:00, None, None, None, None, None
None, -3.209, None, None, None, None, 2012-09-25 01:00:00, None, None, None, None, None
None, -3.708, None, None, None, None, 2012-09-25 02:00:00, None, None, None, None, None
None, -2.804, None, None, None, None, 2012-09-25 03:00:00, None, None, None, None, None
None, -2.383, None, None, None, None, 2012-09-25 04:00:00, None, None, None, None, None
None, -2.363, None, None, None, None, 2012-09-25 05:00:00, None, None, None, None, None
None, -2.081, None, None, None, None, 2012-09-25 06:00:00, None, None, None, None, None
None, -1.96, None, None, None, None, 2012-09-25 07:00:00, None, None, None, None, None
None, -1.912, None, None, None, None, 2012-09-25 08:00:00, None, None, None, None, None
None, -1.811, None, None, None, None, 2012-09-25 09:00:00, None, None, None, None, None
None, -2.157, None, None, None, None, 2012-09-25 10:00:00, None, None, None, None, None
None, -2.158, None, None, None, None, 2012-09-25 11:00:00, None, None, None, None, None
None, -1.82, None, None, None, None, 2012-09-25 12:00:00, None, None, None, None, None
None, -0.023, None, None, None, None, 2012-09-25 13:00:00, None, None, None, None, None
None, -0.182, None, None, None, None, 2012-09-25 14:00:00, None, None, None, None, None
None, 0.35, None, None, None, None, 2012-09-25 15:00:00, None, None, None, None, None
None, -0.369, None, None, None, None, 2012-09-25 16:00:00, None, None, None, None, None
None, -0.388, None, None, None, None, 2012-09-25 17:00:00, None, None, None, None, None
None, -1.202, None, None, None, None, 2012-09-25 18:00:00, None, None, None, None, None
None, -1.67, None, None, None, None, 2012-09-25 19:00:00, None, None, None, None, None
None, -1.932, None, None, None, None, 2012-09-25 20:00:00, None, None, None, None, None
None, -1.867, None, None, None, None, 2012-09-25 21:00:00, None, None, None, None, None
None, -1.913, None, None, None, None, 2012-09-25 22:00:00, None, None, None, None, None
None, -1.867, None, None, None, None, 2012-09-25 23:00:00, None, None, None, None, None
None, -1.839, None, None, None, None, 2012-09-26 00:00:00, None, None, None, None, None
None, -1.539, None, None, None, None, 2012-09-26 01:00:00, None, None, None, None, None
None, -1.417, None, None, None, None, 2012-09-26 02:00:00, None, None, None, None, None
None, -1.173, None, None, None, None, 2012-09-26 03:00:00, None, None, None, None, None
None, -1.305, None, None, None, None, 2012-09-26 04:00:00, None, None, None, None, None
None, -1.304, None, None, None, None, 2012-09-26 05:00:00, None, None, None, None, None
None, -1.247, None, None, None, None, 2012-09-26 06:00:00, None, None, None, None, None
None, -1.051, None, None, None, None, 2012-09-26 07:00:00, None, None, None, None, None
None, -0.883, None, None, None, None, 2012-09-26 08:00:00, None, None, None, None, None
None, -0.641, None, None, None, None, 2012-09-26 09:00:00, None, None, None, None, None
None, -0.332, None, None, None, None, 2012-09-26 10:00:00, None, None, None, None, None
None, -0.107, None, None, None, None, 2012-09-26 11:00:00, None, None, None, None, None
None, -0.117, None, None, None, None, 2012-09-26 12:00:00, None, None, None, None, None
None, 0.071, None, None, None, None, 2012-09-26 13:00:00, None, None, None, None, None
None, 1.239, None, None, None, None, 2012-09-26 14:00:00, None, None, None, None, None
None, 1.426, None, None, None, None, 2012-09-26 15:00:00, None, None, None, None, None
None, 1.744, None, None, None, None, 2012-09-26 16:00:00, None, None, None, None, None
None, 1.931, None, None, None, None, 2012-09-26 17:00:00, None, None, None, None, None
None, 1.903, None, None, None, None, 2012-09-26 18:00:00, None, None, None, None, None
None, 0.902, None, None, None, None, 2012-09-26 19:00:00, None, None, None, None, None
None, 1.286, None, None, None, None, 2012-09-26 20:00:00, None, None, None, None, None
None, 1.463, None, None, None, None, 2012-09-26 21:00:00, None, None, None, None, None
None, 1.8, None, None, None, None, 2012-09-26 22:00:00, None, None, None, None, None
None, 2.503, None, None, None, None, 2012-09-26 23:00:00, None, None, None, None, None
None, 2.4, None, None, None, None, 2012-09-27 00:00:00, None, None, None, None, None
None, 2.353, None, None, None, None, 2012-09-27 01:00:00, None, None, None, None, None
None, 2.279, None, None, None, None, 2012-09-27 02:00:00, None, None, None, None, None
None, 2.841, None, None, None, None, 2012-09-27 03:00:00, None, None, None, None, None
None, 2.184, None, None, None, None, 2012-09-27 04:00:00, None, None, None, None, None
None, 1.885, None, None, None, None, 2012-09-27 05:00:00, None, None, None, None, None
None, 3.094, None, None, None, None, 2012-09-27 06:00:00, None, None, None, None, None
None, 4.202, None, None, None, None, 2012-09-27 07:00:00, None, None, None, None, None
None, 3.789, None, None, None, None, 2012-09-27 08:00:00, None, None, None, None, None
None, 3.16, None, None, None, None, 2012-09-27 09:00:00, None, None, None, None, None
None, 2.344, None, None, None, None, 2012-09-27 10:00:00, None, None, None, None, None
None, 0.819, None, None, None, None, 2012-09-27 11:00:00, None, None, None, None, None
None, 0.332, None, None, None, None, 2012-09-27 12:00:00, None, None, None, None, None
None, -1.052, None, None, None, None, 2012-09-27 13:00:00, None, None, None, None, None
None, -2.559, None, None, None, None, 2012-09-27 14:00:00, None, None, None, None, None
None, -2.288, None, None, None, None, 2012-09-27 15:00:00, None, None, None, None, None
None, -2.523, None, None, None, None, 2012-09-27 16:00:00, None, None, None, None, None
None, -2.985, None, None, None, None, 2012-09-27 17:00:00, None, None, None, None, None
None, -3.144, None, None, None, None, 2012-09-27 18:00:00, None, None, None, None, None
None, -3.342, None, None, None, None, 2012-09-27 19:00:00, None, None, None, None, None
None, -3.55, None, None, None, None, 2012-09-27 20:00:00, None, None, None, None, None
None, -3.69, None, None, None, None, 2012-09-27 21:00:00, None, None, None, None, None
None, -3.812, None, None, None, None, 2012-09-27 22:00:00, None, None, None, None, None
None, -3.783, None, None, None, None, 2012-09-27 23:00:00, None, None, None, None, None
None, -4.068, None, None, None, None, 2012-09-28 00:00:00, None, None, None, None, None
None, -3.965, None, None, None, None, 2012-09-28 01:00:00, None, None, None, None, None
None, -4.078, None, None, None, None, 2012-09-28 02:00:00, None, None, None, None, None
None, -4.305, None, None, None, None, 2012-09-28 03:00:00, None, None, None, None, None
None, -4.607, None, None, None, None, 2012-09-28 04:00:00, None, None, None, None, None
None, -3.992, None, None, None, None, 2012-09-28 05:00:00, None, None, None, None, None
None, -4.123, None, None, None, None, 2012-09-28 06:00:00, None, None, None, None, None
None, -4.115, None, None, None, None, 2012-09-28 07:00:00, None, None, None, None, None
None, -3.87, None, None, None, None, 2012-09-28 08:00:00, None, None, None, None, None
None, -3.812, None, None, None, None, 2012-09-28 09:00:00, None, None, None, None, None
None, -3.812, None, None, None, None, 2012-09-28 10:00:00, None, None, None, None, None
None, -3.708, None, None, None, None, 2012-09-28 11:00:00, None, None, None, None, None
None, -2.888, None, None, None, None, 2012-09-28 12:00:00, None, None, None, None, None
None, -2.814, None, None, None, None, 2012-09-28 13:00:00, None, None, None, None, None
None, -2.439, None, None, None, None, 2012-09-28 14:00:00, None, None, None, None, None
None, -2.374, None, None, None, None, 2012-09-28 15:00:00, None, None, None, None, None
None, -2.308, None, None, None, None, 2012-09-28 16:00:00, None, None, None, None, None
None, -2.58, None, None, None, None, 2012-09-28 17:00:00, None, None, None, None, None
None, -2.418, None, None, None, None, 2012-09-28 18:00:00, None, None, None, None, None
None, -2.353, None, None, None, None, 2012-09-28 19:00:00, None, None, None, None, None
None, -3.066, None, None, None, None, 2012-09-28 20:00:00, None, None, None, None, None
None, -2.86, None, None, None, None, 2012-09-28 21:00:00, None, None, None, None, None
None, -2.689, None, None, None, None, 2012-09-28 22:00:00, None, None, None, None, None
None, -3.012, None, None, None, None, 2012-09-28 23:00:00, None, None, None, None, None
None, -2.842, None, None, None, None, 2012-09-29 00:00:00, None, None, None, None, None
None, -3.124, None, None, None, None, 2012-09-29 01:00:00, None, None, None, None, None
None, -3.19, None, None, None, None, 2012-09-29 02:00:00, None, None, None, None, None
None, -3.51, None, None, None, None, 2012-09-29 03:00:00, None, None, None, None, None
None, -3.756, None, None, None, None, 2012-09-29 04:00:00, None, None, None, None, None
None, -4.049, None, None, None, None, 2012-09-29 05:00:00, None, None, None, None, None
None, -4.218, None, None, None, None, 2012-09-29 06:00:00, None, None, None, None, None
None, -4.312, None, None, None, None, 2012-09-29 07:00:00, None, None, None, None, None
None, -3.755, None, None, None, None, 2012-09-29 08:00:00, None, None, None, None, None
None, -3.812, None, None, None, None, 2012-09-29 09:00:00, None, None, None, None, None
None, -3.774, None, None, None, None, 2012-09-29 10:00:00, None, None, None, None, None
None, -3.482, None, None, None, None, 2012-09-29 11:00:00, None, None, None, None, None
None, -3.143, None, None, None, None, 2012-09-29 12:00:00, None, None, None, None, None
None, -3.209, None, None, None, None, 2012-09-29 13:00:00, None, None, None, None, None
None, -3.333, None, None, None, None, 2012-09-29 14:00:00, None, None, None, None, None
None, -3.624, None, None, None, None, 2012-09-29 15:00:00, None, None, None, None, None
None, -3.313, None, None, None, None, 2012-09-29 16:00:00, None, None, None, None, None
None, -3.237, None, None, None, None, 2012-09-29 17:00:00, None, None, None, None, None
None, -3.728, None, None, None, None, 2012-09-29 18:00:00, None, None, None, None, None
None, -3.898, None, None, None, None, 2012-09-29 19:00:00, None, None, None, None, None
None, -3.907, None, None, None, None, 2012-09-29 20:00:00, None, None, None, None, None
None, -4.069, None, None, None, None, 2012-09-29 21:00:00, None, None, None, None, None
None, -4.22, None, None, None, None, 2012-09-29 22:00:00, None, None, None, None, None
None, -4.211, None, None, None, None, 2012-09-29 23:00:00, None, None, None, None, None
None, -4.341, None, None, None, None, 2012-09-30 00:00:00, None, None, None, None, None
None, -4.38, None, None, None, None, 2012-09-30 01:00:00, None, None, None, None, None
None, -4.266, None, None, None, None, 2012-09-30 02:00:00, None, None, None, None, None
None, -4.172, None, None, None, None, 2012-09-30 03:00:00, None, None, None, None, None
None, -4.304, None, None, None, None, 2012-09-30 04:00:00, None, None, None, None, None
None, -4.303, None, None, None, None, 2012-09-30 05:00:00, None, None, None, None, None
None, -4.361, None, None, None, None, 2012-09-30 06:00:00, None, None, None, None, None
None, -4.4, None, None, None, None, 2012-09-30 07:00:00, None, None, None, None, None
None, -4.446, None, None, None, None, 2012-09-30 08:00:00, None, None, None, None, None
None, -4.124, None, None, None, None, 2012-09-30 09:00:00, None, None, None, None, None
None, -3.454, None, None, None, None, 2012-09-30 10:00:00, None, None, None, None, None
None, -2.691, None, None, None, None, 2012-09-30 11:00:00, None, None, None, None, None
None, -1.912, None, None, None, None, 2012-09-30 12:00:00, None, None, None, None, None
None, -1.567, None, None, None, None, 2012-09-30 13:00:00, None, None, None, None, None
None, -1.398, None, None, None, None, 2012-09-30 14:00:00, None, None, None, None, None
None, -1.408, None, None, None, None, 2012-09-30 15:00:00, None, None, None, None, None
None, -1.445, None, None, None, None, 2012-09-30 16:00:00, None, None, None, None, None
