pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,-14.74,77.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 06:00:00, None, None, 206.3, None,6
None, None,-15.38,76.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 07:00:00, None, None, 207.0, None,6
None, None,-15.56,76.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 08:00:00, None, None, 206.7, None,6
None, None,-15.28,76.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 09:00:00, None, None, 206.5, None,6
None, None,-15.06,75.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 10:00:00, None, None, 206.3, None,6
None, None,-14.53,75.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2018-02-09 11:00:00, None, None, 206.1, None,6
None, None,-12.43,75.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-09 12:00:00, None, None, 205.4, None,6
None, None,-10.8,70.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2018-02-09 13:00:00, None, None, 204.4, None,6
None, None,-9.4,72.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2018-02-09 14:00:00, None, None, 202.6, None,6
None, None,-9.35,63.08, None, None, None, None, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, None,2018-02-09 15:00:00, None, None, 204.9, None,6
None, None,-10.38,59.58, None, None, None, None, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, None,2018-02-09 16:00:00, None, None, 203.7, None,6
