RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
64.21, None, None, None, None, None, 7.0, 6.7, None, 827.0, None, None, None, None, None, None, None, 12.86, None, 12.9, 64.0, None, None, 12.9, 1021.2, 0.3, None,2022-09-26 11:00:00, 827.0,39
52.86, None, None, None, 10.48, 25.93, 7.0, 6.7, None, 828.0, None, None, None, None, None, None, None, 15.94, None, 15.9, 53.0, 15.37, None, 15.9, 1021.9, 0.2, None,2022-09-26 12:00:00, 828.0,39
36.77, None, None, None, 5.674, 12.98, 4.0, 6.7, None, 827.0, None, None, None, None, None, None, None, 18.83, None, 18.7, 37.0, 35.78, None, 18.8, 1020.2, 0.2, None,2022-09-26 13:00:00, 827.0,39
31.32, None, None, None, 8.51, 238.6, 2.0, 6.7, None, 827.0, None, None, None, None, None, None, None, 19.65, None, 20.1, 31.0, 62.75, None, 19.7, None, None, None,2022-09-26 14:00:00, None,39
38.97, None, None, None, 11.38, 226.9, 5.0, 6.7, None, 827.0, None, None, None, None, None, None, None, 19.24, None, 20.1, 39.0, 25.93, None, 19.2, 1020.3, -0.6, None,2022-09-26 15:00:00, 827.0,39
40.45, None, None, None, 12.58, 224.2, 5.0, 6.7, None, 827.0, None, None, None, None, None, None, None, 18.71, None, 20.1, 40.0, 19.22, None, 18.7, 1020.5, 0.0, None,2022-09-26 16:00:00, 827.0,39
None, None, None, None, 10.86, 220.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 20.48, None, None, None, None, None,2022-09-26 17:00:00, None,39
48.21, None, None, None, 4.129, 191.8, 4.0, 6.7, None, 826.0, None, None, None, None, None, None, None, 14.96, None, 20.1, 48.0, 39.08, None, 15.0, 1020.0, -0.3, None,2022-09-26 18:00:00, 826.0,39
51.82, None, None, None, 1.388, 145.0, 3.0, 12.4, None, 826.0, None, None, None, None, None, None, None, 12.42, None, 14.9, 52.0, 35.19, None, 12.4, 1020.7, -0.3, None,2022-09-26 19:00:00, 826.0,39
56.85, None, None, None, 0.395, 93.0, None, None, None, 826.0, None, None, None, None, None, None, None, 11.92, None, None, None, 34.22, None, None, None, None, None,2022-09-26 20:00:00, None,39
61.02, None, None, None, 0.235, 77.16, 4.0, 10.5, None, 826.0, None, None, None, None, None, None, None, 11.0, None, 14.9, 61.0, 45.85, None, 11.0, 1020.5, -0.1, None,2022-09-26 21:00:00, 826.0,39
62.2, None, None, None, 0.394, 87.3, 4.0, 10.5, None, 826.0, None, None, None, None, None, None, None, 10.78, None, 14.9, 62.0, 41.32, None, 10.8, 1020.2, 0.0, None,2022-09-26 22:00:00, 826.0,39
62.69, None, None, None, 0.867, 106.2, 3.0, 10.0, None, 826.0, None, None, None, None, None, None, None, 10.0, None, 14.9, 63.0, 39.88, None, 10.0, 1020.0, -0.1, None,2022-09-26 23:00:00, 826.0,39
63.43, None, None, None, 0.232, 85.7, 3.0, 9.6, None, 826.0, None, None, None, None, None, None, None, 9.62, None, 14.9, 63.0, 41.71, None, 9.6, 1019.5, 0.0, None,2022-09-27 00:00:00, 826.0,39
57.09, None, None, None, 0.266, 75.32, 1.0, 9.4, None, 825.0, None, None, None, None, None, None, None, 9.41, None, 14.9, 57.0, 31.15, None, 9.4, 1017.7, 0.0, None,2022-09-27 01:00:00, 825.0,39
47.99, None, None, None, 0.109, 44.37, -1.0, 9.1, None, 825.0, None, None, None, None, None, None, None, 9.1, None, 14.9, 48.0, 27.02, None, 9.1, 1017.5, 0.0, None,2022-09-27 02:00:00, 825.0,39
44.72, None, None, None, 0.163, 53.87, -2.0, 8.9, None, 825.0, None, None, None, None, None, None, None, 9.04, None, 14.9, 45.0, 34.84, None, 9.0, 1017.7, 0.0, None,2022-09-27 03:00:00, 825.0,39
47.58, None, None, None, 0.155, 50.32, -1.0, 8.8, None, 825.0, None, None, None, None, None, None, None, 9.23, None, 14.9, 48.0, 38.84, None, 9.2, 1017.7, 0.0, None,2022-09-27 04:00:00, 825.0,39
51.48, None, None, None, 0.199, 60.88, 0.0, 8.8, None, 826.0, None, None, None, None, None, None, None, 9.05, None, 14.9, 51.0, 24.38, None, 9.1, 1019.3, 0.0, None,2022-09-27 05:00:00, 826.0,39
50.82, None, None, None, 0.248, 70.53, -1.0, 8.8, None, 825.0, None, None, None, None, None, None, None, 8.98, None, 14.9, 51.0, 31.07, None, 9.0, 1018.5, 0.0, None,2022-09-27 06:00:00, 825.0,39
