pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,2.4, None, None, None, None,13.28, None,1.783,339.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 07:00:00, None, None, None, None,40
None,1.98, None, None, None, None,14.63, None,2.273,342.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 08:00:00, None, None, None, None,40
None,1.83, None, None, None, None,15.62, None,1.856,341.6, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 09:00:00, None, None, None, None,40
None,3.745, None, None, None, None,66.45, None,0.796,95.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 10:00:00, None, None, None, None,40
None,4.346, None, None, None, None,28.29, None,1.749,126.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 11:00:00, None, None, None, None,40
None,6.427, None, None, None, None,40.81, None,2.679,137.7, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 12:00:00, None, None, None, None,40
None,5.819, None, None, None, None,33.63, None,3.822,155.6, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 13:00:00, None, None, None, None,40
None,6.451, None, None, None, None,31.8, None,3.508,154.7, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 14:00:00, None, None, None, None,40
None,7.51, None, None, None, None,26.24, None,4.568,129.3, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 15:00:00, None, None, None, None,40
None,9.04, None, None, None, None,48.82, None,2.092,181.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 16:00:00, None, None, None, None,40
None,6.198, None, None, None, None,36.4, None,1.48,227.2, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 17:00:00, None, None, None, None,40
None,6.504, None, None, None, None,52.02, None,1.304,336.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 18:00:00, None, None, None, None,40
None,6.033, None, None, None, None,20.06, None,5.387,8.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 19:00:00, None, None, None, None,40
None,4.777, None, None, None, None,23.99, None,5.133,6.587, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 20:00:00, None, None, None, None,40
