station_observations
pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
278.0, 703.0, None, None, 2015-05-20 11:00:00, 3.1, None, None
278.0, 703.0, None, None, 2015-05-20 12:00:00, 2.4, None, None
278.0, 702.0, None, None, 2015-05-20 13:00:00, 5.6, None, None
275.0, 699.0, None, None, 2015-05-20 14:00:00, 6.7, None, None
273.0, 697.0, None, None, 2015-05-20 15:00:00, 7.6, None, None
272.0, 697.0, None, None, 2015-05-20 16:00:00, 10.9, None, None
272.0, 698.0, None, None, 2015-05-20 17:00:00, 9.5, None, None
273.0, 698.0, None, None, 2015-05-20 18:00:00, 9.7, None, None
273.0, 697.0, None, None, 2015-05-20 19:00:00, 10.4, None, None
273.0, 696.0, None, None, 2015-05-20 20:00:00, 11.7, None, None
273.0, 694.0, None, None, 2015-05-20 21:00:00, 12.2, None, None
273.0, 692.0, None, None, 2015-05-20 22:00:00, 12.5, None, None
273.0, 690.0, None, None, 2015-05-20 23:00:00, 12.1, None, None
273.0, 688.0, None, None, 2015-05-21 00:00:00, 12.5, None, None
273.0, 685.0, None, None, 2015-05-21 01:00:00, 12.8, None, None
273.0, 682.0, None, None, 2015-05-21 02:00:00, 11.7, None, None
277.0, 680.0, None, None, 2015-05-21 03:00:00, 7.9, None, None
277.0, 677.0, None, None, 2015-05-21 04:00:00, 7.2, None, None
278.0, 675.0, None, None, 2015-05-21 05:00:00, 8.0, None, None
277.0, 673.0, None, None, 2015-05-21 06:00:00, 8.0, None, None
277.0, 673.0, None, None, 2015-05-21 07:00:00, 7.7, None, None
277.0, 672.0, None, None, 2015-05-21 08:00:00, 7.0, None, None
277.0, 671.0, None, None, 2015-05-21 09:00:00, 7.2, None, None
277.0, 670.0, None, None, 2015-05-21 10:00:00, 6.9, None, None
277.0, 669.0, None, None, 2015-05-21 11:00:00, 6.6, None, None
277.0, 668.0, None, None, 2015-05-21 12:00:00, 6.4, None, None
277.0, 668.0, None, None, 2015-05-21 13:00:00, 8.0, None, None
275.0, 667.0, None, None, 2015-05-21 14:00:00, 11.0, None, None
272.0, 665.0, None, None, 2015-05-21 15:00:00, 11.6, None, None
271.0, 665.0, None, None, 2015-05-21 16:00:00, 12.2, None, None
272.0, 665.0, None, None, 2015-05-21 17:00:00, 12.2, None, None
272.0, 665.0, None, None, 2015-05-21 18:00:00, 12.2, None, None
273.0, 665.0, None, None, 2015-05-21 19:00:00, 12.3, None, None
273.0, 663.0, None, None, 2015-05-21 20:00:00, 12.5, None, None
273.0, 662.0, None, None, 2015-05-21 21:00:00, 13.5, None, None
273.0, 660.0, None, None, 2015-05-21 22:00:00, 14.0, None, None
273.0, 658.0, None, None, 2015-05-21 23:00:00, 14.1, None, None
273.0, 656.0, None, None, 2015-05-22 00:00:00, 14.1, None, None
273.0, 654.0, None, None, 2015-05-22 01:00:00, 13.0, None, None
274.0, 651.0, None, None, 2015-05-22 02:00:00, 11.8, None, None
277.0, 648.0, None, None, 2015-05-22 03:00:00, 8.5, None, None
277.0, 645.0, None, None, 2015-05-22 04:00:00, 7.9, None, None
278.0, 643.0, None, None, 2015-05-22 05:00:00, 7.2, None, None
278.0, 642.0, None, None, 2015-05-22 06:00:00, 6.7, None, None
278.0, 641.0, None, None, 2015-05-22 07:00:00, 6.7, None, None
277.0, 641.0, None, None, 2015-05-22 08:00:00, 7.7, None, None
277.0, 639.0, None, None, 2015-05-22 09:00:00, 7.6, None, None
277.0, 639.0, None, None, 2015-05-22 10:00:00, 6.5, None, None
277.0, 638.0, None, None, 2015-05-22 11:00:00, 7.2, None, None
277.0, 638.0, None, None, 2015-05-22 12:00:00, 7.9, None, None
277.0, 637.0, None, None, 2015-05-22 13:00:00, 9.1, None, None
275.0, 634.0, None, None, 2015-05-22 14:00:00, 11.1, None, None
272.0, 634.0, None, None, 2015-05-22 15:00:00, 11.4, None, None
272.0, 634.0, None, None, 2015-05-22 16:00:00, 11.8, None, None
272.0, 634.0, None, None, 2015-05-22 17:00:00, 12.4, None, None
273.0, 634.0, None, None, 2015-05-22 18:00:00, 13.1, None, None
273.0, 633.0, None, None, 2015-05-22 19:00:00, 13.3, None, None
273.0, 632.0, None, None, 2015-05-22 20:00:00, 14.8, None, None
273.0, 631.0, None, None, 2015-05-22 21:00:00, 14.3, None, None
273.0, 629.0, None, None, 2015-05-22 22:00:00, 14.5, None, None
273.0, 627.0, None, None, 2015-05-22 23:00:00, 14.7, None, None
273.0, 625.0, None, None, 2015-05-23 00:00:00, 15.8, None, None
273.0, 623.0, None, None, 2015-05-23 01:00:00, 15.2, None, None
273.0, 619.0, None, None, 2015-05-23 02:00:00, 13.8, None, None
276.0, 616.0, None, None, 2015-05-23 03:00:00, 10.8, None, None
277.0, 613.0, None, None, 2015-05-23 04:00:00, 10.6, None, None
277.0, 612.0, None, None, 2015-05-23 05:00:00, 9.4, None, None
277.0, 610.0, None, None, 2015-05-23 06:00:00, 8.9, None, None
277.0, 609.0, None, None, 2015-05-23 07:00:00, 8.6, None, None
277.0, 608.0, None, None, 2015-05-23 08:00:00, 8.2, None, None
277.0, 607.0, None, None, 2015-05-23 09:00:00, 8.3, None, None
277.0, 607.0, None, None, 2015-05-23 10:00:00, 8.2, None, None
277.0, 607.0, None, None, 2015-05-23 11:00:00, 7.7, None, None
277.0, 607.0, None, None, 2015-05-23 12:00:00, 7.0, None, None
277.0, 607.0, None, None, 2015-05-23 13:00:00, 9.0, None, None
274.0, 604.0, None, None, 2015-05-23 14:00:00, 10.3, None, None
272.0, 604.0, None, None, 2015-05-23 15:00:00, 11.7, None, None
271.0, 604.0, None, None, 2015-05-23 16:00:00, 11.9, None, None
272.0, 604.0, None, None, 2015-05-23 17:00:00, 12.8, None, None
272.0, 604.0, None, None, 2015-05-23 18:00:00, 14.0, None, None
272.0, 604.0, None, None, 2015-05-23 19:00:00, 13.9, None, None
272.0, 603.0, None, None, 2015-05-23 20:00:00, 13.2, None, None
272.0, 602.0, None, None, 2015-05-23 21:00:00, 15.1, None, None
272.0, 600.0, None, None, 2015-05-23 22:00:00, 15.3, None, None
273.0, 599.0, None, None, 2015-05-23 23:00:00, 15.6, None, None
273.0, 596.0, None, None, 2015-05-24 00:00:00, 15.1, None, None
273.0, 593.0, None, None, 2015-05-24 01:00:00, 15.8, None, None
274.0, 590.0, None, None, 2015-05-24 02:00:00, 11.4, None, None
276.0, 587.0, None, None, 2015-05-24 03:00:00, 10.4, None, None
277.0, 585.0, None, None, 2015-05-24 04:00:00, 9.7, None, None
277.0, 583.0, None, None, 2015-05-24 05:00:00, 9.6, None, None
277.0, 582.0, None, None, 2015-05-24 06:00:00, 9.4, None, None
277.0, 581.0, None, None, 2015-05-24 07:00:00, 9.3, None, None
277.0, 580.0, None, None, 2015-05-24 08:00:00, 8.7, None, None
277.0, 580.0, None, None, 2015-05-24 09:00:00, 8.7, None, None
277.0, 579.0, None, None, 2015-05-24 10:00:00, 7.1, None, None
277.0, 579.0, None, None, 2015-05-24 11:00:00, 6.1, None, None
277.0, 579.0, None, None, 2015-05-24 12:00:00, 5.8, None, None
277.0, 578.0, None, None, 2015-05-24 13:00:00, 7.3, None, None
276.0, 578.0, None, None, 2015-05-24 14:00:00, 10.7, None, None
274.0, 578.0, None, None, 2015-05-24 15:00:00, 10.3, None, None
273.0, 578.0, None, None, 2015-05-24 16:00:00, 10.6, None, None
273.0, 578.0, None, None, 2015-05-24 17:00:00, 10.4, None, None
273.0, 577.0, None, None, 2015-05-24 18:00:00, 10.8, None, None
273.0, 577.0, None, None, 2015-05-24 19:00:00, 11.1, None, None
273.0, 576.0, None, None, 2015-05-24 20:00:00, 11.1, None, None
272.0, 576.0, None, None, 2015-05-24 21:00:00, 11.3, None, None
273.0, 575.0, None, None, 2015-05-24 22:00:00, 11.1, None, None
273.0, 574.0, None, None, 2015-05-24 23:00:00, 12.3, None, None
273.0, 572.0, None, None, 2015-05-25 00:00:00, 10.8, None, None
275.0, 569.0, None, None, 2015-05-25 01:00:00, 8.1, None, None
276.0, 566.0, None, None, 2015-05-25 02:00:00, 8.4, None, None
277.0, 563.0, None, None, 2015-05-25 03:00:00, 6.8, None, None
277.0, 561.0, None, None, 2015-05-25 04:00:00, 5.1, None, None
278.0, 559.0, None, None, 2015-05-25 05:00:00, 4.6, None, None
278.0, 558.0, None, None, 2015-05-25 06:00:00, 4.1, None, None
278.0, 557.0, None, None, 2015-05-25 07:00:00, 4.1, None, None
278.0, 556.0, None, None, 2015-05-25 08:00:00, 4.0, None, None
278.0, 555.0, None, None, 2015-05-25 09:00:00, 3.8, None, None
278.0, 554.0, None, None, 2015-05-25 10:00:00, 3.8, None, None
278.0, 554.0, None, None, 2015-05-25 11:00:00, 4.2, None, None
278.0, 553.0, None, None, 2015-05-25 12:00:00, 3.8, None, None
277.0, 552.0, None, None, 2015-05-25 13:00:00, 3.7, None, None
278.0, 552.0, None, None, 2015-05-25 14:00:00, 3.9, None, None
277.0, 551.0, None, None, 2015-05-25 15:00:00, 4.6, None, None
275.0, 551.0, None, None, 2015-05-25 16:00:00, 6.9, None, None
274.0, 550.0, None, None, 2015-05-25 17:00:00, 8.7, None, None
273.0, 550.0, None, None, 2015-05-25 18:00:00, 8.3, None, None
274.0, 550.0, None, None, 2015-05-25 19:00:00, 9.0, None, None
273.0, 550.0, None, None, 2015-05-25 20:00:00, 9.9, None, None
274.0, 550.0, None, None, 2015-05-25 21:00:00, 8.7, None, None
274.0, 550.0, None, None, 2015-05-25 22:00:00, 7.9, None, None
277.0, 548.0, None, None, 2015-05-25 23:00:00, 5.3, None, None
277.0, 546.0, None, None, 2015-05-26 00:00:00, 5.0, None, None
277.0, 545.0, None, None, 2015-05-26 01:00:00, 6.1, None, None
276.0, 543.0, None, None, 2015-05-26 02:00:00, 5.2, None, None
278.0, 541.0, None, None, 2015-05-26 03:00:00, 4.5, None, None
278.0, 539.0, None, None, 2015-05-26 04:00:00, 3.7, None, None
279.0, 538.0, None, None, 2015-05-26 05:00:00, 4.7, None, None
279.0, 537.0, None, None, 2015-05-26 06:00:00, 4.4, None, None
278.0, 536.0, None, None, 2015-05-26 07:00:00, 4.3, None, None
278.0, 536.0, None, None, 2015-05-26 08:00:00, 5.6, None, None
278.0, 535.0, None, None, 2015-05-26 09:00:00, 5.7, None, None
278.0, 535.0, None, None, 2015-05-26 10:00:00, 5.5, None, None
278.0, 535.0, None, None, 2015-05-26 11:00:00, 5.3, None, None
278.0, 534.0, None, None, 2015-05-26 12:00:00, 5.3, None, None
278.0, 533.0, None, None, 2015-05-26 13:00:00, 5.5, None, None
277.0, 533.0, None, None, 2015-05-26 14:00:00, 6.4, None, None
276.0, 532.0, None, None, 2015-05-26 15:00:00, 8.5, None, None
274.0, 532.0, None, None, 2015-05-26 16:00:00, 9.9, None, None
274.0, 532.0, None, None, 2015-05-26 17:00:00, 9.9, None, None
273.0, 532.0, None, None, 2015-05-26 18:00:00, 13.1, None, None
273.0, 532.0, None, None, 2015-05-26 19:00:00, 10.5, None, None
273.0, 532.0, None, None, 2015-05-26 20:00:00, 10.7, None, None
274.0, 532.0, None, None, 2015-05-26 21:00:00, 13.5, None, None
273.0, 532.0, None, None, 2015-05-26 22:00:00, 12.0, None, None
276.0, 530.0, None, None, 2015-05-26 23:00:00, 6.0, None, None
280.0, 528.0, None, None, 2015-05-27 00:00:00, 5.5, None, None
279.0, 523.0, None, None, 2015-05-27 01:00:00, 6.6, None, None
278.0, 520.0, None, None, 2015-05-27 02:00:00, 7.1, None, None
279.0, 518.0, None, None, 2015-05-27 03:00:00, 6.6, None, None
280.0, 516.0, None, None, 2015-05-27 04:00:00, 5.1, None, None
280.0, 514.0, None, None, 2015-05-27 05:00:00, 5.9, None, None
280.0, 513.0, None, None, 2015-05-27 06:00:00, 5.7, None, None
280.0, 513.0, None, None, 2015-05-27 07:00:00, 5.2, None, None
280.0, 512.0, None, None, 2015-05-27 08:00:00, 5.0, None, None
280.0, 512.0, None, None, 2015-05-27 09:00:00, 4.9, None, None
280.0, 512.0, None, None, 2015-05-27 10:00:00, 4.9, None, None
280.0, 512.0, None, None, 2015-05-27 11:00:00, 4.6, None, None
280.0, 512.0, None, None, 2015-05-27 12:00:00, 4.3, None, None
280.0, 512.0, None, None, 2015-05-27 13:00:00, 5.8, None, None
278.0, 512.0, None, None, 2015-05-27 14:00:00, 7.9, None, None
275.0, 511.0, None, None, 2015-05-27 15:00:00, 10.5, None, None
274.0, 511.0, None, None, 2015-05-27 16:00:00, 10.6, None, None
274.0, 511.0, None, None, 2015-05-27 17:00:00, 10.5, None, None
275.0, 511.0, None, None, 2015-05-27 18:00:00, 11.9, None, None
275.0, 510.0, None, None, 2015-05-27 19:00:00, 13.7, None, None
275.0, 510.0, None, None, 2015-05-27 20:00:00, 14.0, None, None
275.0, 509.0, None, None, 2015-05-27 21:00:00, 11.7, None, None
276.0, 506.0, None, None, 2015-05-27 22:00:00, 11.8, None, None
275.0, 503.0, None, None, 2015-05-27 23:00:00, 14.5, None, None
275.0, 502.0, None, None, 2015-05-28 00:00:00, 13.9, None, None
275.0, 499.0, None, None, 2015-05-28 01:00:00, 12.8, None, None
276.0, 495.0, None, None, 2015-05-28 02:00:00, 11.1, None, None
279.0, 492.0, None, None, 2015-05-28 03:00:00, 8.4, None, None
279.0, 489.0, None, None, 2015-05-28 04:00:00, 7.8, None, None
279.0, 487.0, None, None, 2015-05-28 05:00:00, 7.9, None, None
280.0, 487.0, None, None, 2015-05-28 06:00:00, 7.5, None, None
280.0, 486.0, None, None, 2015-05-28 07:00:00, 6.7, None, None
280.0, 485.0, None, None, 2015-05-28 08:00:00, 6.6, None, None
280.0, 484.0, None, None, 2015-05-28 09:00:00, 6.4, None, None
279.0, 483.0, None, None, 2015-05-28 10:00:00, 5.5, None, None
280.0, 482.0, None, None, 2015-05-28 11:00:00, 6.1, None, None
280.0, 481.0, None, None, 2015-05-28 12:00:00, 6.3, None, None
279.0, 480.0, None, None, 2015-05-28 13:00:00, 6.4, None, None
279.0, 479.0, None, None, 2015-05-28 14:00:00, 7.4, None, None
278.0, 479.0, None, None, 2015-05-28 15:00:00, 8.9, None, None
277.0, 479.0, None, None, 2015-05-28 16:00:00, 9.7, None, None
276.0, 479.0, None, None, 2015-05-28 17:00:00, 9.3, None, None
275.0, 479.0, None, None, 2015-05-28 18:00:00, 10.9, None, None
275.0, 479.0, None, None, 2015-05-28 19:00:00, 10.1, None, None
275.0, 480.0, None, None, 2015-05-28 20:00:00, 11.1, None, None
274.0, 480.0, None, None, 2015-05-28 21:00:00, 12.4, None, None
275.0, 478.0, None, None, 2015-05-28 22:00:00, 9.9, None, None
276.0, 474.0, None, None, 2015-05-28 23:00:00, 11.8, None, None
276.0, 472.0, None, None, 2015-05-29 00:00:00, 9.7, None, None
278.0, 468.0, None, None, 2015-05-29 01:00:00, 8.0, None, None
283.0, 468.0, None, None, 2015-05-29 02:00:00, 5.9, None, None
283.0, 463.0, None, None, 2015-05-29 03:00:00, 5.9, None, None
284.0, 459.0, None, None, 2015-05-29 04:00:00, 5.2, None, None
284.0, 457.0, None, None, 2015-05-29 05:00:00, 4.5, None, None
284.0, 456.0, None, None, 2015-05-29 06:00:00, 4.5, None, None
284.0, 454.0, None, None, 2015-05-29 07:00:00, 3.8, None, None
284.0, 453.0, None, None, 2015-05-29 08:00:00, 4.2, None, None
284.0, 452.0, None, None, 2015-05-29 09:00:00, 4.3, None, None
284.0, 452.0, None, None, 2015-05-29 10:00:00, 4.2, None, None
288.0, 453.0, None, None, 2015-05-29 11:00:00, 3.6, None, None
288.0, 453.0, None, None, 2015-05-29 12:00:00, 3.6, None, None
288.0, 452.0, None, None, 2015-05-29 13:00:00, 4.1, None, None
287.0, 451.0, None, None, 2015-05-29 14:00:00, 5.2, None, None
286.0, 450.0, None, None, 2015-05-29 15:00:00, 5.7, None, None
285.0, 450.0, None, None, 2015-05-29 16:00:00, 6.1, None, None
285.0, 449.0, None, None, 2015-05-29 17:00:00, 6.4, None, None
285.0, 449.0, None, None, 2015-05-29 18:00:00, 7.5, None, None
284.0, 448.0, None, None, 2015-05-29 19:00:00, 8.4, None, None
283.0, 448.0, None, None, 2015-05-29 20:00:00, 7.7, None, None
283.0, 448.0, None, None, 2015-05-29 21:00:00, 9.4, None, None
283.0, 446.0, None, None, 2015-05-29 22:00:00, 9.6, None, None
282.0, 445.0, None, None, 2015-05-29 23:00:00, 10.7, None, None
283.0, 442.0, None, None, 2015-05-30 00:00:00, 9.8, None, None
284.0, 441.0, None, None, 2015-05-30 01:00:00, 7.9, None, None
286.0, 437.0, None, None, 2015-05-30 02:00:00, 7.3, None, None
287.0, 434.0, None, None, 2015-05-30 03:00:00, 5.9, None, None
289.0, 433.0, None, None, 2015-05-30 04:00:00, 4.4, None, None
291.0, 433.0, None, None, 2015-05-30 05:00:00, 4.4, None, None
291.0, 429.0, None, None, 2015-05-30 06:00:00, 4.6, None, None
291.0, 428.0, None, None, 2015-05-30 07:00:00, 4.4, None, None
291.0, 427.0, None, None, 2015-05-30 08:00:00, 3.9, None, None
291.0, 426.0, None, None, 2015-05-30 09:00:00, 4.0, None, None
291.0, 425.0, None, None, 2015-05-30 10:00:00, 3.5, None, None
291.0, 425.0, None, None, 2015-05-30 11:00:00, 3.9, None, None
292.0, 424.0, None, None, 2015-05-30 12:00:00, 3.4, None, None
293.0, 424.0, None, None, 2015-05-30 13:00:00, 3.6, None, None
292.0, 424.0, None, None, 2015-05-30 14:00:00, 5.6, None, None
291.0, 424.0, None, None, 2015-05-30 15:00:00, 5.8, None, None
289.0, 423.0, None, None, 2015-05-30 16:00:00, 6.6, None, None
289.0, 424.0, None, None, 2015-05-30 17:00:00, 5.9, None, None
289.0, 423.0, None, None, 2015-05-30 18:00:00, 7.4, None, None
287.0, 423.0, None, None, 2015-05-30 19:00:00, 10.4, None, None
287.0, 422.0, None, None, 2015-05-30 20:00:00, 10.4, None, None
287.0, 420.0, None, None, 2015-05-30 21:00:00, 10.1, None, None
288.0, 415.0, None, None, 2015-05-30 22:00:00, 11.0, None, None
